Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,12219.35,17.09,201.99,26.4883,58.5137507314219,92.45
resnet18,Pruning,10882.3,15.22,225.55,24.9414,65.7030223390276,77.76
resnet18,Distillation,12390.95,17.33,207.43,28.0078,57.7034045008656,99.44
mobilenet_v2,Base,6735.3,9.42,114.25,10.4805,106.157112526539,90.07
mobilenet_v2,Pruning,7085.65,9.91,112.85,9.94141,100.908173562059,72.31
mobilenet_v2,Distillation,7142.85,9.99,112.25,12.5117,100.1001001001,97.2
efficientnet_b0,Base,14221.35,19.89,152.66,17.7461,50.2765208647562,38.32
efficientnet_b0,Pruning,12755.6,17.84,153.76,15.1758,56.0538116591928,38.74
efficientnet_b0,Distillation,14514.5,20.3,139.54,15.9648,49.2610837438424,50.07
mnasnet1_0,Base,6878.3,9.62,126.76,12.3398,103.950103950104,77.9
mnasnet1_0,Pruning,6256.25,8.75,113.38,11.957,114.285714285714,80.42
mnasnet1_0,Distillation,6649.5,9.3,128.94,12.6562,107.52688172043,88.39
resnet18,Base,11890.45,16.63,230.03,26.4258,60.1322910402886,92.45
resnet18,Pruning,10567.7,14.78,214.29,24.9258,67.65899864682,77.76
resnet18,Distillation,12269.4,17.16,181.82,26.4766,58.2750582750583,99.44
mobilenet_v2,Base,7385.95,10.33,124.08,10.6172,96.8054211035818,90.07
mobilenet_v2,Pruning,6120.4,8.56,120.48,10.0,116.822429906542,72.31
mobilenet_v2,Distillation,7414.55,10.37,122.75,10.1328,96.4320154291225,97.2
efficientnet_b0,Base,14464.45,20.23,150.28,16.207,49.4315373208107,38.32
efficientnet_b0,Pruning,13198.9,18.46,144.27,16.6445,54.1711809317443,38.74
efficientnet_b0,Distillation,14471.6,20.24,144.52,16.0898,49.4071146245059,50.07
mnasnet1_0,Base,6527.95,9.13,133.65,12.4219,109.529025191676,77.9
mnasnet1_0,Pruning,6477.9,9.06,127.83,13.5,110.37527593819,80.42
mnasnet1_0,Distillation,6156.15,8.61,132.56,12.7891,116.144018583043,88.39
resnet18,Base,12412.4,17.36,196.94,26.5312,57.6036866359447,92.45
resnet18,Pruning,10388.95,14.53,199.37,24.8477,68.8231245698555,77.76
resnet18,Distillation,12255.1,17.14,221.11,26.3203,58.343057176196,99.44
mobilenet_v2,Base,6392.1,8.94,119.82,10.4648,111.856823266219,90.07
mobilenet_v2,Pruning,7207.2,10.08,110.26,9.92188,99.2063492063492,72.31
mobilenet_v2,Distillation,6992.7,9.78,123.15,10.5625,102.249488752556,97.2
efficientnet_b0,Base,14543.1,20.34,135.97,16.0742,49.1642084562439,38.32
efficientnet_b0,Pruning,13105.95,18.33,166.57,15.2656,54.5553737043099,38.74
efficientnet_b0,Distillation,14485.9,20.26,125.48,15.9531,49.3583415597236,50.07
mnasnet1_0,Base,6620.9,9.26,128.03,12.4883,107.991360691145,77.9
mnasnet1_0,Pruning,7507.5,10.5,120.23,12.1914,95.2380952380952,80.42
mnasnet1_0,Distillation,6742.45,9.43,136.47,12.5742,106.044538706257,88.39
resnet18,Base,12083.5,16.9,187.67,26.4141,59.1715976331361,92.45
resnet18,Pruning,10231.65,14.31,211.54,25.1484,69.8812019566737,77.76
resnet18,Distillation,12197.9,17.06,182.05,26.4375,58.6166471277843,99.44
mobilenet_v2,Base,6006.0,8.4,132.32,10.4688,119.047619047619,90.07
mobilenet_v2,Pruning,6320.6,8.84,96.73,9.71094,113.122171945701,72.31
mobilenet_v2,Distillation,7428.85,10.39,143.29,10.582,96.2463907603465,97.2
efficientnet_b0,Base,14357.2,20.08,159.75,16.125,49.800796812749,38.32
efficientnet_b0,Pruning,12898.6,18.04,135.12,15.1211,55.4323725055432,38.74
efficientnet_b0,Distillation,14428.7,20.18,128.88,16.0312,49.5540138751239,50.07
mnasnet1_0,Base,6013.15,8.41,123.44,12.8125,118.906064209275,77.9
mnasnet1_0,Pruning,5655.65,7.91,115.83,11.9219,126.422250316056,80.42
mnasnet1_0,Distillation,6206.2,8.68,127.58,12.7695,115.207373271889,88.39
resnet18,Base,12441.0,17.4,174.5,26.5391,57.4712643678161,92.45
resnet18,Pruning,10524.8,14.72,187.86,25.0938,67.9347826086957,77.76
resnet18,Distillation,12140.7,16.98,207.79,26.4766,58.8928150765607,99.44
mobilenet_v2,Base,5955.95,8.33,138.63,10.2734,120.048019207683,90.07
mobilenet_v2,Pruning,5963.1,8.34,73.34,10.0312,119.904076738609,72.31
mobilenet_v2,Distillation,6771.05,9.47,115.44,10.4922,105.596620908131,97.2
efficientnet_b0,Base,14392.95,20.13,151.03,16.0586,49.6770988574267,38.32
efficientnet_b0,Pruning,12905.75,18.05,79.01,15.2461,55.4016620498615,38.74
efficientnet_b0,Distillation,14414.4,20.16,153.09,16.1484,49.6031746031746,50.07
mnasnet1_0,Base,6477.9,9.06,135.2,12.6211,110.37527593819,77.9
mnasnet1_0,Pruning,7028.45,9.83,126.68,11.9961,101.729399796541,80.42
mnasnet1_0,Distillation,6542.25,9.15,132.07,12.7578,109.289617486339,88.39
resnet18,Base,11783.2,16.48,223.15,26.5391,60.6796116504854,92.45
resnet18,Pruning,10696.4,14.96,191.56,25.1289,66.8449197860963,77.76
resnet18,Distillation,12519.65,17.51,210.42,26.3984,57.1102227298686,99.44
mobilenet_v2,Base,6999.85,9.79,116.58,10.4492,102.145045965271,90.07
mobilenet_v2,Pruning,7092.8,9.92,105.14,10.1367,100.806451612903,72.31
mobilenet_v2,Distillation,5834.4,8.16,126.49,10.668,122.549019607843,97.2
efficientnet_b0,Base,14385.8,20.12,153.05,16.4883,49.7017892644135,38.32
efficientnet_b0,Pruning,12834.25,17.95,160.31,15.168,55.7103064066852,38.74
efficientnet_b0,Distillation,14371.5,20.1,154.96,17.6094,49.7512437810945,50.07
mnasnet1_0,Base,6320.6,8.84,135.31,12.7461,113.122171945701,77.9
mnasnet1_0,Pruning,7078.5,9.9,136.54,12.0977,101.010101010101,80.42
mnasnet1_0,Distillation,6778.2,9.48,144.99,12.5898,105.485232067511,88.39
resnet18,Base,12147.85,16.99,227.62,26.5273,58.8581518540318,92.45
resnet18,Pruning,10403.25,14.55,191.37,25.0781,68.7285223367698,77.76
resnet18,Distillation,12004.85,16.79,207.46,28.0742,59.5592614651578,99.44
mobilenet_v2,Base,5798.65,8.11,118.23,11.9922,123.304562268804,90.07
mobilenet_v2,Pruning,6799.65,9.51,128.93,9.91016,105.15247108307,72.31
mobilenet_v2,Distillation,7078.5,9.9,67.88,10.4766,101.010101010101,97.2
efficientnet_b0,Base,14586.0,20.4,132.65,16.0625,49.0196078431373,38.32
efficientnet_b0,Pruning,12920.05,18.07,139.76,15.2891,55.3403431101273,38.74
efficientnet_b0,Distillation,14507.35,20.29,167.91,17.6523,49.2853622474125,50.07
mnasnet1_0,Base,6313.45,8.83,122.42,14.418,113.250283125708,77.9
mnasnet1_0,Pruning,7571.85,10.59,126.99,13.6016,94.4287063267233,80.42
mnasnet1_0,Distillation,6656.65,9.31,116.68,14.2266,107.411385606874,88.39
resnet18,Base,12104.95,16.93,200.57,26.4688,59.0667454223272,92.45
resnet18,Pruning,10753.6,15.04,179.82,26.7188,66.4893617021277,77.76
resnet18,Distillation,12104.95,16.93,227.35,26.3164,59.0667454223272,99.44
mobilenet_v2,Base,5927.35,8.29,84.15,10.4102,120.627261761158,90.07
mobilenet_v2,Pruning,6771.05,9.47,117.51,9.92578,105.596620908131,72.31
