Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11883.300000000001,16.62,113.35,26.7031,60.16847172081829,92.59
resnet18,Pruning,10868.0,15.2,207.75,25.1016,65.78947368421053,83.64
resnet18,Distillation,11504.35,16.09,279.11,26.3555,62.15040397762586,99.16
mobilenet_v2,Base,6670.95,9.33,84.44,10.5977,107.18113612004286,93.29
mobilenet_v2,Pruning,6306.3,8.82,99.78,10.0586,113.37868480725623,72.87
mobilenet_v2,Distillation,7364.500000000001,10.3,155.29,10.6914,97.08737864077669,97.34
efficientnet_b0,Base,14249.949999999999,19.93,213.81,16.2695,50.17561465127948,58.74
efficientnet_b0,Pruning,13449.15,18.81,111.91,15.1523,53.163211057947905,49.79
efficientnet_b0,Distillation,14264.25,19.95,132.21,16.0898,50.12531328320802,52.73
mnasnet1_0,Base,6034.599999999999,8.44,96.79,12.4336,118.48341232227489,71.89
mnasnet1_0,Pruning,6406.400000000001,8.96,96.97,11.9375,111.60714285714285,81.82
mnasnet1_0,Distillation,6206.2,8.68,167.47,12.8008,115.20737327188941,89.79
resnet18,Base,11661.65,16.31,234.69,26.7109,61.31207847946046,92.59
resnet18,Pruning,10431.85,14.59,192.96,25.2812,68.54009595613434,83.64
resnet18,Distillation,11196.9,15.66,237.68,26.2617,63.85696040868454,99.16
mobilenet_v2,Base,6199.05,8.67,150.3,10.5625,115.34025374855825,93.29
mobilenet_v2,Pruning,5777.2,8.08,121.21,10.3984,123.76237623762376,72.87
mobilenet_v2,Distillation,5641.349999999999,7.89,125.3,10.4766,126.7427122940431,97.34
efficientnet_b0,Base,15229.5,21.3,104.37,16.3984,46.948356807511736,58.74
efficientnet_b0,Pruning,13248.95,18.53,131.57,15.1289,53.96654074473826,49.79
efficientnet_b0,Distillation,14614.6,20.44,128.51,16.1875,48.92367906066536,52.73
mnasnet1_0,Base,6449.299999999999,9.02,96.97,12.3672,110.86474501108648,71.89
mnasnet1_0,Pruning,5734.299999999999,8.02,84.23,12.1836,124.68827930174564,81.82
mnasnet1_0,Distillation,6199.05,8.67,108.76,12.8086,115.34025374855825,89.79
resnet18,Base,11468.599999999999,16.04,174.06,26.6562,62.34413965087282,92.59
resnet18,Pruning,11132.550000000001,15.57,309.72,25.1719,64.22607578676943,83.64
resnet18,Distillation,11297.0,15.8,151.16,26.6641,63.291139240506325,99.16
mobilenet_v2,Base,5991.700000000001,8.38,107.22,10.5273,119.33174224343675,93.29
mobilenet_v2,Pruning,5684.25,7.95,90.23,10.0312,125.78616352201257,72.87
mobilenet_v2,Distillation,7135.700000000001,9.98,105.3,10.1484,100.20040080160321,97.34
efficientnet_b0,Base,14671.8,20.52,130.41,16.2109,48.732943469785575,58.74
efficientnet_b0,Pruning,12727.0,17.8,129.02,15.293,56.17977528089887,49.79
efficientnet_b0,Distillation,14764.749999999998,20.65,226.6,16.1445,48.426150121065376,52.73
mnasnet1_0,Base,6806.799999999999,9.52,222.37,12.6406,105.0420168067227,71.89
mnasnet1_0,Pruning,6170.450000000001,8.63,139.08,12.0117,115.87485515643104,81.82
mnasnet1_0,Distillation,6127.55,8.57,123.73,12.7227,116.68611435239207,89.79
resnet18,Base,12183.599999999999,17.04,194.11,26.6797,58.68544600938967,92.59
resnet18,Pruning,10453.3,14.62,192.03,25.207,68.39945280437757,83.64
resnet18,Distillation,11218.35,15.69,158.48,26.375,63.73486297004462,99.16
mobilenet_v2,Base,6506.5,9.1,113.03,10.5898,109.8901098901099,93.29
mobilenet_v2,Pruning,6470.750000000001,9.05,97.73,10.0977,110.49723756906076,72.87
mobilenet_v2,Distillation,6964.1,9.74,108.73,10.5469,102.6694045174538,97.34
efficientnet_b0,Base,14700.4,20.56,119.95,16.3164,48.63813229571985,58.74
efficientnet_b0,Pruning,12769.9,17.86,156.23,15.3281,55.99104143337066,49.79
efficientnet_b0,Distillation,17224.35,24.09,102.38,16.2852,41.511000415110004,52.73
mnasnet1_0,Base,6027.45,8.43,185.6,12.5977,118.62396204033215,71.89
mnasnet1_0,Pruning,7886.45,11.03,154.0,11.7266,90.66183136899366,81.82
mnasnet1_0,Distillation,5762.900000000001,8.06,120.33,12.8086,124.06947890818857,89.79
resnet18,Base,11683.1,16.34,232.61,26.4336,61.19951040391677,92.59
resnet18,Pruning,10031.449999999999,14.03,227.38,25.1523,71.27583749109053,83.64
resnet18,Distillation,11518.65,16.11,143.53,26.582,62.07324643078833,99.16
mobilenet_v2,Base,7064.200000000001,9.88,121.46,10.582,101.21457489878541,93.29
