Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,10982.4,15.36,82.7,26.5195,65.10416666666667,92.45
resnet18,Pruning,9645.35,13.49,80.24,26.9023,74.12898443291327,77.76
resnet18,Distillation,10982.4,15.36,82.89,28.1562,65.10416666666667,99.44
mobilenet_v2,Base,4754.75,6.65,50.3,12.0273,150.37593984962405,90.07
mobilenet_v2,Pruning,4697.55,6.57,49.93,9.85938,152.20700152207002,72.31
mobilenet_v2,Distillation,4761.900000000001,6.66,51.0,12.0547,150.15015015015015,97.2
efficientnet_b0,Base,13728.0,19.2,60.89,16.2227,52.083333333333336,38.32
efficientnet_b0,Pruning,12219.35,17.09,59.76,15.2188,58.51375073142189,38.74
efficientnet_b0,Distillation,13713.7,19.18,62.55,15.9961,52.13764337851929,50.07
mnasnet1_0,Base,5026.45,7.03,56.47,12.6914,142.2475106685633,77.9
mnasnet1_0,Pruning,4919.2,6.88,55.19,11.9688,145.34883720930233,80.42
mnasnet1_0,Distillation,5019.299999999999,7.02,55.85,12.8047,142.4501424501425,88.39
resnet18,Base,10975.25,15.35,85.44,28.1094,65.14657980456026,92.45
resnet18,Pruning,9645.35,13.49,80.34,25.3047,74.12898443291327,77.76
resnet18,Distillation,10982.4,15.36,82.96,26.6914,65.10416666666667,99.44
mobilenet_v2,Base,4754.75,6.65,50.81,10.5586,150.37593984962405,90.07
mobilenet_v2,Pruning,4697.55,6.57,52.62,9.89453,152.20700152207002,72.31
mobilenet_v2,Distillation,4769.05,6.67,51.92,10.4805,149.92503748125938,97.2
efficientnet_b0,Base,13728.0,19.2,61.53,17.9805,52.083333333333336,38.32
efficientnet_b0,Pruning,12205.05,17.07,60.11,16.75,58.58230814294083,38.74
efficientnet_b0,Distillation,13706.55,19.17,62.89,16.0508,52.16484089723526,50.07
mnasnet1_0,Base,5040.75,7.05,57.53,12.6133,141.84397163120568,77.9
mnasnet1_0,Pruning,4919.2,6.88,54.72,13.4453,145.34883720930233,80.42
mnasnet1_0,Distillation,5026.45,7.03,55.26,14.4922,142.2475106685633,88.39
resnet18,Base,10960.95,15.33,83.84,28.1875,65.23157208088715,92.45
resnet18,Pruning,9652.5,13.5,80.83,26.9219,74.07407407407408,77.76
resnet18,Distillation,10968.1,15.34,83.85,26.4297,65.1890482398957,99.44
mobilenet_v2,Base,4761.900000000001,6.66,50.8,10.2695,150.15015015015015,90.07
mobilenet_v2,Pruning,4697.55,6.57,50.73,10.1289,152.20700152207002,72.31
mobilenet_v2,Distillation,4761.900000000001,6.66,51.97,10.4609,150.15015015015015,97.2
efficientnet_b0,Base,13713.7,19.18,61.55,16.2227,52.13764337851929,38.32
efficientnet_b0,Pruning,12219.35,17.09,59.52,15.0586,58.51375073142189,38.74
efficientnet_b0,Distillation,13728.0,19.2,61.24,16.043,52.083333333333336,50.07
mnasnet1_0,Base,5047.9,7.06,55.71,14.3164,141.643059490085,77.9
mnasnet1_0,Pruning,4919.2,6.88,55.6,11.875,145.34883720930233,80.42
mnasnet1_0,Distillation,5026.45,7.03,55.31,12.7891,142.2475106685633,88.39
resnet18,Base,10968.1,15.34,82.56,28.2227,65.1890482398957,92.45
resnet18,Pruning,9631.05,13.47,79.15,26.8711,74.23904974016332,77.76
resnet18,Distillation,10960.95,15.33,83.51,26.4727,65.23157208088715,99.44
mobilenet_v2,Base,4761.900000000001,6.66,52.16,10.6133,150.15015015015015,90.07
mobilenet_v2,Pruning,4690.4,6.56,50.65,9.89062,152.4390243902439,72.31
mobilenet_v2,Distillation,4754.75,6.65,51.37,10.5078,150.37593984962405,97.2
efficientnet_b0,Base,13720.85,19.19,62.56,17.9492,52.11047420531526,38.32
efficientnet_b0,Pruning,12212.2,17.08,59.39,15.2031,58.5480093676815,38.74
efficientnet_b0,Distillation,13735.15,19.21,62.0,17.7305,52.05622071837584,50.07
mnasnet1_0,Base,5033.6,7.04,57.29,14.1719,142.04545454545453,77.9
mnasnet1_0,Pruning,4912.05,6.87,55.44,11.8633,145.5604075691412,80.42
mnasnet1_0,Distillation,5019.299999999999,7.02,56.63,12.5273,142.4501424501425,88.39
resnet18,Base,10975.25,15.35,83.55,26.5117,65.14657980456026,92.45
resnet18,Pruning,9638.2,13.48,79.96,25.1641,74.1839762611276,77.76
resnet18,Distillation,10975.25,15.35,83.41,28.2383,65.14657980456026,99.44
mobilenet_v2,Base,4754.75,6.65,50.97,12.0078,150.37593984962405,90.07
mobilenet_v2,Pruning,4704.7,6.58,51.56,10.082,151.9756838905775,72.31
mobilenet_v2,Distillation,4761.900000000001,6.66,53.37,16.0352,150.15015015015015,97.2
efficientnet_b0,Base,13713.7,19.18,62.49,16.3359,52.13764337851929,38.32
efficientnet_b0,Pruning,12219.35,17.09,60.38,15.0977,58.51375073142189,38.74
efficientnet_b0,Distillation,13742.3,19.22,63.6,16.1211,52.02913631633715,50.07
mnasnet1_0,Base,5033.6,7.04,57.17,12.6484,142.04545454545453,77.9
mnasnet1_0,Pruning,4919.2,6.88,57.29,11.7734,145.34883720930233,80.42
mnasnet1_0,Distillation,5026.45,7.03,56.1,14.5391,142.2475106685633,88.39
resnet18,Base,10982.4,15.36,85.38,28.3789,65.10416666666667,92.45
resnet18,Pruning,9638.2,13.48,80.84,25.2148,74.1839762611276,77.76
resnet18,Distillation,10968.1,15.34,84.45,28.1055,65.1890482398957,99.44
mobilenet_v2,Base,4754.75,6.65,51.36,10.3789,150.37593984962405,90.07
mobilenet_v2,Pruning,4697.55,6.57,52.15,11.4336,152.20700152207002,72.31
mobilenet_v2,Distillation,4754.75,6.65,53.46,10.4414,150.37593984962405,97.2
efficientnet_b0,Base,13713.7,19.18,62.77,16.3594,52.13764337851929,38.32
efficientnet_b0,Pruning,12212.2,17.08,61.33,15.2148,58.5480093676815,38.74
efficientnet_b0,Distillation,13720.85,19.19,64.48,16.0664,52.11047420531526,50.07
mnasnet1_0,Base,5033.6,7.04,57.01,12.707,142.04545454545453,77.9
mnasnet1_0,Pruning,4919.2,6.88,56.91,11.8516,145.34883720930233,80.42
mnasnet1_0,Distillation,5026.45,7.03,57.63,14.5938,142.2475106685633,88.39
resnet18,Base,10968.1,15.34,85.01,26.6484,65.1890482398957,92.45
resnet18,Pruning,9652.5,13.5,83.98,30.8398,74.07407407407408,77.76
resnet18,Distillation,10960.95,15.33,85.05,26.5898,65.23157208088715,99.44
mobilenet_v2,Base,4761.900000000001,6.66,53.16,10.3906,150.15015015015015,90.07
mobilenet_v2,Pruning,4690.4,6.56,49.67,11.5234,152.4390243902439,72.31
mobilenet_v2,Distillation,4761.900000000001,6.66,51.66,10.418,150.15015015015015,97.2
efficientnet_b0,Base,13728.0,19.2,60.64,16.2852,52.083333333333336,38.32
efficientnet_b0,Pruning,12205.05,17.07,58.13,15.1328,58.58230814294083,38.74
efficientnet_b0,Distillation,13720.85,19.19,61.25,15.9922,52.11047420531526,50.07
mnasnet1_0,Base,5019.299999999999,7.02,55.31,12.4414,142.4501424501425,77.9
mnasnet1_0,Pruning,4919.2,6.88,53.87,13.5508,145.34883720930233,80.42
mnasnet1_0,Distillation,5026.45,7.03,54.17,12.7852,142.2475106685633,88.39
resnet18,Base,10960.95,15.33,81.8,28.2578,65.23157208088715,92.45
resnet18,Pruning,9645.35,13.49,79.0,25.0703,74.12898443291327,77.76
resnet18,Distillation,10968.1,15.34,83.22,26.5117,65.1890482398957,99.44
mobilenet_v2,Base,4747.599999999999,6.64,50.49,12.1367,150.60240963855424,90.07
mobilenet_v2,Pruning,4697.55,6.57,49.58,11.4648,152.20700152207002,72.31
mobilenet_v2,Distillation,4761.900000000001,6.66,51.4,10.5391,150.15015015015015,97.2
efficientnet_b0,Base,13749.45,19.23,60.42,16.2344,52.002080083203325,38.32
