Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11196.9,15.66,93.82,28.0586,63.85696040868454,92.45
resnet18,Pruning,9952.8,13.92,87.36,26.4258,71.83908045977012,77.76
resnet18,Distillation,11182.6,15.64,90.37,26.2266,63.9386189258312,99.44
mobilenet_v2,Base,5119.400000000001,7.16,59.92,10.4414,139.66480446927375,90.07
mobilenet_v2,Pruning,5055.05,7.07,58.59,9.80078,141.44271570014143,72.31
mobilenet_v2,Distillation,5112.25,7.15,60.77,10.3281,139.86013986013987,97.2
efficientnet_b0,Base,14078.35,19.69,71.64,16.3594,50.78720162519045,38.32
efficientnet_b0,Pruning,12619.749999999998,17.65,68.9,15.1172,56.657223796034,38.74
efficientnet_b0,Distillation,14092.65,19.71,72.81,15.9961,50.73566717402333,50.07
mnasnet1_0,Base,5362.5,7.5,65.01,14.0586,133.33333333333334,77.9
mnasnet1_0,Pruning,5262.400000000001,7.36,63.28,11.8477,135.8695652173913,80.42
mnasnet1_0,Distillation,5369.65,7.51,64.37,12.8086,133.15579227696406,88.39
resnet18,Base,11196.9,15.66,92.18,26.6289,63.85696040868454,92.45
resnet18,Pruning,9945.65,13.91,88.84,24.9219,71.89072609633357,77.76
resnet18,Distillation,11189.75,15.65,91.47,28.0938,63.89776357827476,99.44
mobilenet_v2,Base,5112.25,7.15,61.12,12.2109,139.86013986013987,90.07
mobilenet_v2,Pruning,5055.05,7.07,60.32,9.71875,141.44271570014143,72.31
mobilenet_v2,Distillation,5119.400000000001,7.16,58.32,10.5859,139.66480446927375,97.2
efficientnet_b0,Base,14071.2,19.68,72.09,16.2773,50.8130081300813,38.32
efficientnet_b0,Pruning,12598.3,17.62,68.5,15.1797,56.75368898978433,38.74
efficientnet_b0,Distillation,14071.2,19.68,69.42,16.1367,50.8130081300813,50.07
mnasnet1_0,Base,5355.35,7.49,63.71,12.5078,133.5113484646195,77.9
mnasnet1_0,Pruning,5248.099999999999,7.34,62.3,13.3984,136.23978201634878,80.42
mnasnet1_0,Distillation,5348.200000000001,7.48,63.61,12.668,133.6898395721925,88.39
resnet18,Base,11182.6,15.64,92.97,28.1758,63.9386189258312,92.45
resnet18,Pruning,9952.8,13.92,87.61,25.1914,71.83908045977012,77.76
resnet18,Distillation,11182.6,15.64,90.93,26.6055,63.9386189258312,99.44
mobilenet_v2,Base,5126.55,7.17,60.2,12.0273,139.4700139470014,90.07
mobilenet_v2,Pruning,5055.05,7.07,58.09,9.77344,141.44271570014143,72.31
mobilenet_v2,Distillation,5119.400000000001,7.16,59.6,10.5508,139.66480446927375,97.2
efficientnet_b0,Base,14078.35,19.69,69.46,17.9453,50.78720162519045,38.32
efficientnet_b0,Pruning,12612.6,17.64,69.22,15.2227,56.68934240362812,38.74
efficientnet_b0,Distillation,14078.35,19.69,70.9,16.0078,50.78720162519045,50.07
mnasnet1_0,Base,5355.35,7.49,65.55,12.4453,133.5113484646195,77.9
mnasnet1_0,Pruning,5240.95,7.33,63.83,13.3008,136.4256480218281,80.42
mnasnet1_0,Distillation,5355.35,7.49,64.15,12.7539,133.5113484646195,88.39
resnet18,Base,11182.6,15.64,93.62,26.4727,63.9386189258312,92.45
resnet18,Pruning,9945.65,13.91,87.32,25.1992,71.89072609633357,77.76
resnet18,Distillation,11189.75,15.65,92.72,28.0352,63.89776357827476,99.44
mobilenet_v2,Base,5112.25,7.15,60.87,10.4492,139.86013986013987,90.07
mobilenet_v2,Pruning,5055.05,7.07,57.93,9.84375,141.44271570014143,72.31
mobilenet_v2,Distillation,5112.25,7.15,58.58,12.0312,139.86013986013987,97.2
efficientnet_b0,Base,14078.35,19.69,71.82,16.3984,50.78720162519045,38.32
efficientnet_b0,Pruning,12605.45,17.63,68.66,15.1953,56.72149744753262,38.74
efficientnet_b0,Distillation,14071.2,19.68,69.66,16.0273,50.8130081300813,50.07
mnasnet1_0,Base,5355.35,7.49,65.18,12.3516,133.5113484646195,77.9
mnasnet1_0,Pruning,5248.099999999999,7.34,62.02,11.9297,136.23978201634878,80.42
mnasnet1_0,Distillation,5355.35,7.49,63.17,14.1445,133.5113484646195,88.39
resnet18,Base,11182.6,15.64,94.19,28.1719,63.9386189258312,92.45
resnet18,Pruning,9945.65,13.91,88.91,26.4805,71.89072609633357,77.76
resnet18,Distillation,11182.6,15.64,90.84,28.125,63.9386189258312,99.44
mobilenet_v2,Base,5112.25,7.15,60.34,10.6211,139.86013986013987,90.07
mobilenet_v2,Pruning,5047.9,7.06,59.22,9.91797,141.643059490085,72.31
mobilenet_v2,Distillation,5126.55,7.17,60.27,10.5039,139.4700139470014,97.2
efficientnet_b0,Base,14071.2,19.68,69.47,16.3516,50.8130081300813,38.32
efficientnet_b0,Pruning,12605.45,17.63,68.59,15.0078,56.72149744753262,38.74
efficientnet_b0,Distillation,14071.2,19.68,72.04,16.1328,50.8130081300813,50.07
mnasnet1_0,Base,5355.35,7.49,63.24,13.9805,133.5113484646195,77.9
mnasnet1_0,Pruning,5248.099999999999,7.34,64.81,11.9688,136.23978201634878,80.42
mnasnet1_0,Distillation,5362.5,7.5,64.23,14.2266,133.33333333333334,88.39
resnet18,Base,11189.75,15.65,93.47,26.457,63.89776357827476,92.45
resnet18,Pruning,9952.8,13.92,88.74,24.9961,71.83908045977012,77.76
resnet18,Distillation,11175.45,15.63,96.95,28.0391,63.97952655150352,99.44
mobilenet_v2,Base,5112.25,7.15,61.06,10.5586,139.86013986013987,90.07
mobilenet_v2,Pruning,5055.05,7.07,56.6,9.67188,141.44271570014143,72.31
mobilenet_v2,Distillation,5119.400000000001,7.16,60.34,10.4453,139.66480446927375,97.2
efficientnet_b0,Base,14078.35,19.69,69.23,16.4062,50.78720162519045,38.32
efficientnet_b0,Pruning,12612.6,17.64,68.25,15.1914,56.68934240362812,38.74
efficientnet_b0,Distillation,14071.2,19.68,69.15,16.1289,50.8130081300813,50.07
mnasnet1_0,Base,5355.35,7.49,67.52,14.0,133.5113484646195,77.9
mnasnet1_0,Pruning,5262.400000000001,7.36,64.1,11.9141,135.8695652173913,80.42
mnasnet1_0,Distillation,5355.35,7.49,64.09,12.8125,133.5113484646195,88.39
resnet18,Base,11182.6,15.64,93.21,26.4609,63.9386189258312,92.45
resnet18,Pruning,9945.65,13.91,90.08,25.0469,71.89072609633357,77.76
resnet18,Distillation,11189.75,15.65,92.35,26.332,63.89776357827476,99.44
mobilenet_v2,Base,5126.55,7.17,60.97,10.3125,139.4700139470014,90.07
mobilenet_v2,Pruning,5062.2,7.08,57.66,11.7031,141.24293785310735,72.31
mobilenet_v2,Distillation,5119.400000000001,7.16,60.14,12.1016,139.66480446927375,97.2
efficientnet_b0,Base,14071.2,19.68,71.08,16.2266,50.8130081300813,38.32
efficientnet_b0,Pruning,12605.45,17.63,67.34,19.2891,56.72149744753262,38.74
