Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,10832.25,15.15,82.08,26.4727,66.006600660066,92.45
resnet18,Pruning,9516.65,13.31,79.14,26.7266,75.13148009015778,77.76
resnet18,Distillation,10832.25,15.15,81.05,26.5312,66.006600660066,99.44
mobilenet_v2,Base,4704.7,6.58,51.69,12.0664,151.9756838905775,90.07
mobilenet_v2,Pruning,4654.65,6.51,51.41,11.375,153.60983102918587,72.31
mobilenet_v2,Distillation,4704.7,6.58,51.43,10.6289,151.9756838905775,97.2
efficientnet_b0,Base,13606.45,19.03,61.32,16.4336,52.54860746190226,38.32
efficientnet_b0,Pruning,12140.7,16.98,60.08,16.8711,58.89281507656066,38.74
efficientnet_b0,Distillation,13606.45,19.03,61.21,15.9414,52.54860746190226,50.07
mnasnet1_0,Base,4962.1,6.94,55.78,12.6328,144.0922190201729,77.9
mnasnet1_0,Pruning,4826.25,6.75,54.67,11.7266,148.14814814814815,80.42
mnasnet1_0,Distillation,4969.25,6.95,56.01,12.6602,143.88489208633092,88.39
resnet18,Base,10839.4,15.16,81.94,26.4844,65.96306068601584,92.45
resnet18,Pruning,9530.95,13.33,80.0,25.1758,75.01875468867216,77.76
resnet18,Distillation,10839.4,15.16,79.39,26.3242,65.96306068601584,99.44
mobilenet_v2,Base,4711.849999999999,6.59,49.33,12.0352,151.74506828528072,90.07
mobilenet_v2,Pruning,4647.5,6.5,49.43,9.97656,153.84615384615384,72.31
mobilenet_v2,Distillation,4704.7,6.58,49.71,10.4336,151.9756838905775,97.2
efficientnet_b0,Base,13599.3,19.02,60.51,16.3477,52.576235541535226,38.32
efficientnet_b0,Pruning,12133.55,16.97,58.92,16.7969,58.927519151443725,38.74
efficientnet_b0,Distillation,13599.3,19.02,59.56,16.1055,52.576235541535226,50.07
mnasnet1_0,Base,4962.1,6.94,53.89,12.7148,144.0922190201729,77.9
mnasnet1_0,Pruning,4862.0,6.8,53.15,13.4883,147.05882352941177,80.42
mnasnet1_0,Distillation,4962.1,6.94,54.99,12.6641,144.0922190201729,88.39
resnet18,Base,10832.25,15.15,80.65,26.6641,66.006600660066,92.45
resnet18,Pruning,9523.8,13.32,78.42,25.2734,75.07507507507508,77.76
resnet18,Distillation,10825.1,15.14,80.06,28.1758,66.05019815059445,99.44
mobilenet_v2,Base,4704.7,6.58,49.95,12.1367,151.9756838905775,90.07
mobilenet_v2,Pruning,4647.5,6.5,49.83,9.79688,153.84615384615384,72.31
mobilenet_v2,Distillation,4711.849999999999,6.59,50.38,10.4688,151.74506828528072,97.2
efficientnet_b0,Base,13613.6,19.04,60.0,16.332,52.52100840336135,38.32
efficientnet_b0,Pruning,12133.55,16.97,58.84,15.1289,58.927519151443725,38.74
efficientnet_b0,Distillation,13620.75,19.05,59.58,15.9336,52.493438320209975,50.07
mnasnet1_0,Base,4954.95,6.93,54.54,14.3203,144.3001443001443,77.9
mnasnet1_0,Pruning,4854.85,6.79,53.47,12.0312,147.27540500736376,80.42
mnasnet1_0,Distillation,4954.95,6.93,54.19,12.7969,144.3001443001443,88.39
resnet18,Base,10810.8,15.12,81.0,28.2773,66.13756613756614,92.45
resnet18,Pruning,9545.25,13.35,78.65,26.7461,74.90636704119851,77.76
resnet18,Distillation,10832.25,15.15,79.69,26.4883,66.006600660066,99.44
mobilenet_v2,Base,4711.849999999999,6.59,50.3,12.125,151.74506828528072,90.07
mobilenet_v2,Pruning,4661.799999999999,6.52,50.68,9.80469,153.37423312883436,72.31
mobilenet_v2,Distillation,4711.849999999999,6.59,50.78,10.457,151.74506828528072,97.2
efficientnet_b0,Base,13606.45,19.03,60.39,16.2617,52.54860746190226,38.32
efficientnet_b0,Pruning,12133.55,16.97,59.32,15.2031,58.927519151443725,38.74
efficientnet_b0,Distillation,13613.6,19.04,59.57,16.1758,52.52100840336135,50.07
mnasnet1_0,Base,4962.1,6.94,54.65,14.0547,144.0922190201729,77.9
mnasnet1_0,Pruning,4819.1,6.74,54.01,11.9102,148.3679525222552,80.42
mnasnet1_0,Distillation,4962.1,6.94,54.68,12.6875,144.0922190201729,88.39
resnet18,Base,10846.55,15.17,81.87,28.1914,65.91957811470007,92.45
resnet18,Pruning,9530.95,13.33,79.58,25.1055,75.01875468867216,77.76
resnet18,Distillation,10825.1,15.14,80.16,26.1953,66.05019815059445,99.44
mobilenet_v2,Base,4704.7,6.58,52.86,12.0781,151.9756838905775,90.07
