Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11025.3,15.42,81.92,28.2109,64.85084306095979,92.45
resnet18,Pruning,9538.1,13.34,81.93,26.8359,74.96251874062969,77.76
resnet18,Distillation,11032.45,15.43,83.73,26.5586,64.80881399870383,99.44
mobilenet_v2,Base,4711.849999999999,6.59,52.13,10.4844,151.74506828528072,90.07
mobilenet_v2,Pruning,4654.65,6.51,52.45,9.72656,153.60983102918587,72.31
mobilenet_v2,Distillation,4719.0,6.6,51.52,11.9727,151.51515151515153,97.2
efficientnet_b0,Base,13613.6,19.04,62.13,16.4023,52.52100840336135,38.32
efficientnet_b0,Pruning,12140.7,16.98,61.7,16.7695,58.89281507656066,38.74
efficientnet_b0,Distillation,13620.75,19.05,63.1,16.1133,52.493438320209975,50.07
mnasnet1_0,Base,4954.95,6.93,56.78,12.7773,144.3001443001443,77.9
mnasnet1_0,Pruning,4854.85,6.79,56.81,11.9297,147.27540500736376,80.42
mnasnet1_0,Distillation,4947.8,6.92,57.16,14.293,144.50867052023122,88.39
resnet18,Base,11039.6,15.44,81.69,26.4453,64.76683937823834,92.45
resnet18,Pruning,9552.4,13.36,80.97,25.1016,74.8502994011976,77.76
resnet18,Distillation,11039.6,15.44,84.11,26.5508,64.76683937823834,99.44
mobilenet_v2,Base,4704.7,6.58,52.89,12.1328,151.9756838905775,90.07
mobilenet_v2,Pruning,4654.65,6.51,52.06,9.97266,153.60983102918587,72.31
mobilenet_v2,Distillation,4719.0,6.6,51.68,10.3281,151.51515151515153,97.2
efficientnet_b0,Base,13642.2,19.08,62.36,16.2188,52.41090146750525,38.32
efficientnet_b0,Pruning,12140.7,16.98,61.25,15.1719,58.89281507656066,38.74
efficientnet_b0,Distillation,13620.75,19.05,64.67,16.0469,52.493438320209975,50.07
mnasnet1_0,Base,4962.1,6.94,55.32,12.6875,144.0922190201729,77.9
mnasnet1_0,Pruning,4869.15,6.81,53.81,11.6289,146.84287812041117,80.42
mnasnet1_0,Distillation,4954.95,6.93,55.24,12.6641,144.3001443001443,88.39
resnet18,Base,11039.6,15.44,80.79,28.2109,64.76683937823834,92.45
resnet18,Pruning,9552.4,13.36,80.02,31.2148,74.8502994011976,77.76
resnet18,Distillation,11046.75,15.45,81.82,28.2578,64.72491909385114,99.44
mobilenet_v2,Base,4704.7,6.58,52.8,10.3047,151.9756838905775,90.07
mobilenet_v2,Pruning,4654.65,6.51,49.55,9.83984,153.60983102918587,72.31
mobilenet_v2,Distillation,4704.7,6.58,49.68,11.9492,151.9756838905775,97.2
efficientnet_b0,Base,13613.6,19.04,61.12,16.2617,52.52100840336135,38.32
efficientnet_b0,Pruning,12126.4,16.96,58.3,15.1094,58.96226415094339,38.74
efficientnet_b0,Distillation,13613.6,19.04,61.84,16.0859,52.52100840336135,50.07
mnasnet1_0,Base,4962.1,6.94,55.73,12.6484,144.0922190201729,77.9
mnasnet1_0,Pruning,4862.0,6.8,54.0,11.8984,147.05882352941177,80.42
mnasnet1_0,Distillation,4954.95,6.93,56.04,16.5508,144.3001443001443,88.39
resnet18,Base,11046.75,15.45,81.97,26.5781,64.72491909385114,92.45
resnet18,Pruning,9552.4,13.36,80.27,26.7891,74.8502994011976,77.76
resnet18,Distillation,11039.6,15.44,81.9,26.457,64.76683937823834,99.44
mobilenet_v2,Base,4719.0,6.6,51.39,10.5547,151.51515151515153,90.07
mobilenet_v2,Pruning,4647.5,6.5,50.13,10.0078,153.84615384615384,72.31
mobilenet_v2,Distillation,4704.7,6.58,49.73,10.6484,151.9756838905775,97.2
efficientnet_b0,Base,13627.9,19.06,59.35,16.293,52.46589716684156,38.32
efficientnet_b0,Pruning,12147.85,16.99,58.65,15.2305,58.85815185403179,38.74
efficientnet_b0,Distillation,13606.45,19.03,62.01,16.0469,52.54860746190226,50.07
mnasnet1_0,Base,4954.95,6.93,55.0,12.707,144.3001443001443,77.9
mnasnet1_0,Pruning,4869.15,6.81,54.31,11.6602,146.84287812041117,80.42
mnasnet1_0,Distillation,4954.95,6.93,56.04,12.7578,144.3001443001443,88.39
resnet18,Base,11032.45,15.43,79.97,28.3086,64.80881399870383,92.45
resnet18,Pruning,9545.25,13.35,81.77,25.2773,74.90636704119851,77.76
resnet18,Distillation,11039.6,15.44,83.7,26.4219,64.76683937823834,99.44
