Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11068.2,15.48,84.69,26.4648,64.59948320413436,92.45
resnet18,Pruning,9659.65,13.51,80.77,25.293,74.01924500370096,77.76
resnet18,Distillation,11068.2,15.48,85.78,26.4492,64.59948320413436,99.44
mobilenet_v2,Base,4790.5,6.7,53.52,12.2031,149.2537313432836,90.07
mobilenet_v2,Pruning,4733.3,6.62,51.69,11.4766,151.05740181268882,72.31
mobilenet_v2,Distillation,4804.8,6.72,52.43,11.9453,148.80952380952382,97.2
efficientnet_b0,Base,13742.3,19.22,63.29,16.332,52.02913631633715,38.32
efficientnet_b0,Pruning,12276.55,17.17,61.29,15.0508,58.24111822947,38.74
efficientnet_b0,Distillation,13742.3,19.22,66.02,15.9375,52.02913631633715,50.07
mnasnet1_0,Base,5062.2,7.08,59.52,14.3203,141.24293785310735,77.9
mnasnet1_0,Pruning,4940.650000000001,6.91,56.82,11.8945,144.7178002894356,80.42
mnasnet1_0,Distillation,5047.9,7.06,74.71,14.2227,141.643059490085,88.39
resnet18,Base,11068.2,15.48,85.24,26.5352,64.59948320413436,92.45
resnet18,Pruning,9659.65,13.51,82.35,26.7812,74.01924500370096,77.76
resnet18,Distillation,11082.5,15.5,85.08,28.2383,64.51612903225806,99.44
mobilenet_v2,Base,4783.35,6.69,53.95,10.5234,149.47683109118086,90.07
mobilenet_v2,Pruning,4740.45,6.63,52.36,11.4844,150.82956259426848,72.31
mobilenet_v2,Distillation,4797.65,6.71,53.78,10.4219,149.03129657228018,97.2
efficientnet_b0,Base,13749.45,19.23,63.48,16.4062,52.002080083203325,38.32
efficientnet_b0,Pruning,12262.249999999998,17.15,61.49,15.0039,58.30903790087464,38.74
efficientnet_b0,Distillation,13735.15,19.21,65.87,16.2188,52.05622071837584,50.07
mnasnet1_0,Base,5055.05,7.07,59.35,12.4336,141.44271570014143,77.9
mnasnet1_0,Pruning,4940.650000000001,6.91,57.84,11.957,144.7178002894356,80.42
mnasnet1_0,Distillation,5055.05,7.07,59.58,12.5273,141.44271570014143,88.39
resnet18,Base,11075.35,15.49,86.5,26.582,64.55777921239509,92.45
resnet18,Pruning,9666.8,13.52,83.04,25.2344,73.96449704142012,77.76
resnet18,Distillation,11068.2,15.48,86.4,28.125,64.59948320413436,99.44
mobilenet_v2,Base,4790.5,6.7,53.93,10.5117,149.2537313432836,90.07
mobilenet_v2,Pruning,4733.3,6.62,50.19,9.72656,151.05740181268882,72.31
mobilenet_v2,Distillation,4797.65,6.71,52.13,10.4336,149.03129657228018,97.2
efficientnet_b0,Base,13742.3,19.22,61.93,17.5859,52.02913631633715,38.32
efficientnet_b0,Pruning,12269.4,17.16,60.17,15.0898,58.27505827505828,38.74
efficientnet_b0,Distillation,13749.45,19.23,63.98,15.9453,52.002080083203325,50.07
mnasnet1_0,Base,5062.2,7.08,56.33,12.7617,141.24293785310735,77.9
mnasnet1_0,Pruning,4940.650000000001,6.91,55.77,11.9922,144.7178002894356,80.42
mnasnet1_0,Distillation,5047.9,7.06,55.74,12.4844,141.643059490085,88.39
resnet18,Base,11068.2,15.48,84.97,30.5469,64.59948320413436,92.45
resnet18,Pruning,9666.8,13.52,79.7,25.3359,73.96449704142012,77.76
