Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11361.35,15.89,111.94,28.0156,62.93266205160478,92.59
resnet18,Pruning,10102.95,14.13,109.17,25.2773,70.77140835102618,83.64
resnet18,Distillation,11354.2,15.88,112.58,26.4648,62.97229219143576,99.16
mobilenet_v2,Base,5262.400000000001,7.36,74.64,12.1641,135.8695652173913,93.29
mobilenet_v2,Pruning,5183.75,7.25,74.35,9.79688,137.93103448275863,72.87
mobilenet_v2,Distillation,5240.95,7.33,74.07,10.5156,136.4256480218281,97.34
efficientnet_b0,Base,14257.1,19.94,88.31,17.7461,50.150451354062184,58.74
efficientnet_b0,Pruning,12719.849999999999,17.79,85.84,15.1367,56.21135469364812,49.79
efficientnet_b0,Distillation,14257.1,19.94,88.72,16.1055,50.150451354062184,52.73
mnasnet1_0,Base,5534.1,7.74,81.05,14.0938,129.19896640826872,71.89
mnasnet1_0,Pruning,5391.1,7.54,80.25,13.3164,132.6259946949602,81.82
mnasnet1_0,Distillation,5519.8,7.72,80.84,12.8359,129.5336787564767,89.79
resnet18,Base,11347.05,15.87,113.84,28.1289,63.0119722747322,92.59
resnet18,Pruning,10117.25,14.15,109.21,25.2305,70.6713780918728,83.64
resnet18,Distillation,11354.2,15.88,114.69,28.0508,62.97229219143576,99.16
mobilenet_v2,Base,5233.8,7.32,75.7,10.375,136.61202185792348,93.29
mobilenet_v2,Pruning,5198.049999999999,7.27,74.21,9.97266,137.5515818431912,72.87
mobilenet_v2,Distillation,5248.099999999999,7.34,76.19,10.5391,136.23978201634878,97.34
efficientnet_b0,Base,14257.1,19.94,87.55,17.8828,50.150451354062184,58.74
efficientnet_b0,Pruning,12727.0,17.8,87.15,17.0273,56.17977528089887,49.79
efficientnet_b0,Distillation,14271.400000000001,19.96,88.19,17.6172,50.100200400801604,52.73
mnasnet1_0,Base,5526.950000000001,7.73,82.76,12.6016,129.36610608020698,71.89
mnasnet1_0,Pruning,5412.55,7.57,79.99,13.5156,132.1003963011889,81.82
mnasnet1_0,Distillation,5526.950000000001,7.73,81.46,12.543,129.36610608020698,89.79
resnet18,Base,11354.2,15.88,114.34,28.2188,62.97229219143576,92.59
resnet18,Pruning,10124.4,14.16,111.72,25.0352,70.62146892655367,83.64
resnet18,Distillation,11332.75,15.85,115.26,27.9844,63.09148264984227,99.16
mobilenet_v2,Base,5248.099999999999,7.34,72.25,12.2812,136.23978201634878,93.29
mobilenet_v2,Pruning,5198.049999999999,7.27,72.47,11.4297,137.5515818431912,72.87
mobilenet_v2,Distillation,5248.099999999999,7.34,74.41,12.0664,136.23978201634878,97.34
efficientnet_b0,Base,14271.400000000001,19.96,84.13,17.7539,50.100200400801604,58.74
efficientnet_b0,Pruning,12734.15,17.81,83.38,16.9648,56.14823133071309,49.79
efficientnet_b0,Distillation,14264.25,19.95,85.51,15.9102,50.12531328320802,52.73
mnasnet1_0,Base,5526.950000000001,7.73,78.97,14.2578,129.36610608020698,71.89
mnasnet1_0,Pruning,5412.55,7.57,76.4,11.918,132.1003963011889,81.82
mnasnet1_0,Distillation,5541.25,7.75,78.82,12.7148,129.03225806451613,89.79
resnet18,Base,11368.5,15.9,110.08,28.1797,62.893081761006286,92.59
resnet18,Pruning,10117.25,14.15,104.99,25.1484,70.6713780918728,83.64
resnet18,Distillation,11339.9,15.86,112.29,28.0273,63.051702395964696,99.16
mobilenet_v2,Base,5255.25,7.35,73.75,10.6328,136.0544217687075,93.29
