Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11304.15,15.81,91.15,26.6445,63.25110689437065,92.59
resnet18,Pruning,9938.5,13.9,118.61,25.2578,71.94244604316546,83.64
resnet18,Distillation,11947.650000000001,16.71,104.04,26.5664,59.844404548174744,99.16
mobilenet_v2,Base,4962.1,6.94,59.03,10.6562,144.0922190201729,93.29
mobilenet_v2,Pruning,5119.400000000001,7.16,55.84,9.97266,139.66480446927375,72.87
mobilenet_v2,Distillation,5848.7,8.18,95.03,10.5703,122.24938875305624,97.34
efficientnet_b0,Base,14700.4,20.56,64.22,16.0234,48.63813229571985,58.74
efficientnet_b0,Pruning,12691.25,17.75,66.04,15.0664,56.33802816901409,49.79
efficientnet_b0,Distillation,14157.0,19.8,100.23,16.2969,50.505050505050505,52.73
mnasnet1_0,Base,5526.950000000001,7.73,75.82,12.4531,129.36610608020698,71.89
mnasnet1_0,Pruning,5526.950000000001,7.73,60.34,11.9219,129.36610608020698,81.82
mnasnet1_0,Distillation,5669.95,7.93,104.18,12.7461,126.10340479192939,89.79
resnet18,Base,11168.3,15.62,85.36,26.5625,64.02048655569783,92.59
resnet18,Pruning,10310.3,14.42,114.27,24.9414,69.34812760055479,83.64
resnet18,Distillation,11154.0,15.6,88.1,26.5195,64.1025641025641,99.16
mobilenet_v2,Base,5040.75,7.05,56.65,10.3828,141.84397163120568,93.29
mobilenet_v2,Pruning,4833.4,6.76,56.93,9.83203,147.92899408284023,72.87
mobilenet_v2,Distillation,5198.049999999999,7.27,73.18,10.4414,137.5515818431912,97.34
efficientnet_b0,Base,14085.5,19.7,65.72,16.3008,50.76142131979696,58.74
efficientnet_b0,Pruning,12655.5,17.7,93.33,15.3008,56.49717514124294,49.79
efficientnet_b0,Distillation,14421.550000000001,20.17,75.91,16.1094,49.578582052553294,52.73
mnasnet1_0,Base,5255.25,7.35,65.14,12.5703,136.0544217687075,71.89
mnasnet1_0,Pruning,5598.45,7.83,100.56,11.8945,127.71392081736909,81.82
mnasnet1_0,Distillation,5248.099999999999,7.34,58.86,12.8086,136.23978201634878,89.79
resnet18,Base,11525.800000000001,16.12,165.3,26.4297,62.034739454094286,92.59
resnet18,Pruning,9924.2,13.88,84.8,25.1367,72.04610951008645,83.64
resnet18,Distillation,11440.0,16.0,88.85,26.3398,62.5,99.16
mobilenet_v2,Base,4954.95,6.93,65.78,10.4258,144.3001443001443,93.29
mobilenet_v2,Pruning,5291.0,7.4,63.72,9.69141,135.13513513513513,72.87
mobilenet_v2,Distillation,5033.6,7.04,52.92,10.457,142.04545454545453,97.34
efficientnet_b0,Base,14135.55,19.77,108.86,16.2578,50.58168942842691,58.74
efficientnet_b0,Pruning,12748.449999999999,17.83,65.53,15.2383,56.085249579360635,49.79
efficientnet_b0,Distillation,14114.099999999999,19.74,78.91,16.2656,50.658561296859176,52.73
mnasnet1_0,Base,5727.15,8.01,66.6,12.7539,124.84394506866417,71.89
mnasnet1_0,Pruning,5291.0,7.4,66.45,11.6719,135.13513513513513,81.82
mnasnet1_0,Distillation,5491.2,7.68,68.8,12.793,130.20833333333334,89.79
resnet18,Base,11339.9,15.86,118.46,26.8398,63.051702395964696,92.59
resnet18,Pruning,9816.95,13.73,80.34,24.8086,72.83321194464676,83.64
resnet18,Distillation,11525.800000000001,16.12,87.77,26.5352,62.034739454094286,99.16
mobilenet_v2,Base,5062.2,7.08,57.21,10.5781,141.24293785310735,93.29
mobilenet_v2,Pruning,4997.85,6.99,50.92,9.97266,143.0615164520744,72.87
mobilenet_v2,Distillation,5848.7,8.18,65.98,10.293,122.24938875305624,97.34
efficientnet_b0,Base,14493.05,20.27,67.4,16.2344,49.3339911198816,58.74
efficientnet_b0,Pruning,12491.05,17.47,64.9,15.2148,57.24098454493418,49.79
efficientnet_b0,Distillation,14014.000000000002,19.6,68.4,16.1992,51.0204081632653,52.73
mnasnet1_0,Base,5198.049999999999,7.27,57.06,12.7812,137.5515818431912,71.89
mnasnet1_0,Pruning,5005.0,7.0,63.31,11.9297,142.85714285714286,81.82
mnasnet1_0,Distillation,5119.400000000001,7.16,58.1,12.7812,139.66480446927375,89.79
resnet18,Base,11289.849999999999,15.79,93.04,26.5664,63.33122229259025,92.59
resnet18,Pruning,10210.199999999999,14.28,91.62,25.0781,70.0280112044818,83.64
resnet18,Distillation,11447.150000000001,16.01,91.74,26.5,62.46096189881324,99.16
mobilenet_v2,Base,5355.35,7.49,75.86,10.4727,133.5113484646195,93.29
mobilenet_v2,Pruning,5555.549999999999,7.77,59.3,10.0859,128.70012870012872,72.87
mobilenet_v2,Distillation,5269.55,7.37,56.14,10.625,135.68521031207598,97.34
efficientnet_b0,Base,14507.349999999999,20.29,70.19,16.4062,49.28536224741252,58.74
efficientnet_b0,Pruning,12777.050000000001,17.87,65.27,15.1367,55.95970900951315,49.79
efficientnet_b0,Distillation,14328.599999999999,20.04,73.64,16.1289,49.9001996007984,52.73
mnasnet1_0,Base,5198.049999999999,7.27,57.72,12.4062,137.5515818431912,71.89
mnasnet1_0,Pruning,5541.25,7.75,64.97,11.8594,129.03225806451613,81.82
mnasnet1_0,Distillation,5233.8,7.32,60.14,16.5547,136.61202185792348,89.79
resnet18,Base,11261.25,15.75,86.72,26.4844,63.492063492063494,92.59
resnet18,Pruning,11926.199999999999,16.68,83.58,25.2812,59.95203836930456,83.64
resnet18,Distillation,11146.85,15.59,111.06,26.3867,64.14368184733804,99.16
mobilenet_v2,Base,5205.2,7.28,65.59,10.5352,137.36263736263737,93.29
mobilenet_v2,Pruning,5176.6,7.24,53.01,9.92578,138.12154696132598,72.87
mobilenet_v2,Distillation,5169.450000000001,7.23,54.38,10.418,138.31258644536652,97.34
efficientnet_b0,Base,14900.6,20.84,69.3,16.2148,47.98464491362764,58.74
efficientnet_b0,Pruning,13055.900000000001,18.26,97.49,15.2344,54.76451259583789,49.79
efficientnet_b0,Distillation,15343.900000000001,21.46,67.93,16.2383,46.59832246039142,52.73
