Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,10817.95,15.13,85.51,28.0977,66.09385327164573,37.62
resnet18,Pruning,9566.7,13.38,80.97,26.8008,74.73841554559043,53.57
resnet18,Distillation,10839.4,15.16,83.54,28.3242,65.96306068601584,36.64
mobilenet_v2,Base,4676.1,6.54,53.5,10.2812,152.9051987767584,64.9
mobilenet_v2,Pruning,4647.5,6.5,52.48,9.65234,153.84615384615384,51.33
mobilenet_v2,Distillation,4747.599999999999,6.64,53.45,12.3164,150.60240963855424,42.66
efficientnet_b0,Base,13670.800000000001,19.12,63.96,18.0039,52.30125523012552,61.4
efficientnet_b0,Pruning,12176.45,17.03,61.74,16.9844,58.71990604815032,36.64
efficientnet_b0,Distillation,13670.800000000001,19.12,67.03,16.0273,52.30125523012552,59.72
mnasnet1_0,Base,4997.85,6.99,59.17,14.2852,143.0615164520744,63.36
mnasnet1_0,Pruning,4890.599999999999,6.84,57.78,13.5234,146.19883040935673,61.12
mnasnet1_0,Distillation,5005.0,7.0,58.73,14.1641,142.85714285714286,36.64
resnet18,Base,10825.1,15.14,86.22,28.1328,66.05019815059445,37.62
resnet18,Pruning,9559.55,13.37,83.06,27.0156,74.79431563201197,53.57
resnet18,Distillation,10817.95,15.13,85.11,26.1523,66.09385327164573,36.64
mobilenet_v2,Base,4740.45,6.63,53.98,10.5938,150.82956259426848,64.9
mobilenet_v2,Pruning,4711.849999999999,6.59,53.97,11.3594,151.74506828528072,51.33
mobilenet_v2,Distillation,4776.2,6.68,54.79,12.1055,149.7005988023952,42.66
efficientnet_b0,Base,13670.800000000001,19.12,64.28,17.9414,52.30125523012552,61.4
efficientnet_b0,Pruning,12190.75,17.05,62.84,16.7305,58.651026392961874,36.64
efficientnet_b0,Distillation,13685.1,19.14,65.53,15.9688,52.2466039707419,59.72
mnasnet1_0,Base,4990.700000000001,6.98,58.05,14.0664,143.26647564469914,63.36
mnasnet1_0,Pruning,4890.599999999999,6.84,58.93,12.0312,146.19883040935673,61.12
mnasnet1_0,Distillation,4997.85,6.99,58.64,14.625,143.0615164520744,36.64
resnet18,Base,10825.1,15.14,86.05,28.2578,66.05019815059445,37.62
resnet18,Pruning,9559.55,13.37,82.95,25.1641,74.79431563201197,53.57
resnet18,Distillation,10832.25,15.15,86.15,28.0742,66.006600660066,36.64
mobilenet_v2,Base,4740.45,6.63,55.53,12.1016,150.82956259426848,64.9
mobilenet_v2,Pruning,4697.55,6.57,54.21,13.5742,152.20700152207002,51.33
mobilenet_v2,Distillation,4740.45,6.63,55.3,12.1016,150.82956259426848,42.66
efficientnet_b0,Base,13677.949999999999,19.13,62.62,17.9805,52.27391531625719,61.4
efficientnet_b0,Pruning,12183.599999999999,17.04,59.85,16.7891,58.68544600938967,36.64
efficientnet_b0,Distillation,13663.65,19.11,60.96,16.0,52.32862375719519,59.72
mnasnet1_0,Base,4997.85,6.99,56.84,12.668,143.0615164520744,63.36
mnasnet1_0,Pruning,4890.599999999999,6.84,55.69,13.4023,146.19883040935673,61.12
mnasnet1_0,Distillation,5005.0,7.0,56.73,14.5,142.85714285714286,36.64
resnet18,Base,10817.95,15.13,83.17,28.1328,66.09385327164573,37.62
resnet18,Pruning,9538.1,13.34,80.73,25.1562,74.96251874062969,53.57
resnet18,Distillation,10817.95,15.13,83.07,28.0898,66.09385327164573,36.64
mobilenet_v2,Base,4754.75,6.65,51.89,12.2227,150.37593984962405,64.9
