Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11204.05,15.67,103.17,28.1211,63.81620931716656,92.45
resnet18,Pruning,9995.7,13.98,98.74,26.5859,71.5307582260372,77.76
resnet18,Distillation,11211.2,15.68,102.22,28.2383,63.775510204081634,99.44
mobilenet_v2,Base,5133.7,7.18,69.48,10.5156,139.2757660167131,90.07
mobilenet_v2,Pruning,5062.2,7.08,66.93,11.375,141.24293785310735,72.31
mobilenet_v2,Distillation,5148.0,7.2,69.06,12.0508,138.88888888888889,97.2
efficientnet_b0,Base,14056.9,19.66,80.63,16.2227,50.8646998982706,38.32
efficientnet_b0,Pruning,12555.4,17.56,78.42,15.0938,56.94760820045558,38.74
efficientnet_b0,Distillation,14056.9,19.66,79.53,16.1602,50.8646998982706,50.07
mnasnet1_0,Base,5391.1,7.54,75.33,14.2969,132.6259946949602,77.9
mnasnet1_0,Pruning,5298.150000000001,7.41,71.48,11.8555,134.9527665317139,80.42
mnasnet1_0,Distillation,5383.95,7.53,75.36,12.707,132.80212483399734,88.39
resnet18,Base,11211.2,15.68,102.13,26.457,63.775510204081634,92.45
resnet18,Pruning,9995.7,13.98,98.5,24.8984,71.5307582260372,77.76
resnet18,Distillation,11204.05,15.67,103.26,26.4414,63.81620931716656,99.44
mobilenet_v2,Base,5133.7,7.18,69.43,10.3867,139.2757660167131,90.07
mobilenet_v2,Pruning,5069.349999999999,7.09,68.5,9.78906,141.04372355430183,72.31
mobilenet_v2,Distillation,5148.0,7.2,70.43,10.3906,138.88888888888889,97.2
efficientnet_b0,Base,14064.05,19.67,79.53,16.4023,50.83884087442806,38.32
efficientnet_b0,Pruning,12562.55,17.57,79.38,15.0586,56.91519635742743,38.74
efficientnet_b0,Distillation,14056.9,19.66,81.56,17.8867,50.8646998982706,50.07
mnasnet1_0,Base,5383.95,7.53,76.63,12.7383,132.80212483399734,77.9
mnasnet1_0,Pruning,5298.150000000001,7.41,72.79,13.4805,134.9527665317139,80.42
mnasnet1_0,Distillation,5391.1,7.54,75.42,14.4219,132.6259946949602,88.39
resnet18,Base,11211.2,15.68,103.54,28.1172,63.775510204081634,92.45
resnet18,Pruning,9988.55,13.97,100.69,24.9336,71.58196134574086,77.76
resnet18,Distillation,11204.05,15.67,104.54,26.6211,63.81620931716656,99.44
mobilenet_v2,Base,5140.85,7.19,69.42,10.4023,139.0820584144645,90.07
mobilenet_v2,Pruning,5069.349999999999,7.09,69.65,9.88281,141.04372355430183,72.31
mobilenet_v2,Distillation,5155.15,7.21,69.24,10.3203,138.69625520110958,97.2
efficientnet_b0,Base,14071.2,19.68,82.51,16.2852,50.8130081300813,38.32
efficientnet_b0,Pruning,12569.7,17.58,78.6,15.1953,56.88282138794085,38.74
efficientnet_b0,Distillation,14049.749999999998,19.65,82.59,16.0977,50.890585241730285,50.07
mnasnet1_0,Base,5383.95,7.53,74.8,14.4141,132.80212483399734,77.9
mnasnet1_0,Pruning,5305.3,7.42,72.5,11.7422,134.77088948787062,80.42
mnasnet1_0,Distillation,5398.25,7.55,75.33,14.3945,132.45033112582783,88.39
resnet18,Base,11204.05,15.67,105.17,26.5703,63.81620931716656,92.45
resnet18,Pruning,9995.7,13.98,102.61,26.582,71.5307582260372,77.76
resnet18,Distillation,11211.2,15.68,104.44,28.2578,63.775510204081634,99.44
mobilenet_v2,Base,5140.85,7.19,70.37,10.5156,139.0820584144645,90.07
mobilenet_v2,Pruning,5069.349999999999,7.09,68.53,9.78516,141.04372355430183,72.31
mobilenet_v2,Distillation,5148.0,7.2,71.44,12.25,138.88888888888889,97.2
efficientnet_b0,Base,14064.05,19.67,83.07,16.3164,50.83884087442806,38.32
efficientnet_b0,Pruning,12562.55,17.57,81.48,15.1484,56.91519635742743,38.74
efficientnet_b0,Distillation,14064.05,19.67,80.56,16.1523,50.83884087442806,50.07
mnasnet1_0,Base,5376.799999999999,7.52,76.76,14.3711,132.97872340425533,77.9
mnasnet1_0,Pruning,5291.0,7.4,72.65,11.8711,135.13513513513513,80.42
mnasnet1_0,Distillation,5398.25,7.55,75.37,14.2969,132.45033112582783,88.39
resnet18,Base,11204.05,15.67,104.25,28.2773,63.81620931716656,92.45
resnet18,Pruning,9995.7,13.98,99.53,26.6172,71.5307582260372,77.76
resnet18,Distillation,11211.2,15.68,105.5,26.625,63.775510204081634,99.44
mobilenet_v2,Base,5140.85,7.19,70.7,10.418,139.0820584144645,90.07
mobilenet_v2,Pruning,5062.2,7.08,68.53,9.65625,141.24293785310735,72.31
mobilenet_v2,Distillation,5140.85,7.19,70.67,10.3867,139.0820584144645,97.2
efficientnet_b0,Base,14064.05,19.67,82.59,17.9961,50.83884087442806,38.32
efficientnet_b0,Pruning,12562.55,17.57,81.28,16.7891,56.91519635742743,38.74
efficientnet_b0,Distillation,14064.05,19.67,83.51,17.7461,50.83884087442806,50.07
mnasnet1_0,Base,5391.1,7.54,76.44,12.6758,132.6259946949602,77.9
mnasnet1_0,Pruning,5305.3,7.42,73.51,11.6719,134.77088948787062,80.42
mnasnet1_0,Distillation,5383.95,7.53,76.39,14.375,132.80212483399734,88.39
resnet18,Base,11211.2,15.68,103.53,26.6328,63.775510204081634,92.45
resnet18,Pruning,9995.7,13.98,100.51,26.4141,71.5307582260372,77.76
resnet18,Distillation,11204.05,15.67,105.23,26.5781,63.81620931716656,99.44
mobilenet_v2,Base,5140.85,7.19,69.66,10.4414,139.0820584144645,90.07
mobilenet_v2,Pruning,5069.349999999999,7.09,73.19,11.4062,141.04372355430183,72.31
mobilenet_v2,Distillation,5155.15,7.21,73.52,10.5,138.69625520110958,97.2
efficientnet_b0,Base,14056.9,19.66,83.64,16.3945,50.8646998982706,38.32
efficientnet_b0,Pruning,12569.7,17.58,79.74,16.7695,56.88282138794085,38.74
efficientnet_b0,Distillation,14064.05,19.67,82.5,16.0625,50.83884087442806,50.07
mnasnet1_0,Base,5391.1,7.54,77.34,12.6484,132.6259946949602,77.9
mnasnet1_0,Pruning,5298.150000000001,7.41,76.54,13.5391,134.9527665317139,80.42
mnasnet1_0,Distillation,5383.95,7.53,76.4,12.7812,132.80212483399734,88.39
