Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11361.35,15.89,87.21,26.3867,62.93266205160478,92.45
resnet18,Pruning,10131.55,14.17,101.0,25.2891,70.57163020465772,77.76
resnet18,Distillation,11268.4,15.76,102.73,26.6094,63.45177664974619,99.44
mobilenet_v2,Base,5019.299999999999,7.02,68.76,10.2969,142.4501424501425,90.07
mobilenet_v2,Pruning,5326.75,7.45,77.0,9.87891,134.2281879194631,72.31
mobilenet_v2,Distillation,5391.1,7.54,61.5,10.4688,132.6259946949602,97.2
efficientnet_b0,Base,14342.9,20.06,71.55,16.1992,49.85044865403789,38.32
efficientnet_b0,Pruning,14071.2,19.68,75.13,15.3711,50.8130081300813,38.74
efficientnet_b0,Distillation,14285.7,19.98,75.28,16.1094,50.05005005005005,50.07
mnasnet1_0,Base,5341.05,7.47,69.56,12.4727,133.86880856760376,77.9
mnasnet1_0,Pruning,6570.849999999999,9.19,74.58,11.9727,108.8139281828074,80.42
mnasnet1_0,Distillation,5598.45,7.83,74.27,12.7227,127.71392081736909,88.39
resnet18,Base,12054.9,16.86,109.15,26.4922,59.31198102016607,92.45
resnet18,Pruning,10160.15,14.21,95.24,24.9297,70.37297677691765,77.76
resnet18,Distillation,11425.7,15.98,101.44,26.6797,62.57822277847309,99.44
mobilenet_v2,Base,5505.5,7.7,99.18,10.5664,129.87012987012986,90.07
mobilenet_v2,Pruning,5276.7,7.38,69.42,9.88281,135.50135501355012,72.31
mobilenet_v2,Distillation,5348.200000000001,7.48,72.21,10.4961,133.6898395721925,97.2
efficientnet_b0,Base,14171.3,19.82,68.39,16.332,50.45408678102926,38.32
efficientnet_b0,Pruning,12712.7,17.78,72.27,15.2109,56.2429696287964,38.74
efficientnet_b0,Distillation,14185.6,19.84,81.4,15.9961,50.403225806451616,50.07
mnasnet1_0,Base,5448.3,7.62,62.19,12.543,131.23359580052494,77.9
mnasnet1_0,Pruning,5341.05,7.47,68.48,11.9258,133.86880856760376,80.42
mnasnet1_0,Distillation,5269.55,7.37,61.36,12.6758,135.68521031207598,88.39
resnet18,Base,11454.3,16.02,98.36,26.75,62.421972534332085,92.45
resnet18,Pruning,10074.35,14.09,132.08,25.2578,70.97232079489,77.76
resnet18,Distillation,11447.15,16.01,133.21,26.6016,62.46096189881324,99.44
mobilenet_v2,Base,5641.349999999999,7.89,76.06,10.5586,126.7427122940431,90.07
mobilenet_v2,Pruning,5219.5,7.3,65.62,9.82812,136.986301369863,72.31
mobilenet_v2,Distillation,5455.45,7.63,66.45,10.668,131.06159895150722,97.2
efficientnet_b0,Base,14228.499999999998,19.9,91.43,16.3672,50.25125628140704,38.32
efficientnet_b0,Pruning,12884.3,18.02,67.69,15.2148,55.49389567147614,38.74
efficientnet_b0,Distillation,14135.55,19.77,72.9,16.2852,50.58168942842691,50.07
mnasnet1_0,Base,5677.1,7.94,65.91,12.4805,125.94458438287153,77.9
mnasnet1_0,Pruning,5562.7,7.78,61.21,11.8789,128.53470437017995,80.42
mnasnet1_0,Distillation,5641.349999999999,7.89,74.22,12.5352,126.7427122940431,88.39
resnet18,Base,11239.8,15.72,111.7,26.7344,63.61323155216285,92.45
resnet18,Pruning,10181.6,14.24,92.76,25.25,70.2247191011236,77.76
resnet18,Distillation,11325.6,15.84,91.82,26.4375,63.131313131313135,99.44
mobilenet_v2,Base,5362.5,7.5,69.54,14.3516,133.33333333333334,90.07
mobilenet_v2,Pruning,6956.950000000001,9.73,63.43,9.67578,102.7749229188078,72.31
mobilenet_v2,Distillation,5362.5,7.5,70.12,10.6953,133.33333333333334,97.2
efficientnet_b0,Base,14085.5,19.7,72.44,16.3594,50.76142131979696,38.32
efficientnet_b0,Pruning,12798.499999999998,17.9,76.43,15.1094,55.8659217877095,38.74
efficientnet_b0,Distillation,14214.2,19.88,74.2,16.1289,50.30181086519115,50.07
mnasnet1_0,Base,5183.75,7.25,61.59,12.6367,137.93103448275863,77.9
mnasnet1_0,Pruning,5198.049999999999,7.27,62.78,11.7969,137.5515818431912,80.42
mnasnet1_0,Distillation,5741.45,8.03,77.71,12.8086,124.53300124533004,88.39
resnet18,Base,11325.6,15.84,102.91,26.5703,63.131313131313135,92.45
resnet18,Pruning,10110.1,14.14,85.22,25.0703,70.72135785007072,77.76
resnet18,Distillation,11347.05,15.87,102.89,26.4961,63.0119722747322,99.44
mobilenet_v2,Base,4983.55,6.97,59.87,10.5703,143.47202295552367,90.07
mobilenet_v2,Pruning,4976.4,6.96,58.9,9.87891,143.67816091954023,72.31
mobilenet_v2,Distillation,5298.150000000001,7.41,74.85,10.3516,134.9527665317139,97.2
efficientnet_b0,Base,14650.35,20.49,70.4,16.375,48.80429477794046,38.32
efficientnet_b0,Pruning,12727.0,17.8,74.61,15.2969,56.17977528089887,38.74
efficientnet_b0,Distillation,14314.3,20.02,90.05,15.9766,49.95004995004995,50.07
mnasnet1_0,Base,5712.85,7.99,93.59,12.7266,125.15644555694618,77.9
mnasnet1_0,Pruning,5369.65,7.51,74.2,11.6836,133.15579227696406,80.42
mnasnet1_0,Distillation,5491.2,7.68,72.24,14.793,130.20833333333334,88.39
resnet18,Base,11540.1,16.14,95.87,26.4375,61.95786864931846,92.45
resnet18,Pruning,10124.4,14.16,126.82,25.125,70.62146892655367,77.76
resnet18,Distillation,11447.15,16.01,88.93,26.5078,62.46096189881324,99.44
mobilenet_v2,Base,5541.25,7.75,78.42,10.4023,129.03225806451613,90.07
mobilenet_v2,Pruning,5383.95,7.53,76.73,10.0195,132.80212483399734,72.31
mobilenet_v2,Distillation,5233.8,7.32,61.96,10.5742,136.61202185792348,97.2
efficientnet_b0,Base,14371.500000000002,20.1,79.39,16.2539,49.75124378109452,38.32
efficientnet_b0,Pruning,12734.15,17.81,69.47,15.2188,56.14823133071309,38.74
efficientnet_b0,Distillation,14378.65,20.11,94.37,16.2422,49.72650422675286,50.07
mnasnet1_0,Base,5476.900000000001,7.66,66.13,12.4492,130.54830287206266,77.9
mnasnet1_0,Pruning,5441.150000000001,7.61,70.24,11.957,131.4060446780552,80.42
mnasnet1_0,Distillation,5426.849999999999,7.59,65.39,12.5195,131.75230566534916,88.39
resnet18,Base,11461.45,16.03,98.54,26.7344,62.38303181534622,92.45
resnet18,Pruning,10067.2,14.08,97.4,24.9727,71.02272727272727,77.76
resnet18,Distillation,11440.0,16.0,118.26,26.5234,62.5,99.44
mobilenet_v2,Base,5434.0,7.6,72.12,10.5508,131.57894736842107,90.07
mobilenet_v2,Pruning,5090.8,7.12,60.84,9.77344,140.4494382022472,72.31
mobilenet_v2,Distillation,5169.450000000001,7.23,58.81,10.4414,138.31258644536652,97.2
efficientnet_b0,Base,14149.85,19.79,72.42,16.3594,50.53057099545225,38.32
efficientnet_b0,Pruning,12898.6,18.04,76.38,15.1758,55.43237250554324,38.74
efficientnet_b0,Distillation,14185.6,19.84,85.69,16.2617,50.403225806451616,50.07
mnasnet1_0,Base,6899.75,9.65,77.74,12.6797,103.62694300518136,77.9
mnasnet1_0,Pruning,5412.55,7.57,78.77,11.9453,132.1003963011889,80.42
mnasnet1_0,Distillation,5584.15,7.81,67.03,12.8359,128.04097311139566,88.39
resnet18,Base,11661.65,16.31,106.29,26.7148,61.31207847946046,92.45
resnet18,Pruning,10489.05,14.67,92.35,25.2227,68.1663258350375,77.76
resnet18,Distillation,11468.6,16.04,103.12,26.5664,62.34413965087282,99.44
mobilenet_v2,Base,5262.400000000001,7.36,71.85,12.4648,135.8695652173913,90.07
mobilenet_v2,Pruning,5369.65,7.51,79.32,10.082,133.15579227696406,72.31
mobilenet_v2,Distillation,5505.5,7.7,71.11,10.4766,129.87012987012986,97.2
efficientnet_b0,Base,14221.35,19.89,82.21,16.4141,50.27652086475616,38.32
efficientnet_b0,Pruning,12834.25,17.95,115.33,15.0781,55.71030640668524,38.74
efficientnet_b0,Distillation,17581.85,24.59,74.66,16.3164,40.6669377795852,50.07
mnasnet1_0,Base,5655.650000000001,7.91,69.81,12.5273,126.42225031605562,77.9
mnasnet1_0,Pruning,5398.25,7.55,68.37,12.0078,132.45033112582783,80.42
mnasnet1_0,Distillation,5462.599999999999,7.64,63.25,12.8047,130.89005235602096,88.39
resnet18,Base,11532.95,16.13,109.21,26.5273,61.99628022318661,92.45
resnet18,Pruning,10010.0,14.0,86.15,25.2266,71.42857142857143,77.76
resnet18,Distillation,11454.3,16.02,112.02,26.6992,62.421972534332085,99.44
mobilenet_v2,Base,5033.6,7.04,61.56,10.5664,142.04545454545453,90.07
mobilenet_v2,Pruning,5026.45,7.03,57.74,9.87891,142.2475106685633,72.31
mobilenet_v2,Distillation,5062.2,7.08,58.31,10.4961,141.24293785310735,97.2
efficientnet_b0,Base,14628.9,20.46,81.31,16.3711,48.87585532746823,38.32
efficientnet_b0,Pruning,12705.55,17.77,88.98,15.1992,56.274620146314014,38.74
efficientnet_b0,Distillation,15815.8,22.12,89.13,18.25,45.20795660036166,50.07
mnasnet1_0,Base,5455.45,7.63,78.92,12.4883,131.06159895150722,77.9
mnasnet1_0,Pruning,5112.25,7.15,62.5,11.6602,139.86013986013987,80.42
mnasnet1_0,Distillation,5434.0,7.6,64.54,12.4102,131.57894736842107,88.39
resnet18,Base,12676.95,17.73,108.97,26.6641,56.40157924421884,92.45
resnet18,Pruning,10088.65,14.11,88.83,25.1484,70.87172218284904,77.76
resnet18,Distillation,11239.8,15.72,102.31,26.4141,63.61323155216285,99.44
mobilenet_v2,Base,5112.25,7.15,60.13,10.5469,139.86013986013987,90.07
mobilenet_v2,Pruning,5019.299999999999,7.02,63.05,10.1406,142.4501424501425,72.31
mobilenet_v2,Distillation,5348.200000000001,7.48,64.12,10.5898,133.6898395721925,97.2
efficientnet_b0,Base,16180.45,22.63,71.12,16.4688,44.18912947414936,38.32
efficientnet_b0,Pruning,12805.65,17.91,92.8,15.0664,55.83472920156337,38.74
efficientnet_b0,Distillation,14264.25,19.95,66.51,16.0586,50.12531328320802,50.07
mnasnet1_0,Base,5748.599999999999,8.04,79.89,12.7422,124.37810945273633,77.9
mnasnet1_0,Pruning,5341.05,7.47,65.0,11.9375,133.86880856760376,80.42
mnasnet1_0,Distillation,5605.599999999999,7.84,62.88,12.5391,127.55102040816328,88.39
resnet18,Base,11668.8,16.32,112.18,26.3359,61.27450980392157,92.45
resnet18,Pruning,10789.35,15.09,91.05,25.1406,66.26905235255136,77.76
resnet18,Distillation,11482.9,16.06,96.07,26.5664,62.26650062266501,99.44
mobilenet_v2,Base,5240.95,7.33,66.6,10.6289,136.4256480218281,90.07
mobilenet_v2,Pruning,5276.7,7.38,60.21,9.92578,135.50135501355012,72.31
mobilenet_v2,Distillation,5555.549999999999,7.77,70.55,10.3164,128.70012870012872,97.2
efficientnet_b0,Base,14285.7,19.98,98.61,16.3008,50.05005005005005,38.32
efficientnet_b0,Pruning,12705.55,17.77,69.53,15.3477,56.274620146314014,38.74
efficientnet_b0,Distillation,14357.2,20.08,103.16,16.207,49.800796812749006,50.07
mnasnet1_0,Base,5526.950000000001,7.73,63.71,12.7344,129.36610608020698,77.9
mnasnet1_0,Pruning,5476.900000000001,7.66,64.01,12.0195,130.54830287206266,80.42
mnasnet1_0,Distillation,5469.75,7.65,59.61,12.5586,130.718954248366,88.39
resnet18,Base,11411.4,15.96,106.77,26.6094,62.65664160401002,92.45
resnet18,Pruning,10868.0,15.2,110.47,25.2773,65.78947368421053,77.76
resnet18,Distillation,11161.15,15.61,91.93,26.3945,64.06149903907752,99.44
mobilenet_v2,Base,5090.8,7.12,57.8,10.3945,140.4494382022472,90.07
mobilenet_v2,Pruning,5047.9,7.06,66.33,9.82812,141.643059490085,72.31
mobilenet_v2,Distillation,5419.7,7.58,75.68,10.5,131.92612137203167,97.2
efficientnet_b0,Base,14228.499999999998,19.9,80.35,16.4688,50.25125628140704,38.32
efficientnet_b0,Pruning,12769.9,17.86,75.53,15.2031,55.99104143337066,38.74
efficientnet_b0,Distillation,14199.9,19.86,76.92,16.1172,50.35246727089628,50.07
mnasnet1_0,Base,5662.8,7.92,65.51,12.6445,126.26262626262628,77.9
mnasnet1_0,Pruning,5140.85,7.19,65.81,11.7969,139.0820584144645,80.42
mnasnet1_0,Distillation,5577.0,7.8,69.68,12.625,128.2051282051282,88.39
resnet18,Base,11475.75,16.05,109.08,26.5547,62.30529595015576,92.45
resnet18,Pruning,10217.35,14.29,95.0,25.168,69.97900629811058,77.76
resnet18,Distillation,11475.75,16.05,94.53,26.5,62.30529595015576,99.44
mobilenet_v2,Base,5155.15,7.21,59.84,10.6797,138.69625520110958,90.07
mobilenet_v2,Pruning,5026.45,7.03,63.66,9.6875,142.2475106685633,72.31
mobilenet_v2,Distillation,5169.450000000001,7.23,60.71,10.5859,138.31258644536652,97.2
efficientnet_b0,Base,14357.2,20.08,79.08,20.3164,49.800796812749006,38.32
efficientnet_b0,Pruning,12641.2,17.68,72.42,15.1484,56.56108597285068,38.74
efficientnet_b0,Distillation,14278.55,19.97,91.41,16.2852,50.07511266900351,50.07
mnasnet1_0,Base,5684.25,7.95,75.34,12.7812,125.78616352201256,77.9
mnasnet1_0,Pruning,5505.5,7.7,67.89,11.8438,129.87012987012986,80.42
mnasnet1_0,Distillation,5319.6,7.44,64.61,12.5,134.40860215053763,88.39
resnet18,Base,11447.15,16.01,112.89,26.6055,62.46096189881324,92.45
resnet18,Pruning,10310.3,14.42,96.97,24.9609,69.34812760055479,77.76
resnet18,Distillation,11361.35,15.89,99.07,26.6367,62.93266205160478,99.44
mobilenet_v2,Base,5276.7,7.38,66.98,10.6445,135.50135501355012,90.07
mobilenet_v2,Pruning,5019.299999999999,7.02,58.86,9.82031,142.4501424501425,72.31
mobilenet_v2,Distillation,5426.849999999999,7.59,75.17,10.4766,131.75230566534916,97.2
efficientnet_b0,Base,14414.4,20.16,92.48,16.3516,49.6031746031746,38.32
efficientnet_b0,Pruning,12762.750000000002,17.85,95.84,15.0,56.02240896358543,38.74
efficientnet_b0,Distillation,14078.35,19.69,81.93,16.082,50.78720162519045,50.07
mnasnet1_0,Base,5691.4,7.96,69.67,12.5352,125.6281407035176,77.9
mnasnet1_0,Pruning,5484.05,7.67,74.7,11.957,130.3780964797914,80.42
mnasnet1_0,Distillation,5569.85,7.79,71.58,12.4727,128.36970474967907,88.39
resnet18,Base,11389.95,15.93,101.6,26.2539,62.77463904582549,92.45
resnet18,Pruning,10975.25,15.35,96.73,25.2773,65.14657980456026,77.76
resnet18,Distillation,13949.65,19.51,125.78,26.6094,51.25576627370579,99.44
mobilenet_v2,Base,5419.7,7.58,87.96,10.5469,131.92612137203167,90.07
mobilenet_v2,Pruning,5312.45,7.43,62.49,9.76562,134.58950201884252,72.31
mobilenet_v2,Distillation,5183.75,7.25,59.62,10.5039,137.93103448275863,97.2
efficientnet_b0,Base,14314.3,20.02,105.82,16.3984,49.95004995004995,38.32
