Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,10832.25,15.15,86.4,28.3828,66.006600660066,37.62
resnet18,Pruning,9545.25,13.35,82.16,26.7695,74.90636704119851,53.57
resnet18,Distillation,10832.25,15.15,85.95,28.2266,66.006600660066,36.64
mobilenet_v2,Base,4754.75,6.65,53.85,12.0938,150.37593984962405,64.9
mobilenet_v2,Pruning,4661.799999999999,6.52,54.16,9.96484,153.37423312883436,51.33
mobilenet_v2,Distillation,4754.75,6.65,54.86,12.1055,150.37593984962405,42.66
efficientnet_b0,Base,13670.800000000001,19.12,65.42,18.1016,52.30125523012552,61.4
efficientnet_b0,Pruning,12169.3,17.02,64.22,16.9922,58.75440658049354,36.64
efficientnet_b0,Distillation,13663.65,19.11,65.78,17.6523,52.32862375719519,59.72
mnasnet1_0,Base,5005.0,7.0,60.24,14.4922,142.85714285714286,63.36
mnasnet1_0,Pruning,4890.599999999999,6.84,59.29,13.5586,146.19883040935673,61.12
mnasnet1_0,Distillation,4990.700000000001,6.98,59.84,12.9297,143.26647564469914,36.64
resnet18,Base,10825.1,15.14,87.17,26.3984,66.05019815059445,37.62
resnet18,Pruning,9552.4,13.36,82.59,26.9258,74.8502994011976,53.57
resnet18,Distillation,10810.8,15.12,83.96,28.0703,66.13756613756614,36.64
mobilenet_v2,Base,4747.599999999999,6.64,51.31,12.0781,150.60240963855424,64.9
mobilenet_v2,Pruning,4697.55,6.57,51.75,11.625,152.20700152207002,51.33
mobilenet_v2,Distillation,4754.75,6.65,53.67,10.5312,150.37593984962405,42.66
efficientnet_b0,Base,13685.1,19.14,63.24,17.9961,52.2466039707419,61.4
efficientnet_b0,Pruning,12176.45,17.03,62.57,16.793,58.71990604815032,36.64
efficientnet_b0,Distillation,13677.949999999999,19.13,63.33,17.5977,52.27391531625719,59.72
mnasnet1_0,Base,5005.0,7.0,58.65,12.4336,142.85714285714286,63.36
mnasnet1_0,Pruning,4897.75,6.85,56.52,13.5078,145.98540145985402,61.12
mnasnet1_0,Distillation,5012.15,7.01,55.7,12.3594,142.65335235378032,36.64
resnet18,Base,10839.4,15.16,85.51,26.375,65.96306068601584,37.62
resnet18,Pruning,9552.4,13.36,80.9,26.7266,74.8502994011976,53.57
resnet18,Distillation,10825.1,15.14,82.81,26.5977,66.05019815059445,36.64
mobilenet_v2,Base,4754.75,6.65,52.58,12.0508,150.37593984962405,64.9
mobilenet_v2,Pruning,4676.1,6.54,53.13,11.4766,152.9051987767584,51.33
mobilenet_v2,Distillation,4747.599999999999,6.64,53.74,10.5938,150.60240963855424,42.66
efficientnet_b0,Base,13677.949999999999,19.13,63.41,16.2734,52.27391531625719,61.4
efficientnet_b0,Pruning,12176.45,17.03,63.3,16.8477,58.71990604815032,36.64
efficientnet_b0,Distillation,13663.65,19.11,62.54,17.7578,52.32862375719519,59.72
mnasnet1_0,Base,5005.0,7.0,58.93,14.3477,142.85714285714286,63.36
mnasnet1_0,Pruning,4897.75,6.85,57.68,13.3203,145.98540145985402,61.12
mnasnet1_0,Distillation,4990.700000000001,6.98,58.2,14.6914,143.26647564469914,36.64
resnet18,Base,10817.95,15.13,84.57,26.6406,66.09385327164573,37.62
resnet18,Pruning,9559.55,13.37,81.96,26.9453,74.79431563201197,53.57
resnet18,Distillation,10817.95,15.13,84.63,28.1719,66.09385327164573,36.64
mobilenet_v2,Base,4754.75,6.65,53.24,10.3359,150.37593984962405,64.9
mobilenet_v2,Pruning,4683.25,6.55,53.53,11.7969,152.67175572519085,51.33
mobilenet_v2,Distillation,4754.75,6.65,53.99,12.3281,150.37593984962405,42.66
efficientnet_b0,Base,13670.800000000001,19.12,64.62,18.0859,52.30125523012552,61.4
