Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11246.95,15.73,102.31,28.1914,63.572790845518114,92.45
resnet18,Pruning,10024.3,14.02,99.26,26.4727,71.32667617689016,77.76
resnet18,Distillation,11246.95,15.73,102.66,28.0586,63.572790845518114,99.44
mobilenet_v2,Base,5291.0,7.4,69.92,12.0273,135.13513513513513,90.07
mobilenet_v2,Pruning,5226.65,7.31,69.66,11.6445,136.79890560875515,72.31
mobilenet_v2,Distillation,5283.849999999999,7.39,67.49,12.1016,135.31799729364005,97.2
efficientnet_b0,Base,14157.0,19.8,78.54,18.0039,50.505050505050505,38.32
efficientnet_b0,Pruning,12655.5,17.7,80.97,16.875,56.49717514124294,38.74
efficientnet_b0,Distillation,14142.7,19.78,80.68,17.8789,50.55611729019211,50.07
mnasnet1_0,Base,5455.45,7.63,75.41,14.5508,131.06159895150722,77.9
mnasnet1_0,Pruning,5291.0,7.4,69.79,13.4453,135.13513513513513,80.42
mnasnet1_0,Distillation,5448.3,7.62,71.12,14.3477,131.23359580052494,88.39
resnet18,Base,11246.95,15.73,100.91,28.3711,63.572790845518114,92.45
resnet18,Pruning,10024.3,14.02,94.28,26.6133,71.32667617689016,77.76
resnet18,Distillation,11239.8,15.72,97.88,28.0273,63.61323155216285,99.44
mobilenet_v2,Base,5262.400000000001,7.36,66.68,12.1562,135.8695652173913,90.07
mobilenet_v2,Pruning,5240.95,7.33,67.25,11.4062,136.4256480218281,72.31
mobilenet_v2,Distillation,5291.0,7.4,65.72,12.2695,135.13513513513513,97.2
efficientnet_b0,Base,14157.0,19.8,78.78,17.9609,50.505050505050505,38.32
efficientnet_b0,Pruning,12648.35,17.69,79.08,16.8164,56.529112492933855,38.74
efficientnet_b0,Distillation,14149.85,19.79,78.86,17.8867,50.53057099545225,50.07
mnasnet1_0,Base,5455.45,7.63,73.17,14.5352,131.06159895150722,77.9
mnasnet1_0,Pruning,5283.849999999999,7.39,72.08,13.7578,135.31799729364005,80.42
mnasnet1_0,Distillation,5448.3,7.62,73.31,14.3984,131.23359580052494,88.39
resnet18,Base,11246.95,15.73,100.34,28.3711,63.572790845518114,92.45
resnet18,Pruning,10024.3,14.02,93.9,26.8672,71.32667617689016,77.76
resnet18,Distillation,11246.95,15.73,101.18,28.168,63.572790845518114,99.44
mobilenet_v2,Base,5283.849999999999,7.39,65.78,12.0938,135.31799729364005,90.07
mobilenet_v2,Pruning,5219.5,7.3,64.6,11.5508,136.986301369863,72.31
mobilenet_v2,Distillation,5291.0,7.4,67.63,12.082,135.13513513513513,97.2
efficientnet_b0,Base,14164.15,19.81,76.02,18.0078,50.47955577990914,38.32
efficientnet_b0,Pruning,12648.35,17.69,76.14,17.0742,56.529112492933855,38.74
efficientnet_b0,Distillation,14149.85,19.79,77.47,18.0117,50.53057099545225,50.07
mnasnet1_0,Base,5448.3,7.62,73.93,14.293,131.23359580052494,77.9
mnasnet1_0,Pruning,5269.55,7.37,73.03,13.6719,135.68521031207598,80.42
mnasnet1_0,Distillation,5441.150000000001,7.61,74.0,14.3867,131.4060446780552,88.39
resnet18,Base,11246.95,15.73,102.96,28.1797,63.572790845518114,92.45
resnet18,Pruning,10024.3,14.02,98.14,26.8047,71.32667617689016,77.76
resnet18,Distillation,11246.95,15.73,99.63,28.0195,63.572790845518114,99.44
mobilenet_v2,Base,5276.7,7.38,67.81,12.1094,135.50135501355012,90.07
mobilenet_v2,Pruning,5226.65,7.31,67.31,11.6562,136.79890560875515,72.31
mobilenet_v2,Distillation,5283.849999999999,7.39,68.75,12.293,135.31799729364005,97.2
efficientnet_b0,Base,14157.0,19.8,79.25,17.8477,50.505050505050505,38.32
efficientnet_b0,Pruning,12648.35,17.69,75.86,16.7852,56.529112492933855,38.74
efficientnet_b0,Distillation,14142.7,19.78,80.13,17.5977,50.55611729019211,50.07
mnasnet1_0,Base,5448.3,7.62,70.02,14.6406,131.23359580052494,77.9
mnasnet1_0,Pruning,5291.0,7.4,71.67,13.8008,135.13513513513513,80.42
mnasnet1_0,Distillation,5448.3,7.62,71.17,14.1289,131.23359580052494,88.39
resnet18,Base,11246.95,15.73,102.16,28.0312,63.572790845518114,92.45
resnet18,Pruning,10024.3,14.02,96.79,26.668,71.32667617689016,77.76
resnet18,Distillation,11246.95,15.73,99.27,28.2695,63.572790845518114,99.44
mobilenet_v2,Base,5283.849999999999,7.39,68.09,12.125,135.31799729364005,90.07
mobilenet_v2,Pruning,5226.65,7.31,67.31,11.6562,136.79890560875515,72.31
mobilenet_v2,Distillation,5283.849999999999,7.39,67.36,12.1094,135.31799729364005,97.2
efficientnet_b0,Base,14164.15,19.81,78.69,17.9414,50.47955577990914,38.32
efficientnet_b0,Pruning,12655.5,17.7,75.89,16.7812,56.49717514124294,38.74
efficientnet_b0,Distillation,14149.85,19.79,77.31,21.8359,50.53057099545225,50.07
mnasnet1_0,Base,5455.45,7.63,73.18,14.3594,131.06159895150722,77.9
mnasnet1_0,Pruning,5291.0,7.4,69.74,13.6055,135.13513513513513,80.42
mnasnet1_0,Distillation,5448.3,7.62,71.53,14.3867,131.23359580052494,88.39
resnet18,Base,11246.95,15.73,101.13,28.3047,63.572790845518114,92.45
resnet18,Pruning,10031.45,14.03,96.86,26.5547,71.27583749109053,77.76
resnet18,Distillation,11254.1,15.74,101.05,28.0977,63.53240152477763,99.44
mobilenet_v2,Base,5291.0,7.4,70.58,12.1094,135.13513513513513,90.07
mobilenet_v2,Pruning,5248.099999999999,7.34,71.64,11.5469,136.23978201634878,72.31
mobilenet_v2,Distillation,5291.0,7.4,70.68,12.207,135.13513513513513,97.2
efficientnet_b0,Base,14157.0,19.8,79.44,17.9922,50.505050505050505,38.32
efficientnet_b0,Pruning,12655.5,17.7,77.97,16.7578,56.49717514124294,38.74
efficientnet_b0,Distillation,14157.0,19.8,79.62,17.7969,50.505050505050505,50.07
mnasnet1_0,Base,5455.45,7.63,75.37,14.4844,131.06159895150722,77.9
mnasnet1_0,Pruning,5276.7,7.38,71.47,13.5508,135.50135501355012,80.42
