Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11297.0,15.8,86.67,26.5742,63.291139240506325,37.62
resnet18,Pruning,10010.0,14.0,84.17,25.2578,71.42857142857143,53.57
resnet18,Distillation,11297.0,15.8,93.71,26.5859,63.291139240506325,36.64
mobilenet_v2,Base,6549.400000000001,9.16,55.76,10.5508,109.17030567685589,64.9
mobilenet_v2,Pruning,5112.25,7.15,59.28,9.94141,139.86013986013987,51.33
mobilenet_v2,Distillation,5112.25,7.15,54.4,10.4648,139.86013986013987,42.66
efficientnet_b0,Base,14485.900000000001,20.26,75.79,16.293,49.35834155972359,61.4
efficientnet_b0,Pruning,12655.5,17.7,69.18,15.2617,56.49717514124294,36.64
efficientnet_b0,Distillation,14528.800000000001,20.32,78.31,16.2227,49.21259842519685,59.72
mnasnet1_0,Base,5383.95,7.53,59.54,12.4492,132.80212483399734,63.36
mnasnet1_0,Pruning,5062.2,7.08,59.85,11.8594,141.24293785310735,61.12
mnasnet1_0,Distillation,5269.55,7.37,70.34,12.8008,135.68521031207598,36.64
resnet18,Base,11447.150000000001,16.01,134.25,26.6328,62.46096189881324,37.62
resnet18,Pruning,10353.2,14.48,85.96,25.125,69.06077348066299,53.57
resnet18,Distillation,11776.05,16.47,96.35,26.5703,60.71645415907712,36.64
mobilenet_v2,Base,5069.349999999999,7.09,58.39,10.625,141.04372355430183,64.9
mobilenet_v2,Pruning,5369.65,7.51,61.15,9.90234,133.15579227696406,51.33
mobilenet_v2,Distillation,5434.0,7.6,52.88,10.5898,131.57894736842107,42.66
efficientnet_b0,Base,14321.45,20.03,68.55,16.0664,49.925112331502746,61.4
efficientnet_b0,Pruning,12834.25,17.95,64.46,15.1836,55.71030640668524,36.64
efficientnet_b0,Distillation,14936.35,20.89,99.28,16.3086,47.86979415988511,59.72
mnasnet1_0,Base,5333.9,7.46,64.32,12.5,134.04825737265415,63.36
mnasnet1_0,Pruning,5569.85,7.79,60.77,11.8008,128.36970474967907,61.12
mnasnet1_0,Distillation,5755.750000000001,8.05,61.24,12.7461,124.22360248447204,36.64
resnet18,Base,11354.2,15.88,129.75,26.6484,62.97229219143576,37.62
resnet18,Pruning,10274.55,14.37,94.75,25.2305,69.58942240779402,53.57
resnet18,Distillation,11432.85,15.99,91.69,26.2383,62.53908692933083,36.64
mobilenet_v2,Base,5119.400000000001,7.16,67.2,10.5234,139.66480446927375,64.9
mobilenet_v2,Pruning,5355.35,7.49,56.92,9.84375,133.5113484646195,51.33
mobilenet_v2,Distillation,5484.05,7.67,61.62,10.5781,130.3780964797914,42.66
efficientnet_b0,Base,14178.449999999999,19.83,75.69,16.2617,50.42864346949067,61.4
efficientnet_b0,Pruning,12698.400000000001,17.76,73.31,15.2383,56.306306306306304,36.64
efficientnet_b0,Distillation,15115.1,21.14,100.75,16.0312,47.30368968779565,59.72
mnasnet1_0,Base,5419.7,7.58,61.51,12.7422,131.92612137203167,63.36
mnasnet1_0,Pruning,5484.05,7.67,70.37,11.9688,130.3780964797914,61.12
mnasnet1_0,Distillation,5841.55,8.17,76.08,12.8164,122.39902080783354,36.64
resnet18,Base,12240.800000000001,17.12,85.62,26.5859,58.41121495327103,37.62
resnet18,Pruning,10331.75,14.45,99.3,23.1172,69.20415224913495,53.57
resnet18,Distillation,11325.6,15.84,90.33,26.6562,63.131313131313135,36.64
mobilenet_v2,Base,4883.45,6.83,55.5,10.4141,146.41288433382138,64.9
mobilenet_v2,Pruning,5319.6,7.44,60.82,9.85938,134.40860215053763,51.33
mobilenet_v2,Distillation,5577.0,7.8,79.81,10.5625,128.2051282051282,42.66
efficientnet_b0,Base,14543.1,20.34,71.45,16.3203,49.164208456243855,61.4
efficientnet_b0,Pruning,15901.599999999999,22.24,86.0,15.2852,44.964028776978424,36.64
efficientnet_b0,Distillation,14035.449999999999,19.63,89.12,16.2383,50.94243504839532,59.72
mnasnet1_0,Base,5205.2,7.28,69.6,12.4297,137.36263736263737,63.36
mnasnet1_0,Pruning,5505.5,7.7,66.04,11.7227,129.87012987012986,61.12
mnasnet1_0,Distillation,5734.299999999999,8.02,81.78,12.5898,124.68827930174564,36.64
resnet18,Base,12183.599999999999,17.04,107.65,26.5898,58.68544600938967,37.62
resnet18,Pruning,10238.800000000001,14.32,91.81,25.1016,69.83240223463687,53.57
resnet18,Distillation,11311.300000000001,15.82,88.63,26.5195,63.21112515802781,36.64
mobilenet_v2,Base,5176.6,7.24,60.95,10.4844,138.12154696132598,64.9
mobilenet_v2,Pruning,5219.5,7.3,61.37,10.0039,136.986301369863,51.33
mobilenet_v2,Distillation,4962.1,6.94,55.97,10.4844,144.0922190201729,42.66
efficientnet_b0,Base,14307.150000000001,20.01,69.48,16.2969,49.97501249375312,61.4
efficientnet_b0,Pruning,12584.000000000002,17.6,92.14,15.4648,56.81818181818181,36.64
efficientnet_b0,Distillation,14314.3,20.02,73.45,15.8984,49.95004995004995,59.72
mnasnet1_0,Base,5548.4,7.76,71.89,12.5625,128.8659793814433,63.36
mnasnet1_0,Pruning,5219.5,7.3,58.91,11.9531,136.986301369863,61.12
mnasnet1_0,Distillation,5762.900000000001,8.06,90.5,12.6133,124.06947890818857,36.64
resnet18,Base,11504.35,16.09,126.96,26.5273,62.15040397762586,37.62
resnet18,Pruning,10074.35,14.09,94.88,25.3555,70.97232079489,53.57
resnet18,Distillation,11497.199999999999,16.08,116.61,26.7422,62.18905472636816,36.64
mobilenet_v2,Base,5240.95,7.33,74.31,10.6562,136.4256480218281,64.9
mobilenet_v2,Pruning,5140.85,7.19,62.26,13.8008,139.0820584144645,51.33
mobilenet_v2,Distillation,5562.7,7.78,57.52,10.5508,128.53470437017995,42.66
efficientnet_b0,Base,15107.949999999999,21.13,73.38,16.3008,47.326076668244205,61.4
efficientnet_b0,Pruning,12691.25,17.75,90.25,15.3594,56.33802816901409,36.64
efficientnet_b0,Distillation,17531.8,24.52,81.38,16.1836,40.783034257748774,59.72
mnasnet1_0,Base,5341.05,7.47,65.18,12.7695,133.86880856760376,63.36
mnasnet1_0,Pruning,5991.700000000001,8.38,60.46,11.8711,119.33174224343675,61.12
mnasnet1_0,Distillation,5984.549999999999,8.37,73.02,12.7539,119.47431302270013,36.64
resnet18,Base,11568.699999999999,16.18,108.49,26.5,61.804697156983934,37.62
resnet18,Pruning,10760.75,15.05,85.55,25.1562,66.44518272425249,53.57
resnet18,Distillation,11547.249999999998,16.15,95.34,26.4805,61.91950464396285,36.64
mobilenet_v2,Base,5577.0,7.8,57.48,10.5391,128.2051282051282,64.9
mobilenet_v2,Pruning,5269.55,7.37,52.31,9.80859,135.68521031207598,51.33
mobilenet_v2,Distillation,5248.099999999999,7.34,52.62,10.3594,136.23978201634878,42.66
efficientnet_b0,Base,14085.5,19.7,74.86,16.293,50.76142131979696,61.4
efficientnet_b0,Pruning,14450.150000000001,20.21,79.37,15.3008,49.48045522018803,36.64
efficientnet_b0,Distillation,14471.599999999999,20.24,83.23,16.2148,49.40711462450593,59.72
mnasnet1_0,Base,5484.05,7.67,62.77,12.8086,130.3780964797914,63.36
mnasnet1_0,Pruning,5097.95,7.13,65.55,11.9375,140.25245441795232,61.12
mnasnet1_0,Distillation,5605.599999999999,7.84,62.51,12.4727,127.55102040816327,36.64
resnet18,Base,11361.35,15.89,96.02,26.7422,62.93266205160478,37.62
resnet18,Pruning,10238.800000000001,14.32,82.07,25.3711,69.83240223463687,53.57
resnet18,Distillation,11497.199999999999,16.08,87.13,26.5938,62.18905472636816,36.64
mobilenet_v2,Base,5541.25,7.75,58.44,10.5586,129.03225806451613,64.9
mobilenet_v2,Pruning,6113.250000000001,8.55,63.06,11.5664,116.95906432748536,51.33
mobilenet_v2,Distillation,5355.35,7.49,62.98,10.4648,133.5113484646195,42.66
efficientnet_b0,Base,14142.7,19.78,65.42,16.3398,50.55611729019211,61.4
efficientnet_b0,Pruning,12962.949999999999,18.13,76.66,15.2422,55.15719801434088,36.64
efficientnet_b0,Distillation,12962.949999999999,18.13,76.66,15.2422,55.15719801434088,36.64
mnasnet1_0,Base,5841.55,8.17,60.33,12.7461,122.39902080783354,63.36
mnasnet1_0,Pruning,5791.5,8.1,75.07,11.8203,123.4567901234568,61.12
mnasnet1_0,Distillation,5476.900000000001,7.66,67.29,12.7852,130.54830287206266,36.64
resnet18,Base,11504.35,16.09,140.31,26.668,62.15040397762586,37.62
resnet18,Pruning,11125.4,15.56,88.8,25.2461,64.26735218508998,53.57
resnet18,Distillation,11461.45,16.03,85.81,26.5898,62.38303181534622,36.64
mobilenet_v2,Base,5183.75,7.25,53.99,10.6992,137.93103448275863,64.9
mobilenet_v2,Pruning,5920.2,8.28,60.65,10.0625,120.77294685990339,51.33
mobilenet_v2,Distillation,6713.85,9.39,87.64,10.2305,106.49627263045792,42.66
efficientnet_b0,Base,14149.849999999999,19.79,78.88,16.3125,50.53057099545225,61.4
