Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,10775.050000000001,15.07,80.92,28.3008,66.35700066357,37.62
resnet18,Pruning,9588.15,13.41,78.53,26.918,74.57121551081282,53.57
resnet18,Distillation,10853.699999999999,15.18,80.36,26.5156,65.87615283267458,36.64
mobilenet_v2,Base,4783.35,6.69,49.73,12.1758,149.47683109118086,64.9
mobilenet_v2,Pruning,4783.35,6.69,49.14,11.4883,149.47683109118086,51.33
mobilenet_v2,Distillation,4790.5,6.7,51.14,12.0039,149.2537313432836,42.66
efficientnet_b0,Base,13720.85,19.19,61.14,18.0234,52.11047420531526,61.4
efficientnet_b0,Pruning,12205.050000000001,17.07,59.32,19.0078,58.58230814294083,36.64
efficientnet_b0,Distillation,13706.550000000001,19.17,60.77,17.9023,52.16484089723526,59.72
mnasnet1_0,Base,4962.1,6.94,54.88,14.4688,144.0922190201729,63.36
mnasnet1_0,Pruning,4854.85,6.79,53.52,11.6445,147.27540500736376,61.12
mnasnet1_0,Distillation,4969.25,6.95,54.84,12.5039,143.88489208633092,36.64
resnet18,Base,10846.55,15.17,81.01,28.2266,65.91957811470007,37.62
resnet18,Pruning,9545.25,13.35,80.67,25.082,74.90636704119851,53.57
resnet18,Distillation,10775.050000000001,15.07,81.76,28.0469,66.35700066357,36.64
mobilenet_v2,Base,4783.35,6.69,49.85,12.1836,149.47683109118086,64.9
mobilenet_v2,Pruning,4790.5,6.7,50.16,11.7422,149.2537313432836,51.33
mobilenet_v2,Distillation,4783.35,6.69,51.56,12.0391,149.47683109118086,42.66
efficientnet_b0,Base,13699.4,19.16,59.97,16.3281,52.19206680584551,61.4
efficientnet_b0,Pruning,12212.199999999999,17.08,59.38,15.0938,58.5480093676815,36.64
efficientnet_b0,Distillation,13720.85,19.19,61.32,17.6523,52.11047420531526,59.72
mnasnet1_0,Base,4997.85,6.99,55.71,14.2539,143.0615164520744,63.36
mnasnet1_0,Pruning,4869.15,6.81,54.46,11.8438,146.84287812041117,61.12
mnasnet1_0,Distillation,4976.4,6.96,56.64,20.4141,143.67816091954023,36.64
resnet18,Base,10846.55,15.17,81.81,28.2266,65.91957811470007,37.62
resnet18,Pruning,9552.4,13.36,81.24,25.0156,74.8502994011976,53.57
resnet18,Distillation,10803.65,15.11,82.17,26.4336,66.18133686300463,36.64
mobilenet_v2,Base,4783.35,6.69,51.37,12.3477,149.47683109118086,64.9
mobilenet_v2,Pruning,4783.35,6.69,50.78,11.6602,149.47683109118086,51.33
mobilenet_v2,Distillation,4783.35,6.69,51.76,12.0,149.47683109118086,42.66
efficientnet_b0,Base,13706.550000000001,19.17,61.08,16.3281,52.16484089723526,61.4
efficientnet_b0,Pruning,12183.599999999999,17.04,60.15,15.1211,58.68544600938967,36.64
efficientnet_b0,Distillation,13713.699999999999,19.18,62.19,16.0977,52.13764337851929,59.72
mnasnet1_0,Base,4990.700000000001,6.98,56.55,14.4023,143.26647564469914,63.36
mnasnet1_0,Pruning,4854.85,6.79,54.63,13.4336,147.27540500736376,61.12
mnasnet1_0,Distillation,4976.4,6.96,56.18,14.3594,143.67816091954023,36.64
resnet18,Base,10789.35,15.09,83.05,26.4609,66.26905235255136,37.62
resnet18,Pruning,9559.55,13.37,81.47,26.9297,74.79431563201197,53.57
resnet18,Distillation,10825.1,15.14,82.72,26.25,66.05019815059445,36.64
mobilenet_v2,Base,4790.5,6.7,51.77,12.1641,149.2537313432836,64.9
mobilenet_v2,Pruning,4783.35,6.69,51.93,9.76562,149.47683109118086,51.33
mobilenet_v2,Distillation,4783.35,6.69,52.06,12.0039,149.47683109118086,42.66
efficientnet_b0,Base,13699.4,19.16,61.41,17.9883,52.19206680584551,61.4
efficientnet_b0,Pruning,12212.199999999999,17.08,60.12,16.8242,58.5480093676815,36.64
efficientnet_b0,Distillation,13713.699999999999,19.18,61.9,17.75,52.13764337851929,59.72
mnasnet1_0,Base,4997.85,6.99,56.53,12.7305,143.0615164520744,63.36
mnasnet1_0,Pruning,4869.15,6.81,55.27,15.6055,146.84287812041117,61.12
mnasnet1_0,Distillation,4983.55,6.97,56.7,14.3633,143.47202295552367,36.64
resnet18,Base,10853.699999999999,15.18,83.44,28.1914,65.87615283267458,37.62
resnet18,Pruning,9530.95,13.33,82.79,25.1992,75.01875468867216,53.57
resnet18,Distillation,10775.050000000001,15.07,83.2,28.1289,66.35700066357,36.64
mobilenet_v2,Base,4783.35,6.69,51.95,12.0781,149.47683109118086,64.9
mobilenet_v2,Pruning,4790.5,6.7,51.99,11.5273,149.2537313432836,51.33
mobilenet_v2,Distillation,4783.35,6.69,52.68,12.082,149.47683109118086,42.66
efficientnet_b0,Base,13713.699999999999,19.18,62.35,17.9883,52.13764337851929,61.4
efficientnet_b0,Pruning,12176.45,17.03,60.9,15.1094,58.71990604815032,36.64
efficientnet_b0,Distillation,13706.550000000001,19.17,63.1,19.9922,52.16484089723526,59.72
mnasnet1_0,Base,4983.55,6.97,57.23,14.3672,143.47202295552367,63.36
mnasnet1_0,Pruning,4869.15,6.81,55.96,13.3906,146.84287812041117,61.12
mnasnet1_0,Distillation,4997.85,6.99,56.78,14.2891,143.0615164520744,36.64
resnet18,Base,10846.55,15.17,82.97,26.5703,65.91957811470007,37.62
resnet18,Pruning,9552.4,13.36,80.62,26.8203,74.8502994011976,53.57
resnet18,Distillation,10846.55,15.17,82.47,26.3945,65.91957811470007,36.64
mobilenet_v2,Base,4790.5,6.7,51.49,12.168,149.2537313432836,64.9
mobilenet_v2,Pruning,4783.35,6.69,51.46,9.77734,149.47683109118086,51.33
mobilenet_v2,Distillation,4783.35,6.69,52.67,12.1133,149.47683109118086,42.66
efficientnet_b0,Base,13670.800000000001,19.12,62.24,16.2852,52.30125523012552,61.4
efficientnet_b0,Pruning,12219.35,17.09,57.41,15.1445,58.51375073142189,36.64
efficientnet_b0,Distillation,13713.699999999999,19.18,59.66,17.6406,52.13764337851929,59.72
mnasnet1_0,Base,5005.0,7.0,54.29,14.1445,142.85714285714286,63.36
mnasnet1_0,Pruning,4869.15,6.81,53.2,11.7695,146.84287812041117,61.12
mnasnet1_0,Distillation,5012.15,7.01,54.57,14.2656,142.65335235378032,36.64
resnet18,Base,10853.699999999999,15.18,81.05,26.5547,65.87615283267458,37.62
resnet18,Pruning,9538.1,13.34,79.2,26.8984,74.96251874062969,53.57
resnet18,Distillation,10860.85,15.19,80.81,28.0703,65.83278472679395,36.64
mobilenet_v2,Base,4783.35,6.69,49.71,12.0312,149.47683109118086,64.9
mobilenet_v2,Pruning,4790.5,6.7,49.53,11.6016,149.2537313432836,51.33
mobilenet_v2,Distillation,4790.5,6.7,50.49,12.2734,149.2537313432836,42.66
efficientnet_b0,Base,13720.85,19.19,60.12,16.2773,52.11047420531526,61.4
efficientnet_b0,Pruning,12205.050000000001,17.07,58.21,16.6875,58.58230814294083,36.64
efficientnet_b0,Distillation,13706.550000000001,19.17,60.51,17.7383,52.16484089723526,59.72
mnasnet1_0,Base,5005.0,7.0,54.68,14.2617,142.85714285714286,63.36
mnasnet1_0,Pruning,4862.0,6.8,53.44,13.7109,147.05882352941177,61.12
mnasnet1_0,Distillation,4990.700000000001,6.98,55.01,12.4805,143.26647564469914,36.64
resnet18,Base,10810.8,15.12,81.87,28.1836,66.13756613756614,37.62
resnet18,Pruning,9552.4,13.36,81.35,27.0195,74.8502994011976,53.57
resnet18,Distillation,10789.35,15.09,81.65,28.2461,66.26905235255136,36.64
mobilenet_v2,Base,4783.35,6.69,50.02,16.0547,149.47683109118086,64.9
mobilenet_v2,Pruning,4790.5,6.7,50.24,11.5898,149.2537313432836,51.33
mobilenet_v2,Distillation,4790.5,6.7,51.22,10.4492,149.2537313432836,42.66
efficientnet_b0,Base,13720.85,19.19,60.95,18.043,52.11047420531526,61.4
efficientnet_b0,Pruning,12183.599999999999,17.04,59.12,15.168,58.68544600938967,36.64
efficientnet_b0,Distillation,13713.699999999999,19.18,61.27,17.625,52.13764337851929,59.72
mnasnet1_0,Base,4983.55,6.97,55.84,14.332,143.47202295552367,63.36
mnasnet1_0,Pruning,4869.15,6.81,55.09,13.6016,146.84287812041117,61.12
mnasnet1_0,Distillation,4990.700000000001,6.98,55.12,14.4805,143.26647564469914,36.64
resnet18,Base,10853.699999999999,15.18,82.59,28.2422,65.87615283267458,37.62
resnet18,Pruning,9502.349999999999,13.29,81.23,26.8594,75.24454477050415,53.57
resnet18,Distillation,10796.5,15.1,82.15,28.082,66.22516556291392,36.64
mobilenet_v2,Base,4790.5,6.7,51.45,12.1836,149.2537313432836,64.9
mobilenet_v2,Pruning,4790.5,6.7,50.74,11.3867,149.2537313432836,51.33
mobilenet_v2,Distillation,4790.5,6.7,51.88,10.4922,149.2537313432836,42.66
efficientnet_b0,Base,13692.249999999998,19.15,60.82,17.9023,52.21932114882507,61.4
efficientnet_b0,Pruning,12240.800000000001,17.12,59.41,16.9492,58.41121495327103,36.64
efficientnet_b0,Distillation,13713.699999999999,19.18,61.66,17.6484,52.13764337851929,59.72
mnasnet1_0,Base,4997.85,6.99,56.05,14.3008,143.0615164520744,63.36
mnasnet1_0,Pruning,4847.7,6.78,54.94,11.8555,147.49262536873155,61.12
mnasnet1_0,Distillation,5005.0,7.0,56.54,14.5859,142.85714285714286,36.64
resnet18,Base,10825.1,15.14,82.05,28.1797,66.05019815059445,37.62
resnet18,Pruning,9588.15,13.41,81.19,26.9883,74.57121551081282,53.57
resnet18,Distillation,10860.85,15.19,82.95,28.0859,65.83278472679395,36.64
mobilenet_v2,Base,4783.35,6.69,51.41,12.2461,149.47683109118086,64.9
mobilenet_v2,Pruning,4790.5,6.7,51.44,11.5312,149.2537313432836,51.33
mobilenet_v2,Distillation,4790.5,6.7,52.53,10.5508,149.2537313432836,42.66
efficientnet_b0,Base,13706.550000000001,19.17,61.44,18.1445,52.16484089723526,61.4
efficientnet_b0,Pruning,12183.599999999999,17.04,60.48,22.8711,58.68544600938967,36.64
efficientnet_b0,Distillation,13699.4,19.16,62.45,17.9297,52.19206680584551,59.72
mnasnet1_0,Base,4997.85,6.99,56.28,12.4102,143.0615164520744,63.36
mnasnet1_0,Pruning,4847.7,6.78,55.0,11.8789,147.49262536873155,61.12
mnasnet1_0,Distillation,4983.55,6.97,56.02,14.2383,143.47202295552367,36.64
resnet18,Base,10810.8,15.12,82.62,28.0703,66.13756613756614,37.62
resnet18,Pruning,9523.800000000001,13.32,82.11,25.207,75.07507507507508,53.57
resnet18,Distillation,10810.8,15.12,83.38,28.207,66.13756613756614,36.64
mobilenet_v2,Base,4783.35,6.69,51.87,12.2305,149.47683109118086,64.9
mobilenet_v2,Pruning,4783.35,6.69,51.78,9.60547,149.47683109118086,51.33
mobilenet_v2,Distillation,4790.5,6.7,52.83,12.2656,149.2537313432836,42.66
efficientnet_b0,Base,13692.249999999998,19.15,61.83,18.0781,52.21932114882507,61.4
efficientnet_b0,Pruning,12190.75,17.05,60.79,15.0703,58.651026392961874,36.64
efficientnet_b0,Distillation,13663.65,19.11,62.18,17.7031,52.32862375719519,59.72
mnasnet1_0,Base,4997.85,6.99,57.1,12.6211,143.0615164520744,63.36
mnasnet1_0,Pruning,4854.85,6.79,55.54,13.1797,147.27540500736376,61.12
mnasnet1_0,Distillation,4997.85,6.99,56.97,12.6523,143.0615164520744,36.64
resnet18,Base,10825.1,15.14,83.25,28.207,66.05019815059445,37.62
resnet18,Pruning,9552.4,13.36,83.02,26.9727,74.8502994011976,53.57
resnet18,Distillation,10832.25,15.15,84.58,27.9297,66.006600660066,36.64
