Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11154.0,15.6,96.25,28.1836,64.1025641025641,92.45
resnet18,Pruning,9824.1,13.74,96.35,26.6875,72.7802037845706,77.76
resnet18,Distillation,11168.3,15.62,99.24,28.4102,64.02048655569783,99.44
mobilenet_v2,Base,5062.2,7.08,57.35,12.0586,141.24293785310735,90.07
mobilenet_v2,Pruning,5019.299999999999,7.02,65.27,11.7539,142.4501424501425,72.31
mobilenet_v2,Distillation,5062.2,7.08,66.42,12.207,141.24293785310735,97.2
efficientnet_b0,Base,14014.000000000002,19.6,77.42,17.9844,51.0204081632653,38.32
efficientnet_b0,Pruning,12591.15,17.61,77.3,16.7578,56.78591709256105,38.74
efficientnet_b0,Distillation,14014.000000000002,19.6,77.75,17.7305,51.0204081632653,50.07
mnasnet1_0,Base,5441.150000000001,7.61,72.34,14.3594,131.4060446780552,77.9
mnasnet1_0,Pruning,5298.150000000001,7.41,71.42,17.4102,134.9527665317139,80.42
mnasnet1_0,Distillation,5455.45,7.63,71.34,14.082,131.06159895150722,88.39
resnet18,Base,11161.15,15.61,99.44,28.0352,64.06149903907752,92.45
resnet18,Pruning,9809.8,13.72,96.2,26.6016,72.8862973760933,77.76
resnet18,Distillation,11182.6,15.64,99.21,28.1094,63.9386189258312,99.44
mobilenet_v2,Base,5076.5,7.1,67.32,12.3633,140.84507042253523,90.07
mobilenet_v2,Pruning,5040.75,7.05,65.63,11.5312,141.84397163120568,72.31
mobilenet_v2,Distillation,5069.349999999999,7.09,66.34,11.9219,141.04372355430183,97.2
efficientnet_b0,Base,14021.15,19.61,70.58,18.1016,50.99439061703213,38.32
efficientnet_b0,Pruning,12598.3,17.62,75.44,16.6641,56.75368898978433,38.74
efficientnet_b0,Distillation,14014.000000000002,19.6,77.44,17.7617,51.0204081632653,50.07
mnasnet1_0,Base,5441.150000000001,7.61,73.31,14.4219,131.4060446780552,77.9
mnasnet1_0,Pruning,5291.0,7.4,70.42,13.6836,135.13513513513513,80.42
mnasnet1_0,Distillation,5441.150000000001,7.61,72.33,14.2031,131.4060446780552,88.39
resnet18,Base,11146.85,15.59,101.19,28.2383,64.14368184733804,92.45
resnet18,Pruning,9809.8,13.72,95.1,26.8711,72.8862973760933,77.76
resnet18,Distillation,11175.45,15.63,101.21,28.1094,63.97952655150352,99.44
