Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11204.05,15.67,96.75,26.582,63.81620931716656,37.62
resnet18,Pruning,9902.75,13.85,92.14,24.9297,72.20216606498195,53.57
resnet18,Distillation,11225.5,15.7,99.26,26.5234,63.69426751592357,36.64
mobilenet_v2,Base,5190.9,7.26,58.72,10.5703,137.7410468319559,64.9
mobilenet_v2,Pruning,5140.85,7.19,58.8,9.73047,139.0820584144645,51.33
mobilenet_v2,Distillation,5169.450000000001,7.23,74.4,10.4141,138.31258644536652,42.66
efficientnet_b0,Base,17188.6,24.04,79.3,16.4141,41.597337770382694,61.4
efficientnet_b0,Pruning,12691.25,17.75,70.82,15.375,56.33802816901409,36.64
efficientnet_b0,Distillation,15308.15,21.41,66.83,16.2578,46.707146193367585,59.72
mnasnet1_0,Base,5348.200000000001,7.48,74.25,12.7266,133.6898395721925,63.36
mnasnet1_0,Pruning,5362.5,7.5,71.22,11.9453,133.33333333333334,61.12
mnasnet1_0,Distillation,5448.3,7.62,61.82,12.7695,131.23359580052494,36.64
resnet18,Base,11189.75,15.65,93.11,26.4961,63.897763578274756,37.62
resnet18,Pruning,9909.9,13.86,90.52,25.0039,72.15007215007215,53.57
resnet18,Distillation,13306.15,18.61,89.03,26.6172,53.73455131649651,36.64
mobilenet_v2,Base,5226.65,7.31,63.69,14.4766,136.79890560875515,64.9
mobilenet_v2,Pruning,5090.8,7.12,67.22,9.84375,140.4494382022472,51.33
mobilenet_v2,Distillation,5112.25,7.15,58.52,10.5312,139.86013986013987,42.66
efficientnet_b0,Base,13956.8,19.52,80.36,16.3438,51.22950819672131,61.4
efficientnet_b0,Pruning,12462.449999999999,17.43,86.17,15.1211,57.37234652897303,36.64
efficientnet_b0,Distillation,14157.0,19.8,81.65,16.0234,50.505050505050505,59.72
mnasnet1_0,Base,5534.1,7.74,73.97,12.8398,129.19896640826872,63.36
mnasnet1_0,Pruning,5169.450000000001,7.23,71.05,11.9336,138.31258644536652,61.12
mnasnet1_0,Distillation,5484.05,7.67,71.23,12.7773,130.3780964797914,36.64
resnet18,Base,11318.45,15.83,109.64,26.5781,63.171193935565384,37.62
resnet18,Pruning,9874.15,13.81,108.64,25.2812,72.4112961622013,53.57
resnet18,Distillation,11254.1,15.74,91.79,26.2617,63.53240152477763,36.64
mobilenet_v2,Base,5012.15,7.01,68.06,10.5352,142.65335235378032,64.9
mobilenet_v2,Pruning,5055.05,7.07,55.53,10.1328,141.44271570014143,51.33
mobilenet_v2,Distillation,5112.25,7.15,65.34,10.7109,139.86013986013987,42.66
