Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,10846.55,15.17,83.05,26.6641,65.91957811470007,92.45
resnet18,Pruning,9545.25,13.35,77.36,25.1055,74.90636704119851,77.76
resnet18,Distillation,10868.0,15.2,90.02,28.3164,65.78947368421053,99.44
mobilenet_v2,Base,4761.900000000001,6.66,50.6,10.4141,150.15015015015015,90.07
mobilenet_v2,Pruning,4790.5,6.7,50.11,9.98828,149.2537313432836,72.31
mobilenet_v2,Distillation,4776.2,6.68,50.04,10.4141,149.7005988023952,97.2
efficientnet_b0,Base,13706.55,19.17,61.53,16.3359,52.16484089723526,38.32
efficientnet_b0,Pruning,12169.3,17.02,59.55,15.1445,58.75440658049354,38.74
efficientnet_b0,Distillation,13699.4,19.16,61.48,16.125,52.19206680584551,50.07
mnasnet1_0,Base,4969.25,6.95,55.69,12.832,143.88489208633092,77.9
mnasnet1_0,Pruning,4854.85,6.79,54.78,11.9648,147.27540500736376,80.42
mnasnet1_0,Distillation,4976.4,6.96,55.89,12.7656,143.67816091954023,88.39
resnet18,Base,10832.25,15.15,83.27,26.5859,66.006600660066,92.45
resnet18,Pruning,9516.65,13.31,77.75,25.1875,75.13148009015778,77.76
resnet18,Distillation,10832.25,15.15,81.79,26.5586,66.006600660066,99.44
mobilenet_v2,Base,4769.05,6.67,51.72,10.2734,149.92503748125938,90.07
mobilenet_v2,Pruning,4783.35,6.69,50.54,13.7031,149.47683109118086,72.31
mobilenet_v2,Distillation,4776.2,6.68,51.14,10.6562,149.7005988023952,97.2
efficientnet_b0,Base,13699.4,19.16,62.39,16.2852,52.19206680584551,38.32
efficientnet_b0,Pruning,12226.500000000002,17.1,59.59,15.1992,58.47953216374268,38.74
efficientnet_b0,Distillation,13699.4,19.16,62.07,16.125,52.19206680584551,50.07
mnasnet1_0,Base,4997.85,6.99,56.44,12.8477,143.0615164520744,77.9
mnasnet1_0,Pruning,4862.0,6.8,55.12,11.9883,147.05882352941177,80.42
mnasnet1_0,Distillation,5012.15,7.01,56.19,12.7344,142.65335235378032,88.39
resnet18,Base,10839.4,15.16,84.12,26.4609,65.96306068601584,92.45
resnet18,Pruning,9545.25,13.35,78.59,25.1797,74.90636704119851,77.76
resnet18,Distillation,10853.7,15.18,82.25,26.3359,65.87615283267458,99.44
mobilenet_v2,Base,4776.2,6.68,52.35,10.6211,149.7005988023952,90.07
mobilenet_v2,Pruning,4783.35,6.69,50.94,9.85938,149.47683109118086,72.31
mobilenet_v2,Distillation,4769.05,6.67,51.78,10.5195,149.92503748125938,97.2
efficientnet_b0,Base,13706.55,19.17,63.41,18.4805,52.16484089723526,38.32
efficientnet_b0,Pruning,12226.500000000002,17.1,60.25,15.0469,58.47953216374268,38.74
efficientnet_b0,Distillation,13706.55,19.17,62.48,15.9727,52.16484089723526,50.07
mnasnet1_0,Base,4990.700000000001,6.98,56.99,12.6719,143.26647564469914,77.9
mnasnet1_0,Pruning,4862.0,6.8,55.76,11.7578,147.05882352941177,80.42
mnasnet1_0,Distillation,5005.0,7.0,56.8,12.4492,142.85714285714286,88.39
resnet18,Base,10832.25,15.15,85.16,26.7031,66.006600660066,92.45
resnet18,Pruning,9538.1,13.34,79.44,25.2773,74.96251874062969,77.76
resnet18,Distillation,10803.65,15.11,82.78,26.6094,66.18133686300463,99.44
mobilenet_v2,Base,4776.2,6.68,53.48,10.4023,149.7005988023952,90.07
mobilenet_v2,Pruning,4733.3,6.62,51.84,10.0391,151.05740181268882,72.31
mobilenet_v2,Distillation,4783.35,6.69,52.51,10.5547,149.47683109118086,97.2
efficientnet_b0,Base,13706.55,19.17,63.54,16.4141,52.16484089723526,38.32
efficientnet_b0,Pruning,12183.6,17.04,61.11,15.2109,58.68544600938967,38.74
efficientnet_b0,Distillation,13706.55,19.17,62.72,15.918,52.16484089723526,50.07
mnasnet1_0,Base,4997.85,6.99,57.45,12.6797,143.0615164520744,77.9
mnasnet1_0,Pruning,4854.85,6.79,56.31,11.9531,147.27540500736376,80.42
mnasnet1_0,Distillation,4997.85,6.99,57.34,12.7305,143.0615164520744,88.39
resnet18,Base,10796.5,15.1,84.99,26.5117,66.22516556291392,92.45
resnet18,Pruning,9509.5,13.3,79.85,25.3594,75.18796992481202,77.76
resnet18,Distillation,10839.4,15.16,83.2,26.3438,65.96306068601584,99.44
mobilenet_v2,Base,4776.2,6.68,53.59,10.3789,149.7005988023952,90.07
mobilenet_v2,Pruning,4783.35,6.69,52.26,9.88281,149.47683109118086,72.31
mobilenet_v2,Distillation,4776.2,6.68,52.6,10.5703,149.7005988023952,97.2
efficientnet_b0,Base,13692.249999999998,19.15,63.73,16.3633,52.21932114882507,38.32
efficientnet_b0,Pruning,12226.500000000002,17.1,61.66,15.1289,58.47953216374268,38.74
efficientnet_b0,Distillation,13699.4,19.16,63.5,16.1055,52.19206680584551,50.07
mnasnet1_0,Base,4976.4,6.96,58.16,12.6953,143.67816091954023,77.9
mnasnet1_0,Pruning,4862.0,6.8,56.81,11.8711,147.05882352941177,80.42
mnasnet1_0,Distillation,4990.700000000001,6.98,57.62,12.3867,143.26647564469914,88.39
resnet18,Base,10832.25,15.15,85.65,26.6641,66.006600660066,92.45
resnet18,Pruning,9566.7,13.38,80.32,25.25,74.73841554559043,77.76
resnet18,Distillation,10775.05,15.07,83.86,26.5742,66.35700066357,99.44
mobilenet_v2,Base,4783.35,6.69,53.73,10.6211,149.47683109118086,90.07
mobilenet_v2,Pruning,4783.35,6.69,52.9,9.9375,149.47683109118086,72.31
mobilenet_v2,Distillation,4776.2,6.68,53.2,10.4375,149.7005988023952,97.2
efficientnet_b0,Base,13706.55,19.17,64.33,16.3672,52.16484089723526,38.32
efficientnet_b0,Pruning,12183.6,17.04,61.64,15.2461,58.68544600938967,38.74
efficientnet_b0,Distillation,13699.4,19.16,64.02,16.0977,52.19206680584551,50.07
mnasnet1_0,Base,4990.700000000001,6.98,58.38,12.5234,143.26647564469914,77.9
mnasnet1_0,Pruning,4862.0,6.8,56.95,17.6758,147.05882352941177,80.42
mnasnet1_0,Distillation,4983.55,6.97,57.73,12.8359,143.47202295552367,88.39
resnet18,Base,10839.4,15.16,86.08,26.4492,65.96306068601584,92.45
resnet18,Pruning,9523.8,13.32,79.86,25.1094,75.07507507507508,77.76
resnet18,Distillation,10853.7,15.18,84.9,26.4492,65.87615283267458,99.44
mobilenet_v2,Base,4776.2,6.68,54.38,10.5039,149.7005988023952,90.07
mobilenet_v2,Pruning,4733.3,6.62,53.37,9.85156,151.05740181268882,72.31
mobilenet_v2,Distillation,4776.2,6.68,53.95,10.5156,149.7005988023952,97.2
efficientnet_b0,Base,13713.7,19.18,65.28,16.3555,52.13764337851929,38.32
efficientnet_b0,Pruning,12226.500000000002,17.1,60.17,15.0938,58.47953216374268,38.74
efficientnet_b0,Distillation,13713.7,19.18,62.71,16.3516,52.13764337851929,50.07
mnasnet1_0,Base,5005.0,7.0,56.38,12.6797,142.85714285714286,77.9
mnasnet1_0,Pruning,4862.0,6.8,55.73,11.7773,147.05882352941177,80.42
mnasnet1_0,Distillation,4976.4,6.96,56.68,12.8008,143.67816091954023,88.39
resnet18,Base,10810.8,15.12,83.91,26.5664,66.13756613756614,92.45
