Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11103.95,15.53,95.57,26.4961,64.39150032195751,92.45
resnet18,Pruning,9759.75,13.65,94.52,26.9297,73.26007326007326,77.76
resnet18,Distillation,11139.7,15.58,98.31,28.3633,64.18485237483954,99.44
mobilenet_v2,Base,5090.8,7.12,65.78,10.3828,140.4494382022472,90.07
mobilenet_v2,Pruning,5033.6,7.04,66.58,11.5312,142.04545454545453,72.31
mobilenet_v2,Distillation,5090.8,7.12,66.62,12.2031,140.4494382022472,97.2
efficientnet_b0,Base,13992.55,19.57,76.56,16.4023,51.09862033725089,38.32
efficientnet_b0,Pruning,12548.25,17.55,74.94,16.625,56.98005698005698,38.74
efficientnet_b0,Distillation,13971.1,19.54,77.56,16.1094,51.1770726714432,50.07
mnasnet1_0,Base,5391.1,7.54,71.38,12.3359,132.6259946949602,77.9
mnasnet1_0,Pruning,5283.849999999999,7.39,69.53,11.9336,135.31799729364005,80.42
mnasnet1_0,Distillation,5391.1,7.54,72.64,12.7852,132.6259946949602,88.39
resnet18,Base,11125.4,15.56,97.57,26.5977,64.26735218508998,92.45
resnet18,Pruning,9766.9,13.66,96.46,25.2695,73.20644216691069,77.76
resnet18,Distillation,11139.7,15.58,99.33,28.0742,64.18485237483954,99.44
mobilenet_v2,Base,5090.8,7.11,66.55,12.043,140.64697609001405,90.07
mobilenet_v2,Pruning,5026.45,7.03,65.59,9.75,142.2475106685633,72.31
mobilenet_v2,Distillation,5097.95,7.13,66.16,10.3711,140.25245441795232,97.2
efficientnet_b0,Base,13992.55,19.57,77.56,16.3359,51.09862033725089,38.32
efficientnet_b0,Pruning,12548.25,17.55,76.41,16.6836,56.98005698005698,38.74
efficientnet_b0,Distillation,13985.4,19.56,75.96,17.5781,51.12474437627812,50.07
mnasnet1_0,Base,5391.1,7.54,70.4,12.7109,132.6259946949602,77.9
mnasnet1_0,Pruning,5283.849999999999,7.39,68.53,11.9297,135.31799729364005,80.42
mnasnet1_0,Distillation,5383.95,7.53,69.37,12.5273,132.80212483399734,88.39
resnet18,Base,11103.95,15.53,87.37,26.6953,64.39150032195751,92.45
resnet18,Pruning,9766.9,13.66,96.29,26.8555,73.20644216691069,77.76
resnet18,Distillation,11139.7,15.58,96.37,26.543,64.18485237483954,99.44
mobilenet_v2,Base,5090.8,7.12,63.85,10.3945,140.4494382022472,90.07
mobilenet_v2,Pruning,5047.9,7.06,72.33,11.4961,141.643059490085,72.31
mobilenet_v2,Distillation,5090.8,7.12,66.62,11.9883,140.4494382022472,97.2
efficientnet_b0,Base,13971.1,19.54,74.57,16.4102,51.1770726714432,38.32
efficientnet_b0,Pruning,12533.95,17.53,75.44,15.0547,57.04506560182544,38.74
efficientnet_b0,Distillation,13971.1,19.54,75.64,16.0234,51.1770726714432,50.07
mnasnet1_0,Base,5391.1,7.54,69.34,12.7812,132.6259946949602,77.9
mnasnet1_0,Pruning,5283.849999999999,7.39,69.52,13.6289,135.31799729364005,80.42
