Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11196.9,15.66,86.23,27.9883,63.85696040868454,92.45
resnet18,Pruning,9745.45,13.63,87.47,26.8281,73.36757153338225,77.76
resnet18,Distillation,11061.05,15.47,126.44,26.3945,64.64124111182934,99.44
mobilenet_v2,Base,5226.65,7.31,67.31,10.3867,136.79890560875515,90.07
mobilenet_v2,Pruning,4947.8,6.92,56.88,9.91016,144.50867052023122,72.31
mobilenet_v2,Distillation,5155.15,7.21,57.61,10.6211,138.69625520110958,97.2
efficientnet_b0,Base,15279.55,21.37,66.27,16.0742,46.79457182966776,38.32
efficientnet_b0,Pruning,12769.9,17.86,80.21,15.2734,55.99104143337066,38.74
efficientnet_b0,Distillation,14972.1,20.94,63.96,16.3398,47.75549188156638,50.07
mnasnet1_0,Base,5441.150000000001,7.61,73.37,12.7109,131.4060446780552,77.9
mnasnet1_0,Pruning,5376.799999999999,7.52,73.96,11.7344,132.97872340425533,80.42
mnasnet1_0,Distillation,5326.75,7.45,59.52,12.7031,134.2281879194631,88.39
resnet18,Base,11304.15,15.81,107.6,26.6836,63.25110689437065,92.45
resnet18,Pruning,10010.0,14.0,101.45,25.2227,71.42857142857143,77.76
resnet18,Distillation,11168.3,15.62,96.03,26.5547,64.02048655569783,99.44
mobilenet_v2,Base,5212.35,7.29,67.01,10.4766,137.17421124828533,90.07
mobilenet_v2,Pruning,5219.5,7.3,83.93,10.1641,136.986301369863,72.31
mobilenet_v2,Distillation,5033.6,7.04,57.81,10.6406,142.04545454545453,97.2
efficientnet_b0,Base,14214.2,19.88,94.45,16.4609,50.30181086519115,38.32
efficientnet_b0,Pruning,12584.000000000002,17.6,82.92,15.3672,56.81818181818181,38.74
efficientnet_b0,Distillation,14157.0,19.8,65.03,16.3398,50.505050505050505,50.07
mnasnet1_0,Base,5212.35,7.29,60.55,12.6562,137.17421124828533,77.9
mnasnet1_0,Pruning,5226.65,7.31,62.08,11.7266,136.79890560875515,80.42
mnasnet1_0,Distillation,5391.1,7.54,63.53,12.7188,132.6259946949602,88.39
resnet18,Base,11168.3,15.62,99.14,26.5586,64.02048655569783,92.45
resnet18,Pruning,9852.7,13.78,90.48,25.3008,72.5689404934688,77.76
resnet18,Distillation,11282.7,15.78,107.85,26.3008,63.37135614702155,99.44
mobilenet_v2,Base,5019.299999999999,7.02,57.19,10.3164,142.4501424501425,90.07
mobilenet_v2,Pruning,5033.6,7.04,60.45,9.92578,142.04545454545453,72.31
mobilenet_v2,Distillation,5140.85,7.19,57.91,10.6602,139.0820584144645,97.2
efficientnet_b0,Base,13999.7,19.58,65.36,16.3398,51.07252298263535,38.32
efficientnet_b0,Pruning,12462.45,17.43,61.17,15.2812,57.37234652897303,38.74
