Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,973.221924,1.35385,1.35385,968.00275,1.36115,1.36115,0.007300000000000084,5.21950000000006,734.6731329903744,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1058.963623,1.47702,1.47702,1056.0693,1.481068,1.481068,0.0040480000000000516,2.894320000000037,675.1884431822451,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1104.357422,1.534819,1.534819,1097.395585,1.544556,1.544556,0.009737000000000107,6.961955000000076,647.4353191787577,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1024.923096,1.424019,1.424019,1018.1735849999999,1.433459,1.433459,0.009440000000000115,6.749600000000083,697.6133163458344,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1065.344482,1.4859,1.4859,1062.4185,1.489992,1.489992,0.0040919999999999845,2.925779999999989,671.1444158022118,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,984.583984,1.366556,1.366556,977.0875400000001,1.377041,1.377041,0.010484999999999856,7.4967749999998965,726.1950342673866,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20363.306396,28.47619,28.47619,20360.47585,28.480149,28.480149,0.003959000000001822,2.830685000001303,35.1121760924075,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18732.21582,26.19122,26.19122,18726.7223,26.198903,26.198903,0.007683000000000106,5.493345000000076,38.16953674196991,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20365.957031,28.476853,28.476853,20360.949894999998,28.483856,28.483856,0.007003000000000981,5.007145000000701,35.10760623287499,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,982.562256,1.369925,1.369925,979.4963750000001,1.374213,1.374213,0.0042879999999998475,3.065919999999891,727.6892590101689,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,961.008301,1.336775,1.336775,955.794125,1.344068,1.344068,0.007292999999999994,5.214494999999996,744.0102226546741,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1009.812744,1.408323,1.408323,1006.950945,1.412326,1.412326,0.004002999999999979,2.862144999999985,708.0520663343897,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1066.8479,1.485438,1.485438,1062.08817,1.492095,1.492095,0.006656999999999913,4.759754999999938,670.1986290641805,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1040.984375,1.449906,1.449906,1036.6827899999998,1.455922,1.455922,0.006016000000000021,4.3014400000000155,686.8498866757726,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1013.459229,1.409823,1.409823,1008.023445,1.417425,1.417425,0.007601999999999887,5.4354299999999185,705.5044539931857,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1061.371094,1.480387,1.480387,1058.476705,1.484435,1.484435,0.0040480000000000516,2.894320000000037,673.6569368074386,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,958.358887,1.327532,1.327532,949.18538,1.340362,1.340362,0.012830000000000119,9.173450000000084,746.0670628705716,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1063.115967,1.483438,1.483438,1060.65817,1.486875,1.486875,0.0034369999999999123,2.4574549999999373,672.551275866596,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20363.270508,28.476199,28.476199,20360.482285000002,28.480099,28.480099,0.003899999999998016,2.7884999999985816,35.112237973713604,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18724.171875,26.184142,26.184142,18721.66153,26.187653,26.187653,0.0035109999999995978,2.5103649999997124,38.185934458049296,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20362.759033,28.475629,28.475629,20360.074735000002,28.479383,28.479383,0.0037539999999971485,2.684109999997961,35.113119928456996,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1058.469971,1.476596,1.476596,1055.76614,1.480378,1.480378,0.003781999999999952,2.7041299999999655,675.5033393384762,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,966.344238,1.34024,1.34024,958.2716,1.35153,1.35153,0.0112899999999998,8.072349999999858,739.9019644177772,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,973.097656,1.357626,1.357626,970.70259,1.360976,1.360976,0.003349999999999964,2.395249999999974,734.7669533385455,0.14,3.94,4.023832321166992,85.59
resnet18,Base,998.757568,1.393381,1.393381,996.267415,1.396864,1.396864,0.003483000000000125,2.4903450000000893,715.8894439536302,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,942.827393,1.315172,1.315172,940.34798,1.31864,1.31864,0.0034680000000000266,2.4796200000000193,758.3572616880892,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,914.118164,1.274521,1.274521,911.282515,1.278487,1.278487,0.003965999999999914,2.8356899999999383,782.1745898487584,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,950.85498,1.326206,1.326206,948.23729,1.329867,1.329867,0.0036609999999999143,2.6176149999999385,751.954835426113,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1106.152588,1.543153,1.543153,1103.354395,1.547067,1.547067,0.003913999999999973,2.7985099999999807,646.3846016875206,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1030.249268,1.437471,1.437471,1027.791765,1.440908,1.440908,0.0034370000000001344,2.4574550000000963,694.006802245066,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20363.629639,28.476377,28.476377,20360.609555,28.480601,28.480601,0.004224000000000672,3.0201600000004802,35.11161873768549,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18724.397461,26.184084,26.184084,18721.620059999997,26.187968,26.187968,0.003884000000002885,2.777060000002063,38.185474405210286,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20378.368652,28.497237,28.497237,20375.524455,28.501215,28.501215,0.003978000000000037,2.8442700000000265,35.08622364282469,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,970.853271,1.353853,1.353853,968.004895,1.357837,1.357837,0.0039839999999999876,2.848559999999991,736.4655621580534,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,926.047363,1.2909,1.2909,922.9934999999999,1.295171,1.295171,0.004271000000000136,3.053765000000097,772.0987376754724,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,981.769531,1.369506,1.369506,979.19679,1.373104,1.373104,0.003598000000000212,2.5725700000001517,728.2768281388028,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1066.126465,1.482953,1.482953,1060.311395,1.491086,1.491086,0.008132999999999946,5.815094999999961,670.6521444432955,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1122.909424,1.565332,1.565332,1119.21238,1.570503,1.570503,0.005171000000000037,3.6972650000000264,636.7388007601226,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1124.343018,1.565348,1.565348,1119.22382,1.572508,1.572508,0.007160000000000055,5.11940000000004,635.926926705921,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1112.888672,1.552516,1.552516,1110.04894,1.556488,1.556488,0.003972000000000087,2.839980000000062,642.4721699386657,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,934.055908,1.302183,1.302183,931.0608450000001,1.306372,1.306372,0.004188999999999998,2.9951349999999985,765.4788047226825,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1024.897949,1.428779,1.428779,1021.576985,1.433424,1.433424,0.00464500000000001,3.3211750000000073,697.6304330569014,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20363.987549,28.476817,28.476817,20360.924155,28.481101,28.481101,0.0042839999999984,3.063059999998856,35.11100162871151,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18727.859619,26.189322,26.189322,18725.36523,26.192811,26.192811,0.003488999999998299,2.494634999998784,38.17841518176536,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20364.688232,28.476309,28.476309,20360.560935,28.482081,28.482081,0.005772000000000332,4.126980000000238,35.10979357280248,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1009.561035,1.408008,1.408008,1006.7257199999999,1.411973,1.411973,0.003964999999999996,2.8349749999999974,708.228601552555,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,939.684814,1.305014,1.305014,933.0850099999999,1.314244,1.314244,0.009230000000000071,6.599450000000051,760.8934286768201,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1200.773438,1.670543,1.670543,1194.4382449999998,1.679403,1.679403,0.00886000000000009,6.334900000000064,595.4495472442321,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1021.600342,1.425052,1.425052,1018.91218,1.428812,1.428812,0.0037599999999999856,2.68839999999999,699.882302897663,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,938.071045,1.302958,1.302958,931.6149700000001,1.311987,1.311987,0.009028999999999954,6.455734999999967,762.202398007072,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,953.737793,1.329684,1.329684,950.72406,1.333899,1.333899,0.004214999999999858,3.0137249999998983,749.6819411454318,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1133.877197,1.581828,1.581828,1131.00702,1.585842,1.585842,0.004013999999999962,2.870009999999973,630.5797505159635,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1031.803711,1.439647,1.439647,1029.347605,1.443082,1.443082,0.003435000000000077,2.456025000000055,692.9612603418907,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1078.041016,1.503842,1.503842,1075.24703,1.50775,1.50775,0.003908000000000023,2.794220000000016,663.2400710067233,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.901123,28.475861,28.475861,20360.240615,28.479582,28.479582,0.003721000000002306,2.6605150000016486,35.11287491311363,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.437256,26.185396,26.185396,18722.55814,26.189423,26.189423,0.004027000000000669,2.8793050000004783,38.18335402399748,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20368.69873,28.475913,28.475913,20360.277794999998,28.487691,28.487691,0.011778000000003175,8.42127000000227,35.10288062471628,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,944.280029,1.308931,1.308931,935.885665,1.320671,1.320671,0.011739999999999862,8.3940999999999,757.1906405319094,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1053.884521,1.469979,1.469979,1051.034985,1.473964,1.473964,0.003985000000000127,2.849275000000091,678.4424533738835,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1128.332275,1.57267,1.57267,1124.45905,1.578087,1.578087,0.005417000000000005,3.8731550000000037,633.6785855035478,0.14,3.94,4.023832321166992,85.59
resnet18,Base,973.819336,1.35523,1.35523,968.9894499999999,1.361985,1.361985,0.0067550000000000665,4.8298250000000476,734.2224307610174,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1091.339355,1.522588,1.522588,1088.65042,1.526349,1.526349,0.0037609999999999033,2.689114999999931,655.1582665137188,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,944.793945,1.317497,1.317497,942.0103549999999,1.32139,1.32139,0.0038930000000001463,2.7834950000001046,756.7787704227931,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1025.512939,1.430592,1.430592,1022.87328,1.434284,1.434284,0.0036919999999998065,2.6397799999998615,697.212070963446,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,991.564453,1.383239,1.383239,989.015885,1.386803,1.386803,0.0035639999999999006,2.548259999999929,721.0827272364917,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1101.145752,1.531926,1.531926,1095.32709,1.540064,1.540064,0.0081380000000002,5.818670000000143,649.3236691885272,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20575.253174,28.772401,28.772401,20572.266714999998,28.776578,28.776578,0.004177000000002096,2.9865550000014984,34.750483697741934,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.294678,26.185036,26.185036,18722.30074,26.189223,26.189223,0.004186999999998164,2.9937049999986876,38.18364475940879,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20365.867676,28.476105,28.476105,20360.415075,28.483731,28.483731,0.007625999999998356,5.452589999998825,35.10776026707599,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,962.443359,1.342482,1.342482,959.8746299999999,1.346075,1.346075,0.0035929999999999573,2.5689949999999695,742.900860932638,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1058.397461,1.476246,1.476246,1055.51589,1.480276,1.480276,0.004029999999999978,2.881449999999984,675.5496175552522,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1075.588379,1.500082,1.500082,1072.55863,1.504319,1.504319,0.004237000000000046,3.0294550000000333,664.7524405802454,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1027.14917,1.432041,1.432041,1023.9093149999999,1.436572,1.436572,0.004531000000000063,3.239665000000045,696.1014240998705,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1053.069824,1.468593,1.468593,1050.043995,1.472825,1.472825,0.0042320000000000135,3.0258800000000097,678.9673236330434,0.14,9.62,9.323553085327148,67.69
