Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,973.64624,1.357746,1.357746,970.7883899999999,1.361743,1.361743,0.003997000000000028,2.8578550000000202,734.3529617081456,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,803.702881,1.113969,1.113969,796.487835,1.12406,1.12406,0.010091000000000072,7.215065000000052,889.6322470691753,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,978.308838,1.364391,1.364391,975.5395649999999,1.368264,1.368264,0.0038730000000000153,2.769195000000011,730.8530519479984,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,886.12793,1.236131,1.236131,883.8336650000001,1.23934,1.23934,0.0032090000000000174,2.2944350000000124,806.8812366629726,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,926.912842,1.291382,1.291382,923.33813,1.296382,1.296382,0.004999999999999893,3.574999999999924,771.3778120251785,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,972.580811,1.356347,1.356347,969.788105,1.360253,1.360253,0.003905999999999965,2.7927899999999752,735.1574202506036,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20368.686523,28.483828,28.483828,20365.937019999998,28.487673,28.487673,0.0038450000000018747,2.7491750000013404,35.102901661952195,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18729.127686,26.190489,26.190489,18726.199635,26.194584,26.194584,0.004094999999999516,2.9279249999996537,38.17583028890671,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20372.235107,28.481538,28.481538,20364.29967,28.492637,28.492637,0.011098999999997972,7.93578499999855,35.096787183372065,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,978.143555,1.364201,1.364201,975.403715,1.368033,1.368033,0.0038320000000000576,2.739880000000041,730.9765487336877,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,834.548096,1.16378,1.16378,832.1027,1.1672,1.1672,0.0034199999999999786,2.4452999999999845,856.7511008976048,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,980.4646,1.367335,1.367335,977.6445249999999,1.371279,1.371279,0.0039439999999999475,2.8199599999999627,729.246114546104,0.14,3.94,4.023832321166992,85.59
resnet18,Base,902.602051,1.258974,1.258974,900.16641,1.26238,1.26238,0.00340600000000002,2.4352900000000144,792.1541937644013,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,873.986328,1.218569,1.218569,871.276835,1.222359,1.222359,0.00378999999999996,2.7098499999999714,818.0906006117752,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,914.523926,1.275326,1.275326,911.85809,1.279054,1.279054,0.0037279999999999536,2.665519999999967,781.8275494740857,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,924.582764,1.287371,1.287371,920.470265,1.293123,1.293123,0.005751999999999979,4.112679999999985,773.3217920986466,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,963.193115,1.343284,1.343284,960.4480599999999,1.347123,1.347123,0.003839000000000148,2.7448850000001057,742.3225819050834,0.14,2.58,3.3179101943969727,69.09
