Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,749.110596,1.045084,1.045084,747.23506,1.047707,1.047707,0.002623000000000042,1.87544500000003,954.4652068971669,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,801.143555,1.116649,1.116649,798.404035,1.12048,1.12048,0.003830999999999918,2.7391649999999412,892.4742582495094,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,800.231934,1.115414,1.115414,797.5210099999999,1.119206,1.119206,0.0037920000000000176,2.711280000000013,893.4909613342173,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,815.58252,1.136837,1.136837,812.8384550000001,1.140675,1.140675,0.003838000000000008,2.7441700000000058,876.6740120913822,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,814.59375,1.135435,1.135435,811.836025,1.139292,1.139292,0.0038569999999999993,2.7577549999999995,877.7381363409675,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,741.971436,1.033826,1.033826,739.1855899999999,1.037722,1.037722,0.0038960000000001216,2.785640000000087,963.6489564269425,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20369.350586,28.484795,28.484795,20366.628425,28.488602,28.488602,0.003807000000001892,2.722005000001353,35.101757269150475,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18729.422852,26.191116,26.191116,18726.64794,26.194997,26.194997,0.0038809999999998013,2.774914999999858,38.17522865760114,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20368.567383,28.483635,28.483635,20365.799025,28.487507,28.487507,0.003872000000001208,2.7684800000008636,35.10310698614733,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,811.550293,1.131231,1.131231,808.8301650000001,1.135035,1.135035,0.0038039999999999186,2.719859999999942,881.0298094489136,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,809.582275,1.128462,1.128462,806.8503300000001,1.132283,1.132283,0.0038209999999998523,2.7320149999998944,883.1715096529257,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,813.545166,1.134026,1.134026,810.82859,1.137825,1.137825,0.003799000000000108,2.7162850000000773,878.8694591051138,0.14,3.94,4.023832321166992,85.59
resnet18,Base,816.875977,1.138605,1.138605,814.1025750000001,1.142484,1.142484,0.003878999999999966,2.7734849999999756,875.2858697422558,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,806.595459,1.124345,1.124345,803.906675,1.128106,1.128106,0.0037610000000001254,2.68911500000009,886.4418861053865,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,814.669434,1.135599,1.135599,811.953285,1.139398,1.139398,0.003798999999999886,2.7162849999999183,877.6565931648787,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,770.430908,1.073598,1.073598,767.62257,1.077526,1.077526,0.0039279999999999315,2.808519999999951,928.0520713481033,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,824.45166,1.149253,1.149253,821.715895,1.153079,1.153079,0.003825999999999885,2.7355899999999176,867.2430837242781,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,810.448486,1.129546,1.129546,807.6253899999999,1.133494,1.133494,0.003948000000000063,2.8228200000000445,882.2275719569917,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20368.392578,28.483443,28.483443,20365.661745,28.487262,28.487262,0.003819000000000017,2.730585000000012,35.10340824696569,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18729.275879,26.19093,26.19093,18726.51495,26.194791,26.194791,0.0038609999999970057,2.760614999997859,38.17552822753207,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20368.74292,28.483994,28.483994,20366.05571,28.487752,28.487752,0.0037580000000012603,2.686970000000901,35.10280446899567,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,811.037354,1.130438,1.130438,808.2631700000001,1.134318,1.134318,0.0038799999999998835,2.774199999999917,881.5870150414797,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,810.608154,1.129904,1.129904,807.88136,1.133718,1.133718,0.003813999999999984,2.7270099999999884,882.053796858303,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,811.828369,1.131587,1.131587,809.0847049999999,1.135424,1.135424,0.0038370000000000903,2.743455000000065,880.728029842968,0.14,3.94,4.023832321166992,85.59
resnet18,Base,764.013184,1.064707,1.064707,761.2655050000001,1.06855,1.06855,0.003843000000000041,2.7477450000000294,935.8477248476382,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,789.316162,1.100069,1.100069,786.5493349999999,1.103939,1.103939,0.00387000000000004,2.7670500000000287,905.8474087092113,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,753.212646,1.049579,1.049579,750.448985,1.053444,1.053444,0.0038650000000000073,2.763475000000005,949.2671210408754,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,818.030518,1.140251,1.140251,815.279465,1.144099,1.144099,0.0038480000000000736,2.7513200000000526,874.050520447698,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,820.486328,1.143726,1.143726,817.76409,1.147533,1.147533,0.003806999999999894,2.722004999999924,871.4343866556178,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,778.643311,1.085131,1.085131,775.8686650000001,1.089012,1.089012,0.0038810000000000233,2.774915000000017,918.2638441749871,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20368.44873,28.483508,28.483508,20365.70822,28.487341,28.487341,0.0038330000000001974,2.740595000000141,35.10331147344081,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18729.162109,26.190912,26.190912,18726.502080000002,26.194632,26.194632,0.003719999999997725,2.6597999999983735,38.17576012417652,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20368.513916,28.483554,28.483554,20365.741110000003,28.487432,28.487432,0.0038779999999967174,2.772769999997653,35.103199131201656,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,827.666504,1.153766,1.153766,824.9426900000001,1.157576,1.157576,0.003809999999999869,2.7241499999999066,863.8745153325668,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,827.335693,1.153267,1.153267,824.585905,1.157113,1.157113,0.003846000000000016,2.7498900000000113,864.2199364170307,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,809.105713,1.127799,1.127799,806.376285,1.131616,1.131616,0.0038169999999999593,2.729154999999971,883.6916962913596,0.14,3.94,4.023832321166992,85.59
resnet18,Base,810.152588,1.129216,1.129216,807.38944,1.133081,1.133081,0.0038650000000000073,2.763475000000005,882.5497944345269,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,787.164307,1.097075,1.097075,784.408625,1.100929,1.100929,0.003854000000000024,2.755610000000017,908.3237052820282,0.14,9.62,9.323553085327148,67.69
