Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1086.286133,1.51645,1.51645,1084.2617500000001,1.519281,1.519281,0.002831000000000028,2.02416500000002,658.2059535505457,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1027.791748,1.433322,1.433322,1024.82523,1.437471,1.437471,0.004148999999999958,2.96653499999997,695.6662197291741,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,971.755859,1.348861,1.348861,964.4356150000001,1.359099,1.359099,0.01023799999999997,7.320169999999978,735.7815169087651,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1062.005371,1.481126,1.481126,1059.0050899999999,1.485322,1.485322,0.0041960000000000885,3.000140000000063,673.2545988225515,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1082.897461,1.509372,1.509372,1079.2009799999998,1.514542,1.514542,0.005170000000000119,3.696550000000085,660.2656537210221,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1094.534912,1.522975,1.522975,1088.927125,1.530818,1.530818,0.007843000000000044,5.6077450000000315,653.2454946489637,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.238281,28.475078,28.475078,20359.68077,28.478655,28.478655,0.0035769999999999413,2.557554999999958,35.11401792538526,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18727.196777,26.182688,26.182688,18720.621919999998,26.191884,26.191884,0.009196000000002869,6.575140000002051,38.17976649223522,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20362.806885,28.475254,28.475254,20359.80661,28.47945,28.47945,0.004196000000000311,3.000140000000222,35.113037413653196,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1039.305664,1.449326,1.449326,1036.26809,1.453574,1.453574,0.0042480000000000295,3.037320000000021,687.9593027985269,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1001.688477,1.397275,1.397275,999.0516250000001,1.400963,1.400963,0.0036879999999999136,2.636919999999938,713.7947739414795,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1026.371338,1.431365,1.431365,1023.425975,1.435484,1.435484,0.004118999999999984,2.945084999999988,696.6289621778195,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1041.231201,1.448055,1.448055,1035.3593250000001,1.456267,1.456267,0.008211999999999886,5.871579999999918,686.6870674959729,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1043.325684,1.449175,1.449175,1036.160125,1.459197,1.459197,0.010021999999999975,7.165729999999982,685.3085388052232,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1027.192383,1.432346,1.432346,1024.1273899999999,1.436633,1.436633,0.004287000000000152,3.0652050000001085,696.0721397794866,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1065.333252,1.484502,1.484502,1061.41893,1.489977,1.489977,0.005475000000000119,3.914625000000085,671.1514905384743,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1009.24707,1.407896,1.407896,1006.6456400000001,1.411534,1.411534,0.00363800000000003,2.6011700000000215,708.4489232156008,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1045.344482,1.457707,1.457707,1042.260505,1.46202,1.46202,0.004313000000000011,3.0837950000000083,683.9850521160545,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.401123,28.474901,28.474901,20359.554215,28.478883,28.478883,0.003982000000000596,2.8471300000004263,35.11373711189611,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.810303,26.186266,26.186266,18723.18019,26.189944,26.189944,0.0036780000000007362,2.6297700000005264,38.18259335274011,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20362.502686,28.474884,28.474884,20359.54206,28.479025,28.479025,0.004141000000000616,2.9608150000004407,35.113561973479314,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1023.243164,1.427435,1.427435,1020.616025,1.431109,1.431109,0.003673999999999955,2.6269099999999677,698.7586383719051,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1066.45459,1.488002,1.488002,1063.92143,1.491545,1.491545,0.003542999999999852,2.5332449999998943,670.4457992909008,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1009.199463,1.407829,1.407829,1006.597735,1.411468,1.411468,0.003638999999999948,2.601884999999963,708.4823429003351,0.14,3.94,4.023832321166992,85.59
resnet18,Base,978.477539,1.3649,1.3649,975.9035,1.3685,1.3685,0.0036000000000000476,2.574000000000034,730.727044312869,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1145.476562,1.598518,1.598518,1142.94037,1.602065,1.602065,0.003546999999999967,2.536104999999976,624.1943516955173,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1040.430908,1.446446,1.446446,1034.2088899999999,1.455148,1.455148,0.00870200000000021,6.22193000000015,687.2152629283481,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,975.267578,1.36028,1.36028,972.6002,1.364011,1.364011,0.003731000000000151,2.667665000000108,733.1321333026002,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,907.837891,1.266183,1.266183,905.3208450000001,1.269703,1.269703,0.0035199999999999676,2.516799999999977,787.5855448293906,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1074.284668,1.498998,1.498998,1071.78357,1.502496,1.502496,0.003498000000000001,2.501070000000001,665.5591588504361,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.276367,28.475098,28.475098,20359.695069999998,28.478708,28.478708,0.0036100000000018895,2.581150000001351,35.113952247439315,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18723.858154,26.182974,26.182974,18720.82641,26.187214,26.187214,0.004239999999999355,3.031599999999539,38.18657426900308,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20362.166016,28.474924,28.474924,20359.57066,28.478554,28.478554,0.0036299999999975796,2.5954499999982694,35.11414254447065,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,888.8125,1.239447,1.239447,886.204605,1.243094,1.243094,0.003646999999999956,2.6076049999999684,804.4441319175867,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1022.365723,1.426276,1.426276,1019.7873400000001,1.429882,1.429882,0.003605999999999998,2.5782899999999986,699.358344978473,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1043.696289,1.455344,1.455344,1040.57096,1.459715,1.459715,0.004371000000000125,3.1252650000000894,685.065193328478,0.14,3.94,4.023832321166992,85.59
resnet18,Base,940.302002,1.311541,1.311541,937.7518150000001,1.315108,1.315108,0.003566999999999876,2.550404999999911,760.39399945891,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1025.577881,1.430098,1.430098,1022.52007,1.434375,1.434375,0.004276999999999864,3.0580549999999027,697.1679218577063,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1002.906982,1.399128,1.399128,1000.3765199999999,1.402667,1.402667,0.003539000000000181,2.5303850000001296,712.9275324957305,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,815.810303,1.137277,1.137277,813.1530550000001,1.140993,1.140993,0.0037159999999998305,2.656939999999879,876.4292352900084,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1050.639648,1.464988,1.464988,1047.46642,1.469426,1.469426,0.004437999999999942,3.1731699999999585,680.5378050990895,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1031.016602,1.436009,1.436009,1026.746435,1.441981,1.441981,0.005971999999999866,4.269979999999904,693.4902877538727,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.061768,28.474812,28.474812,20359.49058,28.478408,28.478408,0.003596000000001709,2.571140000001222,35.11432231895389,0.44,4.36,6.12664794921875,63.5
