Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,2209.331055,3.078315,3.078315,2200.995225,3.089974,3.089974,0.011659000000000308,8.33618500000022,323.62737054814085,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,2048.202148,2.857745,2.857745,2043.287675,2.864618,2.864618,0.006873000000000129,4.914195000000092,349.08663712621006,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,2102.447266,2.928286,2.928286,2093.72449,2.940486,2.940486,0.012199999999999989,8.722999999999992,340.0798733755256,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,2084.297363,2.905434,2.905434,2077.38531,2.915101,2.915101,0.00966699999999987,6.911904999999907,343.04126306184844,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,2064.291504,2.876151,2.876151,2056.4479650000003,2.887121,2.887121,0.010969999999999924,7.843549999999945,346.36581055269414,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,2144.749756,2.990704,2.990704,2138.35336,2.99965,2.99965,0.008945999999999898,6.396389999999927,333.3722258271701,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20368.887695,28.477424,28.477424,20361.35816,28.487955,28.487955,0.01053100000000029,7.529665000000207,35.10255497041759,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18727.552246,26.185991,26.185991,18722.983565000002,26.192381,26.192381,0.006389999999999674,4.568849999999767,38.179041799374296,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20365.631592,28.477379,28.477379,20361.325985,28.483401,28.483401,0.006022000000001526,4.305730000001091,35.10816724588425,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,2120.730713,2.950003,2.950003,2109.252145,2.966057,2.966057,0.016054000000000013,11.478610000000009,337.1479441576796,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1987.612549,2.770784,2.770784,1981.1105599999999,2.779878,2.779878,0.009094000000000158,6.502210000000113,359.72805683870735,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,2002.885498,2.794482,2.794482,1998.0546299999999,2.801238,2.801238,0.006756000000000206,4.8305400000001475,356.98496030550416,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1716.758789,2.391684,2.391684,1710.0540600000002,2.401061,2.401061,0.009376999999999747,6.704554999999819,416.4825044620756,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,2013.773193,2.810657,2.810657,2009.619755,2.816466,2.816466,0.005809000000000175,4.153435000000125,355.0548803039906,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,2061.055176,2.874333,2.874333,2055.148095,2.882595,2.882595,0.00826199999999977,5.907329999999835,346.909684090864,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,2145.001465,2.988625,2.988625,2136.8668749999997,3.000002,3.000002,0.01137699999999997,8.13455499999998,333.3331056722612,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,2169.206543,3.024128,3.024128,2162.2515200000003,3.033855,3.033855,0.009726999999999819,6.954804999999871,329.61361024255405,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,2079.076904,2.896888,2.896888,2071.2749200000003,2.9078,2.9078,0.01091199999999981,7.802079999999865,343.90262266123466,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20371.429199,28.47758,28.47758,20361.4697,28.491509,28.491509,0.013929000000000968,9.959235000000692,35.09817563684232,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18726.543213,26.185296,26.185296,18722.48664,26.19097,26.19097,0.005673999999999069,4.056909999999334,38.18109898166607,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.002197,28.478126,28.478126,20361.86009,28.483919,28.483919,0.005793000000000603,4.141995000000431,35.10752837419032,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,2130.942871,2.974346,2.974346,2126.6573900000003,2.98034,2.98034,0.005993999999999833,4.285709999999881,335.53222366044366,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,2184.486572,3.045799,3.045799,2177.746285,3.055226,3.055226,0.009427000000000074,6.740305000000053,327.3080316284041,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,2135.609863,2.975511,2.975511,2127.490365,2.986867,2.986867,0.011356000000000144,8.119540000000104,334.79897821580715,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1545.493164,2.155346,2.155346,1541.07239,2.161529,2.161529,0.0061829999999996055,4.4208449999997175,462.6354982699878,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,2022.15332,2.822243,2.822243,2017.9037449999998,2.828186,2.828186,0.005943000000000254,4.249245000000181,353.5834760541303,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1980.131836,2.754764,2.754764,1969.6562600000002,2.769415,2.769415,0.014650999999999748,10.475464999999819,361.0870685480964,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,2160.383301,3.014796,3.014796,2155.57914,3.021515,3.021515,0.0067189999999999195,4.804084999999942,330.95978832508115,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,2145.228516,2.994456,2.994456,2141.03604,3.00032,3.00032,0.005863999999999869,4.192759999999907,333.2978256942022,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,2217.639893,3.094523,3.094523,2212.5839450000003,3.101594,3.101594,0.007070999999999827,5.055764999999877,322.4148349138667,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20370.75,28.484927,28.484927,20366.722804999998,28.490559,28.490559,0.00563200000000208,4.026880000001487,35.09934587582686,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18728.179443,26.186964,26.186964,18723.67926,26.193258,26.193258,0.006294000000000466,4.500210000000333,38.17776320309897,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20365.769531,28.477928,28.477928,20361.71852,28.483594,28.483594,0.005666000000001503,4.051190000001075,35.10792945543522,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1925.439209,2.685277,2.685277,1919.9730550000002,2.692922,2.692922,0.00764499999999968,5.466174999999771,371.34384542389364,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,2004.553467,2.797813,2.797813,2000.436295,2.803571,2.803571,0.005757999999999708,4.116969999999791,356.6879166710698,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,2121.507568,2.961259,2.961259,2117.300185,2.967143,2.967143,0.005884,4.20706,337.0244871075567,0.14,3.94,4.023832321166992,85.59
