Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1095.410645,1.526023,1.526023,1091.106445,1.532043,1.532043,0.006020000000000136,4.304300000000097,652.7232533877741,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1289.522217,1.799254,1.799254,1286.46661,1.803528,1.803528,0.004274000000000111,3.0559100000000794,554.4689269979441,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,2005.359619,2.798012,2.798012,2000.5785799999999,2.804699,2.804699,0.0066869999999998875,4.78120499999992,356.54452858512457,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1011.85083,1.411183,1.411183,1008.995845,1.415176,1.415176,0.003992999999999913,2.854994999999938,706.6258966254937,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1121.09082,1.563291,1.563291,1117.7530649999999,1.567959,1.567959,0.0046680000000001165,3.3376200000000833,637.7717016717701,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1388.560059,1.93748,1.93748,1385.2982,1.942042,1.942042,0.004561999999999955,3.261829999999968,514.9219116347923,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20370.610107,28.481437,28.481437,20364.227455,28.490364,28.490364,0.008926999999999907,6.382804999999934,35.099586916854435,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18733.312744,26.189276,26.189276,18725.33234,26.200437,26.200437,0.011161000000001309,7.980115000000936,38.16730173519384,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20367.298828,28.479824,28.479824,20363.07416,28.485733,28.485733,0.005908999999999054,4.2249349999993235,35.105293344891265,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1740.668945,2.42608,2.42608,1734.6471999999999,2.434502,2.434502,0.008422000000000374,6.021730000000267,410.7616224519936,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1083.987549,1.512283,1.512283,1081.282345,1.516067,1.516067,0.0037840000000000096,2.705560000000007,659.6016722328607,0.14,3.66,3.8280601501464844,69.37
