Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1000.625732,1.397253,1.397253,999.0358950000001,1.399477,1.399477,0.0022240000000000038,1.5901600000000027,714.5528813964181,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1011.97168,1.411865,1.411865,1009.483475,1.415345,1.415345,0.0034800000000001496,2.488200000000107,706.5415111221295,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,941.486328,1.314494,1.314494,939.86321,1.316764,1.316764,0.0022699999999999942,1.6230499999999959,759.4374753363386,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1007.694824,1.406966,1.406966,1005.98069,1.409363,1.409363,0.0023969999999999825,1.7138549999999875,709.5402129405003,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,998.07959,1.393387,1.393387,996.271705,1.395916,1.395916,0.0025290000000000035,1.8082350000000025,716.3757351254923,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1011.945801,1.412925,1.412925,1010.241375,1.415309,1.415309,0.0023839999999999417,1.7045599999999583,706.5595798642976,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20366.827393,28.481604,28.481604,20364.34686,28.485073,28.485073,0.003468999999999056,2.480334999999325,35.106105934090785,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18724.970215,26.1864,26.1864,18723.275999999998,26.18877,26.18877,0.0023700000000026478,1.6945500000018932,38.18430639890873,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.590332,28.48244,28.48244,20364.9446,28.484742,28.484742,0.0023020000000002483,1.6459300000001775,35.10651455862946,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1016.087402,1.41749,1.41749,1013.5053499999999,1.421101,1.421101,0.003611000000000031,2.581865000000022,703.6796230251854,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1008.778076,1.408533,1.408533,1007.101095,1.410878,1.410878,0.0023450000000000415,1.6766750000000297,708.7782903005913,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1010.967041,1.410412,1.410412,1008.44458,1.41394,1.41394,0.0035279999999999756,2.5225199999999823,707.2436301115775,0.14,3.94,4.023832321166992,85.59
resnet18,Base,970.63623,1.355504,1.355504,969.1853600000001,1.357533,1.357533,0.0020290000000000585,1.4507350000000419,736.6302409709145,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1022.207764,1.426297,1.426297,1019.8023549999999,1.429661,1.429661,0.0033640000000001447,2.405260000000103,699.46641493128,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,975.72168,1.361192,1.361192,973.2522799999999,1.364646,1.364646,0.003454000000000068,2.4696100000000487,732.790932758612,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,998.727539,1.39463,1.39463,997.1604500000001,1.396822,1.396822,0.0021919999999999717,1.5672799999999798,715.910968787254,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,988.76709,1.379277,1.379277,986.1830550000001,1.382891,1.382891,0.003614000000000006,2.5840100000000046,723.1227730283781,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,996.325439,1.391345,1.391345,994.811675,1.393462,1.393462,0.0021169999999999245,1.513654999999946,717.6370009357956,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20365.805664,28.481614,28.481614,20364.35401,28.483644,28.483644,0.0020300000000013085,1.4514500000009356,35.10786716696817,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18724.919922,26.186394,26.186394,18723.27171,26.188699,26.188699,0.0023049999999997794,1.6480749999998423,38.18440895760216,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.45459,28.482499,28.482499,20364.986785,28.484552,28.484552,0.0020530000000000825,1.467895000000059,35.106748542825294,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1007.08252,1.404889,1.404889,1004.495635,1.408507,1.408507,0.003617999999999899,2.586869999999928,709.9716118595724,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,982.063721,1.371443,1.371443,980.581745,1.373516,1.373516,0.0020729999999999915,1.482194999999994,728.0586633135591,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,993.051758,1.386557,1.386557,991.3882550000001,1.388884,1.388884,0.002326999999999968,1.663804999999977,720.0027533710887,0.14,3.94,4.023832321166992,85.59
resnet18,Base,983.073242,1.371548,1.371548,980.65682,1.374928,1.374928,0.0033799999999999386,2.416699999999956,727.3110175854018,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1009.193359,1.409094,1.409094,1007.5022100000001,1.411459,1.411459,0.0023649999999999505,1.6909749999999646,708.4866280813487,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,968.176514,1.351663,1.351663,966.4390450000001,1.354093,1.354093,0.002429999999999932,1.7374499999999515,738.501698461981,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,906.178223,1.26526,1.26526,904.6609000000001,1.267382,1.267382,0.0021219999999999573,1.5172299999999694,789.0280100010746,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,996.88623,1.391926,1.391926,995.22709,1.394246,1.394246,0.0023200000000000998,1.6588000000000713,717.2332995310809,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1000.614502,1.397203,1.397203,999.000145,1.399461,1.399461,0.0022580000000000933,1.6144700000000667,714.5609008972768,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20366.814209,28.481661,28.481661,20364.387615,28.485055,28.485055,0.003394000000000119,2.426710000000085,35.106128659240426,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.906494,26.186443,26.186443,18723.306745,26.190079,26.190079,0.0036360000000001946,2.599740000000139,38.18239721687676,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20367.459961,28.482498,28.482498,20364.98607,28.485958,28.485958,0.0034600000000004627,2.473900000000331,35.105015616532235,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1016.664062,1.418334,1.418334,1014.10881,1.421908,1.421908,0.003573999999999966,2.5554099999999758,703.280490306148,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1035.665771,1.44595,1.44595,1033.85425,1.448484,1.448484,0.0025340000000000362,1.811810000000026,690.3771660905843,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1027.657715,1.434872,1.434872,1025.93348,1.437284,1.437284,0.0024120000000000807,1.7245800000000577,695.7569524985272,0.14,3.94,4.023832321166992,85.59
resnet18,Base,998.760498,1.393369,1.393369,996.2588350000001,1.396868,1.396868,0.003498999999999919,2.501784999999942,715.8873437944079,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1013.984131,1.415849,1.415849,1012.3320349999999,1.41816,1.41816,0.002311000000000174,1.6523650000001244,705.1392404877784,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1004.584229,1.401534,1.401534,1002.09681,1.405013,1.405013,0.00347900000000001,2.487485000000007,711.7372335336552,0.14,10.98,10.13451862335205,99.3
