Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1797.743896,2.509403,2.509403,1794.223145,2.514327,2.514327,0.0049240000000003725,3.5206600000002664,397.7207218396808,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1797.768799,2.509266,2.509266,1794.1251900000002,2.514362,2.514362,0.005095999999999989,3.6436399999999924,397.71521254441353,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1777.996582,2.480568,2.480568,1773.60612,2.486709,2.486709,0.006140999999999952,4.390814999999966,402.1380059098449,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1811.074707,2.529486,2.529486,1808.58249,2.532972,2.532972,0.0034860000000001,2.4924900000000716,394.79321158671564,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1791.119873,2.498749,2.498749,1786.6055350000001,2.505063,2.505063,0.006313999999999709,4.514509999999792,399.1915955923292,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1785.271729,2.490625,2.490625,1780.796875,2.496884,2.496884,0.0062590000000000146,4.47518500000001,400.4992564356011,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20363.248291,28.4769,28.4769,20360.983500000002,28.480068,28.480068,0.0031679999999987274,2.26511999999909,35.11227628236554,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18726.133545,26.184105,26.184105,18721.635075,26.190397,26.190397,0.006292000000001963,4.498780000001403,38.181934262180334,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20364.960205,28.476269,28.476269,20360.532335,28.482462,28.482462,0.006193000000003224,4.427995000002305,35.10932468330841,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1765.389404,2.464126,2.464126,1761.85009,2.469076,2.469076,0.00495000000000001,3.539250000000007,405.00979465491343,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1762.968506,2.460728,2.460728,1759.4205200000001,2.46569,2.46569,0.004961999999999911,3.5478299999999363,405.56595172664987,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1766.139404,2.463817,2.463817,1761.629155,2.470125,2.470125,0.006307999999999758,4.510219999999827,404.83780520419214,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1777.966553,2.481829,2.481829,1774.507735,2.486667,2.486667,0.004838000000000342,3.4591700000002445,402.14479782736385,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1784.833008,2.48988,2.48988,1780.2641999999998,2.49627,2.49627,0.006390000000000118,4.568850000000085,400.59770118281,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1712.977295,2.390458,2.390458,1709.17747,2.395772,2.395772,0.005313999999999819,3.7995099999998705,417.4019130825666,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1786.190918,2.491948,2.491948,1781.74282,2.498169,2.498169,0.006221000000000032,4.448015000000023,400.2931561205038,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1793.23877,2.503039,2.503039,1789.672885,2.508026,2.508026,0.004987000000000297,3.565705000000212,398.71990945187963,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1794.105713,2.504474,2.504474,1790.69891,2.509239,2.509239,0.004764999999999908,3.4069749999999344,398.5272410756768,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20363.769043,28.476742,28.476742,20360.87053,28.480796,28.480796,0.004054000000000002,2.8986100000000015,35.111378374514594,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.236816,26.184138,26.184138,18721.65867,26.189142,26.189142,0.005003999999999564,3.5778599999996885,38.18376274894744,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20363.990967,28.476592,28.476592,20360.76328,28.481106,28.481106,0.004514000000000351,3.227510000000251,35.11099573549521,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1786.058838,2.49297,2.49297,1782.4735500000002,2.497984,2.497984,0.005014000000000074,3.585010000000053,400.32275801207396,0.14,3.94,4.155346870422363,82.94
