Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1391.779053,1.942572,1.942572,1388.93898,1.946544,1.946544,0.003972000000000087,2.839980000000062,513.7309678995434,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1973.205566,2.755441,2.755441,1970.1403149999999,2.759728,2.759728,0.004287000000000152,3.0652050000001085,362.3545424359501,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1336.652344,1.866293,1.866293,1334.399495,1.869444,1.869444,0.003151000000000126,2.2529650000000903,534.9184499690668,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1250.87085,1.74523,1.74523,1247.83945,1.74947,1.74947,0.0042400000000000215,3.031600000000015,571.6017764743658,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1686.049805,2.353935,2.353935,1683.063525,2.358112,2.358112,0.004177000000000319,2.9865550000002283,424.0681371805621,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1732.497314,2.419075,2.419075,1729.6386249999998,2.423073,2.423073,0.003998000000000168,2.85857000000012,412.69905253082544,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20365.297119,28.478736,28.478736,20362.29624,28.482933,28.482933,0.004196999999997786,3.000854999998417,35.10874385097647,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18727.038818,26.186517,26.186517,18723.359655,26.191663,26.191663,0.005145999999999873,3.679389999999909,38.18008853128229,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20364.880127,28.476916,28.476916,20360.99494,28.48235,28.48235,0.005434000000001049,3.88531000000075,35.10946273884738,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1132.480469,1.579843,1.579843,1129.587745,1.583889,1.583889,0.004045999999999994,2.892889999999996,631.3574667043551,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1085.269775,1.513983,1.513983,1082.497845,1.51786,1.51786,0.0038769999999999083,2.772054999999934,658.8223651580088,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1676.230713,2.339979,2.339979,1673.084985,2.344379,2.344379,0.0043999999999999595,3.145999999999971,426.55226064933703,0.14,3.94,4.023832321166992,85.59
resnet18,Base,2053.163818,2.866509,2.866509,2049.5539350000004,2.871558,2.871558,0.005048999999999637,3.6100349999997405,348.2430353251043,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,2062.97583,2.879179,2.879179,2058.612985,2.885281,2.885281,0.00610199999999983,4.362929999999878,346.58670722283745,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1900.381836,2.653217,2.653217,1897.0501550000001,2.657877,2.657877,0.0046599999999998865,3.331899999999919,376.2401778712854,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1552.939697,2.166918,2.166918,1549.34637,2.171944,2.171944,0.005025999999999975,3.593589999999982,460.41710530115967,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1406.1521,1.961872,1.961872,1402.73848,1.966646,1.966646,0.004773999999999834,3.4134099999998813,508.4798436812063,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1282.353516,1.790847,1.790847,1280.455605,1.793501,1.793501,0.002653999999999934,1.897609999999953,557.5685574055072,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.595215,28.476179,28.476179,20360.467985,28.479154,28.479154,0.0029750000000028365,2.127125000002028,35.11340241509584,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18726.119873,26.184318,26.184318,18721.787370000002,26.190377,26.190377,0.006059000000000481,4.332185000000344,38.18196213893263,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20363.010986,28.47726,28.47726,20361.2409,28.479736,28.479736,0.0024759999999979243,1.7703399999985159,35.112685471297816,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1448.043213,2.019984,2.019984,1444.28856,2.025235,2.025235,0.005250999999999895,3.7544649999999247,493.7697947001807,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1427.232178,1.992081,1.992081,1424.337915,1.996129,1.996129,0.0040480000000000516,2.894320000000037,500.96964671994664,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1570.109863,2.192418,2.192418,1567.57887,2.195958,2.195958,0.0035400000000000986,2.5311000000000705,455.382146720519,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1392.927246,1.945236,1.945236,1390.84374,1.94815,1.94815,0.002914000000000083,2.0835100000000595,513.3074983300312,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1283.291504,1.791523,1.791523,1280.9389449999999,1.794813,1.794813,0.003290000000000015,2.352350000000011,557.1610174082474,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1562.066162,2.178937,2.178937,1557.9399549999998,2.184708,2.184708,0.005771000000000193,4.126265000000138,457.72709081960124,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1391.633301,1.94202,1.94202,1388.5443,1.94634,1.94634,0.0043199999999998795,3.088799999999914,513.7847732489695,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1191.606201,1.661842,1.661842,1188.21703,1.666582,1.666582,0.0047399999999999665,3.389099999999976,600.0304457965807,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1239.398438,1.729196,1.729196,1236.3751399999999,1.733424,1.733424,0.0042280000000001206,3.023020000000086,576.892771588276,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20363.419678,28.477309,28.477309,20361.275935,28.480307,28.480307,0.0029979999999980578,2.1435699999986113,35.111980762860945,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18727.455811,26.185809,26.185809,18722.853435,26.192246,26.192246,0.006437000000001802,4.602455000001289,38.179238398204006,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20364.654053,28.477256,28.477256,20361.23804,28.482034,28.482034,0.004777999999998173,3.4162699999986934,35.109852499294995,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1161.446045,1.619528,1.619528,1157.96252,1.6244,1.6244,0.0048719999999999875,3.4834799999999913,615.6118943949739,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1503.207031,2.098325,2.098325,1500.302375,2.102387,2.102387,0.004061999999999788,2.9043299999998484,475.6497177400443,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1116.328125,1.558759,1.558759,1114.512685,1.561298,1.561298,0.002539000000000069,1.8153850000000493,640.4926866820631,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1121.481934,1.563892,1.563892,1118.18278,1.568506,1.568506,0.004613999999999896,3.2990099999999254,637.5492803970573,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1453.595215,2.027996,2.027996,1450.01714,2.033,2.033,0.0050040000000000084,3.577860000000006,491.8838426418458,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1741.842529,2.430675,2.430675,1737.932625,2.436143,2.436143,0.005468000000000028,3.9096200000000203,410.4848676593543,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1620.391602,2.260846,2.260846,1616.50489,2.266282,2.266282,0.005435999999999996,3.8867399999999974,441.25136116325046,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1516.645996,2.117416,2.117416,1513.95244,2.121183,2.121183,0.003766999999999854,2.6934049999998955,471.434996621321,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1590.453613,2.219117,2.219117,1586.668655,2.224411,2.224411,0.005294000000000132,3.7852100000000943,449.55727985761763,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20365.226807,28.478559,28.478559,20362.169685,28.482835,28.482835,0.004276000000000835,3.057340000000597,35.10886506573244,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18726.45166,26.185478,26.185478,18722.61677,26.190841,26.190841,0.0053629999999991185,3.8345449999993697,38.181285647790475,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20365.497803,28.477765,28.477765,20361.601975,28.483214,28.483214,0.005448999999998705,3.896034999999074,35.10839788530359,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,2380.205811,3.323891,3.323891,2376.582065,3.328959,3.328959,0.005067999999999628,3.6236199999997343,300.39419141641616,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1193.46167,1.665112,1.665112,1190.5550799999999,1.669177,1.669177,0.004064999999999985,2.9064749999999897,599.0975814078721,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1426.55249,1.990452,1.990452,1423.17318,1.995178,1.995178,0.004725999999999786,3.379089999999847,501.2083361895783,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1805.898926,2.518275,2.518275,1800.566625,2.525733,2.525733,0.007457999999999743,5.332469999999816,395.9247052567326,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,,,,,,,,,,,,9.323553085327148,
resnet18,Distillation,2298.434082,3.209377,3.209377,2294.704555,3.214593,3.214593,0.005215999999999887,3.7294399999999195,311.0813599569657,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1254.523926,1.750132,1.750132,1251.34438,1.754579,1.754579,0.00444700000000009,3.1796050000000644,569.9373166040358,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1208.595947,1.68599,1.68599,1205.48285,1.690344,1.690344,0.004353999999999969,3.1131099999999776,591.5955632440988,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1432.858887,2.000066,2.000066,1430.04719,2.003998,2.003998,0.003932000000000269,2.811380000000192,499.0023836171384,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20364.236572,28.477008,28.477008,20361.06072,28.48145,28.48145,0.0044419999999973925,3.1760299999981356,35.11057227566763,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18726.514404,26.185502,26.185502,18722.63393,26.190929,26.190929,0.005427000000000959,3.8803050000006856,38.18115771973429,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20367.492432,28.478061,28.478061,20361.813615,28.486003,28.486003,0.007941999999999894,5.678529999999924,35.10495965014531,0.44,4.36,6.1744585037231445,44.76
