Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,971.982178,1.357135,1.357135,970.351525,1.359416,1.359416,0.0022809999999999775,1.630914999999984,735.6101955194491,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1008.649414,1.408484,1.408484,1007.06606,1.410698,1.410698,0.0022139999999999382,1.5830099999999558,708.8687011322647,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,994.118408,1.386858,1.386858,991.6034699999999,1.390375,1.390375,0.0035169999999999924,2.5146549999999945,719.2302187004669,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,957.969238,1.336143,1.336143,955.342245,1.339817,1.339817,0.003673999999999955,2.6269099999999677,746.3705217640819,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,974.6521,1.359547,1.359547,972.0761050000001,1.36315,1.36315,0.003603000000000023,2.5761450000000163,733.5950951113736,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,997.791992,1.391492,1.391492,994.91678,1.395513,1.395513,0.004021000000000052,2.8750150000000376,716.582219272812,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20366.833252,28.481578,28.481578,20364.328269999998,28.485081,28.485081,0.0035030000000020323,2.504645000001453,35.10609583499132,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18724.935547,26.186266,26.186266,18723.18019,26.188721,26.188721,0.0024550000000012062,1.7553250000008624,38.18437709466792,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.499756,28.482371,28.482371,20364.895265,28.484615,28.484615,0.002244000000001023,1.6044600000007314,35.10667068794479,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,988.230957,1.378443,1.378443,985.5867450000001,1.382141,1.382141,0.003697999999999979,2.644069999999985,723.5150800887125,0.14,3.94,4.155346870422363,82.94
