Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1779.562012,2.484063,2.484063,1776.105045,2.488898,2.488898,0.004834999999999923,3.4570249999999447,401.78425656346275,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1767.517334,2.467964,2.467964,1764.5942599999998,2.472052,2.472052,0.004088000000000314,2.9229200000002242,404.52219972401133,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1767.498291,2.466824,2.466824,1763.7791599999998,2.472026,2.472026,0.005202000000000151,3.719430000000108,404.5265580401062,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1770.22876,2.47096,2.47096,1766.7363999999998,2.475844,2.475844,0.0048840000000001105,3.492060000000079,403.9026007011659,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1742.223877,2.431805,2.431805,1738.7405750000003,2.436677,2.436677,0.004871999999999765,3.4834799999998323,410.3950183665173,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1741.306152,2.430498,2.430498,1737.80607,2.435393,2.435393,0.004894999999999872,3.4999249999999082,410.611309894459,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20365.519043,28.476839,28.476839,20360.939885,28.483243,28.483243,0.006404000000003407,4.578860000002436,35.10836126937597,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18726.436768,26.184424,26.184424,18721.86316,26.190821,26.190821,0.006396999999999764,4.573854999999831,38.181316011052466,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20364.299561,28.476637,28.476637,20360.795455,28.481538,28.481538,0.004901000000000266,3.5042150000001904,35.11046367483751,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1728.246094,2.410808,2.410808,1723.7277199999999,2.417127,2.417127,0.0063189999999999635,4.518084999999974,413.71422882556215,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1727.7771,2.411385,2.411385,1724.140275,2.416471,2.416471,0.005085999999999924,3.6364899999999456,413.82652889658044,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1742.260986,2.431794,2.431794,1738.73271,2.436729,2.436729,0.004935000000000134,3.5285250000000956,410.3862772256326,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1749.94165,2.442631,2.442631,1746.481165,2.447471,2.447471,0.0048400000000001775,3.460600000000127,408.58505196444696,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1779.381592,2.483754,2.483754,1775.88411,2.488646,2.488646,0.0048920000000003405,3.4977800000002435,401.82499538862265,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1765.374268,2.463373,2.463373,1761.3116949999999,2.469055,2.469055,0.005682000000000187,4.062630000000134,405.0132671357142,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1783.682617,2.488233,2.488233,1779.086595,2.494661,2.494661,0.006427999999999656,4.596019999999754,400.85606776981894,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1795.101807,2.505742,2.505742,1791.60553,2.510632,2.510632,0.004890000000000061,3.4963500000000436,398.30610008404943,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1770.114014,2.470839,2.470839,1766.6498849999998,2.475684,2.475684,0.004845000000000432,3.464175000000309,403.9287833128245,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20364.008057,28.477242,28.477242,20361.228030000002,28.48113,28.48113,0.0038879999999998915,2.7799199999999225,35.110966269443374,0.44,4.36,6.12664794921875,63.5
