Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1680.674072,2.344114,2.344114,1676.0415099999998,2.350593,2.350593,0.0064790000000001235,4.632485000000088,425.42454358753264,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1453.690674,2.028903,2.028903,1450.665645,2.033134,2.033134,0.004230999999999874,3.0251649999999097,491.851542276593,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1510.504395,2.106716,2.106716,1506.30194,2.112594,2.112594,0.00587800000000005,4.202770000000036,473.3518170266562,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1343.924316,1.875505,1.875505,1340.986075,1.879614,1.879614,0.004108999999999918,2.937934999999942,532.0240072209542,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1484.083008,2.071842,2.071842,1481.36703,2.075641,2.075641,0.003798999999999886,2.7162849999999183,481.7789814624708,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1848.542236,2.580037,2.580037,1844.726455,2.585374,2.585374,0.005336999999999925,3.8159549999999465,386.7912704808764,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20366.262695,28.479321,28.479321,20362.714515,28.484283,28.484283,0.0049620000000025755,3.5478300000018415,35.107079325630785,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18727.255127,26.186563,26.186563,18723.392545,26.191965,26.191965,0.005402000000000129,3.862430000000092,38.17964753249661,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20362.257812,28.476023,28.476023,20360.356445,28.478682,28.478682,0.0026589999999977465,1.9011849999983887,35.11398424484303,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1954.916992,2.726841,2.726841,1949.6913149999998,2.73415,2.73415,0.007309000000000232,5.225935000000166,365.74442952102595,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,2376.511475,3.317787,3.317787,2372.217705,3.323792,3.323792,0.006005000000000038,4.293575000000027,300.86116036952865,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1467.781006,2.04703,2.04703,1463.62645,2.052841,2.052841,0.005811000000000011,4.154865000000008,487.1298900021329,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1640.306152,2.289741,2.289741,1637.1648149999999,2.294134,2.294134,0.004393000000000313,3.140995000000224,435.8942378702973,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1611.033936,2.248214,2.248214,1607.47301,2.253194,2.253194,0.0049800000000002065,3.5607000000001476,443.81436295206635,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1520.591553,2.122989,2.122989,1517.937135,2.126701,2.126701,0.0037120000000001596,2.654080000000114,470.2117400227331,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1244.449951,1.737995,1.737995,1242.666425,1.740489,1.740489,0.0024939999999999962,1.7832099999999973,574.5510290915669,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1250.39209,1.744802,1.744802,1247.53343,1.7488,1.7488,0.003997999999999946,2.858569999999961,571.820635877503,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1133.352539,1.581294,1.581294,1130.62521,1.585108,1.585108,0.003813999999999984,2.7270099999999884,630.8716620786606,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20363.765137,28.477094,28.477094,20361.12221,28.48079,28.48079,0.003695999999997923,2.642639999998515,35.11138510927327,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.312256,26.185039,26.185039,18722.302885,26.189248,26.189248,0.004208999999999463,3.009434999999616,38.18360891530118,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20365.125,28.47778,28.47778,20361.612699999998,28.482692,28.482692,0.004912000000000916,3.5120800000006547,35.109040577948825,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1806.653076,2.521035,2.521035,1802.540025,2.526788,2.526788,0.005752999999999897,4.113394999999926,395.7594346685738,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1863.95459,2.600821,2.600821,1859.5870149999998,2.606929,2.606929,0.006108000000000224,4.36722000000016,383.5930359226187,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1392.342773,1.94342,1.94342,1389.5453,1.947333,1.947333,0.003913000000000055,2.7977950000000398,513.5229728376663,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1571.057861,2.19196,2.19196,1567.2513999999999,2.197284,2.197284,0.005323999999999884,3.8066599999999173,455.1073628471536,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1407.867676,1.962948,1.962948,1403.50782,1.969046,1.969046,0.006098000000000159,4.360070000000114,507.8602287620104,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1123.0,1.566688,1.566688,1120.18192,1.570629,1.570629,0.003940999999999972,2.81781499999998,636.6874443455031,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1035.229004,1.444394,1.444394,1032.74171,1.447873,1.447873,0.00347900000000001,2.487485000000007,690.6684388066083,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1997.890869,2.788677,2.788677,1993.904055,2.794253,2.794253,0.005576000000000025,3.986840000000018,357.8774051647162,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1638.531006,2.283691,2.283691,1632.8390650000001,2.291652,2.291652,0.007960999999999885,5.692114999999918,436.3664754477036,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20365.401123,28.477661,28.477661,20361.527615,28.483078,28.483078,0.005416999999997785,3.873154999998416,35.10856455424799,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.365967,26.18555,26.18555,18722.66825,26.189323,26.189323,0.003773000000002469,2.697695000001765,38.18349939114971,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20363.483643,28.476971,28.476971,20361.034265,28.480397,28.480397,0.0034260000000010393,2.449590000000743,35.111870470442966,0.44,4.36,6.1744585037231445,44.76
