Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,958.434814,1.338067,1.338067,956.717905,1.340468,1.340468,0.0024010000000000975,1.7167150000000697,746.0079595981788,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,983.740479,1.371782,1.371782,980.8241300000001,1.375861,1.375861,0.004078999999999944,2.91648499999996,726.8177077828674,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,963.027832,1.343352,1.343352,960.4966800000001,1.346892,1.346892,0.0035399999999998766,2.5310999999999115,742.4499855991701,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,985.887451,1.375293,1.375293,983.3344950000001,1.378864,1.378864,0.003570999999999991,2.5532649999999935,725.2349132497478,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,974.719482,1.359686,1.359686,972.17549,1.363244,1.363244,0.00355799999999995,2.5439699999999643,733.5443819517296,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,985.699707,1.375059,1.375059,983.167185,1.378601,1.378601,0.003541999999999934,2.532529999999953,725.3730471079465,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20365.258057,28.479597,28.479597,20362.911855,28.482878,28.482878,0.0032810000000011996,2.3459150000008577,35.10881119202113,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18726.396729,26.188366,26.188366,18724.681689999998,26.190765,26.190765,0.002399000000000484,1.7152850000003461,38.18139764671008,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.315674,28.480642,28.480642,20363.65903,28.484358,28.484358,0.0037160000000007187,2.656940000000514,35.10698800140772,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,939.595703,1.310819,1.310819,937.235585,1.31412,1.31412,0.0033009999999999984,2.360214999999999,760.965591601902,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,989.172363,1.380062,1.380062,986.7443299999999,1.383458,1.383458,0.0033960000000001767,2.428140000000126,722.8265029883371,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,960.631348,1.339565,1.339565,957.7889749999999,1.34354,1.34354,0.003975000000000062,2.842125000000044,744.3021732411755,0.14,3.94,4.023832321166992,85.59
