Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1846.936768,2.579114,2.579114,1844.06651,2.583128,2.583128,0.00401399999999974,2.870009999999814,387.1274926072618,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1827.780029,2.550896,2.550896,1823.8906399999998,2.556336,2.556336,0.005440000000000111,3.8896000000000797,391.18492852292786,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1850.916504,2.583092,2.583092,1846.9107800000002,2.588694,2.588694,0.005601999999999663,4.005429999999759,386.29511296420964,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1799.232422,2.510962,2.510962,1795.3378300000002,2.516409,2.516409,0.005446999999999758,3.8946049999998267,397.39168284062856,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1781.198242,2.485803,2.485803,1777.3491450000001,2.491186,2.491186,0.005382999999999694,3.848844999999781,401.4151727419008,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1754.204102,2.448033,2.448033,1750.343595,2.453432,2.453432,0.00539899999999971,3.8602849999997924,407.5922517709402,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20366.438965,28.479072,28.479072,20362.53648,28.48453,28.48453,0.005458000000000851,3.9024700000006085,35.10677547649528,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18727.270752,26.186562,26.186562,18723.39183,26.191987,26.191987,0.005425000000002456,3.878875000001756,38.1796156775082,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.786133,28.479512,28.479512,20362.85108,28.485016,28.485016,0.005504000000001952,3.9353600000013955,35.10617705370294,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1835.0271,2.561009,2.561009,1831.121435,2.566471,2.566471,0.005462000000000078,3.9053300000000557,389.6400222100262,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1807.579346,2.522668,2.522668,1803.70762,2.528083,2.528083,0.00541500000000017,3.8717250000001213,395.5566330087952,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1820.946289,2.541206,2.541206,1816.96229,2.546778,2.546778,0.0055720000000003544,3.9839800000002534,392.6529872512896,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1841.895996,2.570529,2.570529,1837.928235,2.576078,2.576078,0.005548999999999804,3.96753499999986,388.18695602398174,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1854.554932,2.588395,2.588395,1850.702425,2.593783,2.593783,0.0053880000000003925,3.8524200000002806,385.53724543975926,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1848.287842,2.581441,2.581441,1845.730315,2.585018,2.585018,0.0035769999999999413,2.557554999999958,386.84450752341206,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1800.193359,2.512397,2.512397,1796.363855,2.517753,2.517753,0.005355999999999916,3.82953999999994,397.1795565322936,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1807.14917,2.522082,2.522082,1803.28863,2.527481,2.527481,0.00539899999999971,3.8602849999997924,395.65079179379535,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1818.226562,2.537564,2.537564,1814.3582600000002,2.542974,2.542974,0.005409999999999915,3.868149999999939,393.2403227095744,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20365.118164,28.478961,28.478961,20362.457115,28.482683,28.482683,0.003721999999999781,2.6612299999998434,35.10905236307079,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18726.339111,26.186615,26.186615,18723.429724999998,26.190684,26.190684,0.0040690000000012105,2.9093350000008655,38.18151512486513,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.642822,28.479337,28.479337,20362.725955,28.484815,28.484815,0.005478000000000094,3.916770000000067,35.106424080244516,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1816.180176,2.534614,2.534614,1812.24901,2.540112,2.540112,0.005498000000000225,3.931070000000161,393.6834073229087,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1811.535889,2.52822,2.52822,1807.6773,2.533617,2.533617,0.005396999999999874,3.85885499999991,394.6927048708335,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1808.848633,2.524333,2.524333,1804.898095,2.529858,2.529858,0.005525000000000002,3.9503750000000015,395.27906700195405,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1849.711426,2.581584,2.581584,1845.8325599999998,2.587009,2.587009,0.005425000000000235,3.878875000000168,386.546782351984,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1844.647217,2.574549,2.574549,1840.802535,2.579926,2.579926,0.005376999999999743,3.8445549999998163,387.6079899780642,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1846.695801,2.577313,2.577313,1842.7787950000002,2.582791,2.582791,0.00547799999999965,3.9167699999997496,387.1780071264699,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1803.26001,2.516637,2.516637,1799.3954549999999,2.522042,2.522042,0.005405000000000104,3.8645750000000745,396.5041070255864,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1801.185547,2.513694,2.513694,1797.29121,2.519141,2.519141,0.005446999999999758,3.8946049999998267,396.96076908394156,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1819.191895,2.538932,2.538932,1815.33638,2.544324,2.544324,0.005392000000000063,3.8552800000000453,393.0316543104432,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20366.407959,28.478992,28.478992,20362.47928,28.484487,28.484487,0.005494999999999806,3.928924999999861,35.10682892336145,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18727.308838,26.186573,26.186573,18723.399695,26.19204,26.19204,0.0054669999999994445,3.908904999999603,38.179538031069235,0.42,3.75,5.6285200119018555,36.92
