Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1768.307861,2.469176,2.469176,1765.46084,2.473158,2.473158,0.003982000000000152,2.8471300000001087,404.3413569375067,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1845.626221,2.577272,2.577272,1842.74948,2.581295,2.581295,0.00402300000000011,2.8764450000000785,387.40238508997646,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1841.313721,2.569916,2.569916,1837.4899400000002,2.575264,2.575264,0.00534800000000013,3.8238200000000933,388.30971161812136,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1838.203369,2.565487,2.565487,1834.3232050000001,2.570914,2.570914,0.005427000000000071,3.8803050000000505,388.9667552883263,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1261.965576,1.760927,1.760927,1259.062805,1.764987,1.764987,0.004060000000000175,2.902900000000125,566.5764689606715,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1383.12207,1.931643,1.931643,1381.124745,1.934436,1.934436,0.0027930000000000454,1.9969950000000325,516.9464181856342,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20365.581055,28.479322,28.479322,20362.71523,28.48333,28.48333,0.004007999999998901,2.8657199999992145,35.10825436647479,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.915039,26.18586,26.18586,18722.889900000002,26.190091,26.190091,0.004230999999997209,3.0251649999980046,38.18237979350474,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.806641,28.47953,28.47953,20362.86395,28.485044,28.485044,0.0055139999999980205,3.9425099999985846,35.10614170415151,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1802.060547,2.516267,2.516267,1799.130905,2.520364,2.520364,0.004096999999999795,2.9293549999998536,396.76802268952844,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1812.01001,2.52862,2.52862,1807.9633000000001,2.53428,2.53428,0.005659999999999776,4.04689999999984,394.5894316555128,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1852.214355,2.586512,2.586512,1849.35608,2.59051,2.59051,0.003998000000000168,2.85857000000012,386.02443506059535,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1943.611328,2.713024,2.713024,1939.81216,2.718338,2.718338,0.005314000000000263,3.799510000000188,367.8719040682603,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1885.160156,2.632623,2.632623,1882.3254450000002,2.636588,2.636588,0.003964999999999996,2.8349749999999974,379.2781200707703,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1899.955811,2.651914,2.651914,1896.11851,2.657281,2.657281,0.005366999999999678,3.8374049999997695,376.32454179219854,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1299.304688,1.814238,1.814238,1297.18017,1.817209,1.817209,0.002971000000000057,2.1242650000000407,550.2943278843923,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1068.545166,1.49167,1.49167,1066.54405,1.494469,1.494469,0.002798999999999996,2.001284999999997,669.1340925499072,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1005.521484,1.403733,1.403733,1003.669095,1.406324,1.406324,0.00259100000000001,1.8525650000000071,711.0738172949868,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20366.437012,28.479059,28.479059,20362.527185,28.484527,28.484527,0.0054680000000004725,3.909620000000338,35.106778842991474,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18726.52124,26.186978,26.186978,18723.68927,26.190939,26.190939,0.003961000000000325,2.8321150000002326,38.18114378194036,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.520264,28.480549,28.480549,20363.592535,28.484644,28.484644,0.004094999999999516,2.9279249999996537,35.10663533739924,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1920.017822,2.679897,2.679897,1916.1263549999999,2.68534,2.68534,0.005443000000000087,3.891745000000062,372.39237667867854,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1221.582764,1.705859,1.705859,1219.689185,1.708507,1.708507,0.0026479999999999837,1.8933199999999883,585.306228174647,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1188.840088,1.660042,1.660042,1186.93003,1.662713,1.662713,0.00267100000000009,1.9097650000000643,601.4265562013921,0.14,3.94,4.023832321166992,85.59
