Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,995.566162,1.388675,1.388675,992.9026250000001,1.3924,1.3924,0.0037249999999999783,2.6633749999999843,718.184312897529,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1050.881836,1.466278,1.466278,1048.38877,1.469765,1.469765,0.003487000000000018,2.493205000000013,680.3809672089527,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1016.265381,1.417778,1.417778,1013.71127,1.42135,1.42135,0.0035719999999999086,2.5539799999999344,703.5563873054925,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,999.378662,1.394246,1.394246,996.88589,1.397732,1.397732,0.003485999999999878,2.492489999999913,715.4445328751676,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,905.855713,1.263505,1.263505,903.4060750000001,1.266931,1.266931,0.003425999999999929,2.449589999999949,789.308926067346,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,992.060303,1.38394,1.38394,989.5170999999999,1.387497,1.387497,0.0035570000000000324,2.5432550000000234,720.7223168166623,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20367.202148,28.481862,28.481862,20364.531329999998,28.485597,28.485597,0.0037349999999989336,2.6705249999992375,35.105459984360735,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.959717,26.186481,26.186481,18723.333915,26.190153,26.190153,0.003671999999998121,2.6254799999986567,38.18228869470978,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20367.56665,28.482549,28.482549,20365.022535,28.486107,28.486107,0.0035580000000017264,2.5439700000012344,35.104831730107534,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1014.382812,1.415124,1.415124,1011.81366,1.418717,1.418717,0.0035929999999999573,2.5689949999999695,704.8621009165917,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1010.884766,1.410382,1.410382,1008.42313,1.413825,1.413825,0.003443000000000085,2.461745000000061,707.3011920331976,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,981.493408,1.369025,1.369025,978.8528749999999,1.372718,1.372718,0.0036930000000001684,2.6404950000001204,728.4817138578276,0.14,3.94,4.023832321166992,85.59
resnet18,Base,986.528076,1.376077,1.376077,983.895055,1.37976,1.37976,0.003683000000000103,2.6333450000000735,724.7639650551617,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,983.396973,1.371649,1.371649,980.729035,1.37538,1.37538,0.003731000000000151,2.667665000000108,727.0715892268665,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,990.073975,1.381161,1.381161,987.530115,1.384719,1.384719,0.00355799999999995,2.5439699999999643,722.1682602050014,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1003.351074,1.399563,1.399563,1000.6875449999999,1.403288,1.403288,0.0037250000000002004,2.6633750000001433,712.6119845066314,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,993.652588,1.386164,1.386164,991.10726,1.389724,1.389724,0.0035600000000000076,2.545400000000005,719.5673906904774,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1006.385254,1.40378,1.40378,1003.7027,1.407532,1.407532,0.0037519999999999776,2.682679999999984,710.4635100307223,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20367.017822,28.481845,28.481845,20364.519175,28.48534,28.48534,0.003495000000000914,2.4989250000006535,35.10577769651052,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.727295,26.186406,26.186406,18723.280290000002,26.189828,26.189828,0.0034219999999969275,2.446729999997803,38.18276260975529,0.42,3.75,5.6285200119018555,36.92
