Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1829.169189,2.554705,2.554705,1826.614075,2.558279,2.558279,0.00357400000000041,2.5554100000002933,390.8878436722892,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1847.744873,2.578831,2.578831,1843.864165,2.584259,2.584259,0.005427999999999766,3.881019999999833,386.95818370158725,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1859.663574,2.59553,2.59553,1855.80395,2.600928,2.600928,0.005398000000000014,3.85957000000001,384.4781443248294,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1830.242432,2.554343,2.554343,1826.355245,2.55978,2.55978,0.005437000000000136,3.8874550000000974,390.6586294246728,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1772.161621,2.473083,2.473083,1768.2543449999998,2.478548,2.478548,0.005465000000000053,3.907475000000038,403.4620722666017,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1815.231934,2.533379,2.533379,1811.3659850000001,2.538786,2.538786,0.00540699999999994,3.866004999999957,393.8890599089692,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20366.443604,28.479053,28.479053,20362.522895000002,28.484537,28.484537,0.005483999999999156,3.9210599999993967,35.10676747999209,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18727.351074,26.186626,26.186626,18723.43759,26.192099,26.192099,0.005472999999998507,3.9131949999989324,38.179451924338935,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.881348,28.479551,28.479551,20362.878965,28.485149,28.485149,0.005597999999999104,4.002569999999359,35.106012932618775,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1828.06665,2.55127,2.55127,1824.15805,2.556737,2.556737,0.005466999999999889,3.9089049999999204,391.1235949739579,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1810.595215,2.526821,2.526821,1806.677015,2.532301,2.532301,0.005479999999999929,3.9181999999999495,394.8977629436627,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1810.172119,2.527679,2.527679,1807.290485,2.531709,2.531709,0.0040300000000002,2.881450000000143,394.9900633730841,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1825.569336,2.54957,2.54957,1822.94255,2.553244,2.553244,0.003673999999999733,2.626909999999809,391.6586381575813,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1835.55249,2.561769,2.561769,1831.664835,2.567206,2.567206,0.005437000000000136,3.8874550000000974,389.528495586634,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1826.967041,2.549784,2.549784,1823.09556,2.555199,2.555199,0.00541500000000017,3.8717250000001213,391.3590031753616,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1800.268799,2.513385,2.513385,1797.070275,2.517858,2.517858,0.004472999999999949,3.1981949999999637,397.1629127812263,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1768.17041,2.467563,2.467563,1764.3075450000001,2.472966,2.472966,0.005402999999999825,3.8631449999998746,404.3727889327138,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1808.240723,2.523605,2.523605,1804.377575,2.529008,2.529008,0.005403000000000269,3.863145000000192,395.4119553362144,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20366.416016,28.479073,28.479073,20362.537195,28.484498,28.484498,0.005424999999998903,3.8788749999992156,35.10681503502094,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18727.296143,26.186591,26.186591,18723.412565,26.192023,26.192023,0.005431999999998993,3.88387999999928,38.179563912500896,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.860596,28.479558,28.479558,20362.88397,28.48512,28.48512,0.005561999999997624,3.9768299999983014,35.10604870248998,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1797.068115,2.507938,2.507938,1793.1756699999999,2.513382,2.513382,0.0054440000000002264,3.892460000000162,397.87028328639616,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1807.609863,2.522695,2.522695,1803.7269250000002,2.528126,2.528126,0.005430999999999742,3.8831649999998152,395.5499550181421,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1816.083252,2.53448,2.53448,1812.1532,2.539977,2.539977,0.005497000000000085,3.930355000000061,393.7044181276333,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1846.590576,2.577268,2.577268,1842.7466200000001,2.582644,2.582644,0.005376000000000047,3.843840000000034,387.2000698437443,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1865.551514,2.603749,2.603749,1861.680535,2.609163,2.609163,0.00541400000000003,3.8710100000000214,383.2646778361758,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1827.889404,2.55293,2.55293,1825.34495,2.556489,2.556489,0.00355900000000009,2.5446850000000643,391.1615212798728,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1784.18457,2.489899,2.489899,1780.277785,2.495363,2.495363,0.0054640000000003575,3.9067600000002556,400.74329305515744,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1752.052002,2.445119,2.445119,1748.2600850000001,2.450422,2.450422,0.005303000000000058,3.7916450000000412,408.0929100185464,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1750.242676,2.44248,2.44248,1746.3732000000002,2.447892,2.447892,0.00541199999999975,3.8695799999998215,408.5147790099937,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20367.343262,28.479151,28.479151,20362.592965,28.485795,28.485795,0.006643999999997874,4.75045999999848,35.10521675814235,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18727.547607,26.186927,26.186927,18723.652805,26.192374,26.192374,0.005447000000000202,3.894605000000144,38.179051256703076,0.42,3.75,5.6285200119018555,36.92
