Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1794.486572,2.505777,2.505777,1791.6305550000002,2.509771,2.509771,0.003994000000000053,2.855710000000038,398.44265828253856,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1832.681641,2.559273,2.559273,1829.8801950000002,2.563191,2.563191,0.003918000000000088,2.801370000000063,390.1386820298267,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1777.117676,2.481522,2.481522,1774.28823,2.485479,2.485479,0.00395700000000021,2.8292550000001504,402.33689060442384,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1709.483398,2.386846,2.386846,1706.5948899999999,2.390886,2.390886,0.004040000000000266,2.88860000000019,418.25501250056595,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1335.044922,1.86445,1.86445,1333.08175,1.867196,1.867196,0.0027460000000001372,1.9633900000000981,535.5625029672223,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1465.510254,2.046504,2.046504,1463.25036,2.049665,2.049665,0.0031609999999999694,2.260114999999978,487.88467910644863,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20364.968994,28.478395,28.478395,20362.052424999998,28.482474,28.482474,0.004079000000000832,2.916485000000595,35.109309531021424,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.785889,26.185806,26.185806,18722.85129,26.18991,26.18991,0.004104000000001662,2.9343600000011882,38.182643133819504,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20365.536377,28.479222,28.479222,20362.64373,28.483268,28.483268,0.004045999999998884,2.892889999999202,35.10833138711198,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1785.979248,2.493929,2.493929,1783.159235,2.497873,2.497873,0.0039439999999997255,2.8199599999998037,400.3405979104635,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1634.003174,2.281375,2.281375,1631.183125,2.285319,2.285319,0.0039439999999997255,2.8199599999998037,437.5756494093567,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1726.275879,2.410561,2.410561,1723.551115,2.414372,2.414372,0.003811000000000231,2.724865000000165,414.18640479074895,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1676.742676,2.341106,2.341106,1673.89079,2.345095,2.345095,0.003989000000000242,2.8521350000001733,426.42202064403114,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1850.87793,2.583207,2.583207,1846.9930049999998,2.58864,2.58864,0.005433000000000021,3.884595000000015,386.3031637099914,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1722.400879,2.404935,2.404935,1719.528525,2.408952,2.408952,0.004017000000000159,2.872155000000114,415.1182275377833,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1167.47876,1.628814,1.628814,1164.60201,1.632837,1.632837,0.00402300000000011,2.8764450000000785,612.4308419966459,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1068.535889,1.491804,1.491804,1066.63986,1.494456,1.494456,0.0026520000000000987,1.8961800000000706,669.1399019541964,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1052.168701,1.467706,1.467706,1049.40979,1.471565,1.471565,0.003859000000000057,2.7591850000000404,679.5488207551233,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20363.188721,28.477635,28.477635,20361.509025,28.479984,28.479984,0.002349000000002377,1.6795350000016995,35.11237899900422,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18726.200195,26.186457,26.186457,18723.316755,26.19049,26.19049,0.004032999999999731,2.883594999999808,38.18179836563474,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.469727,28.480469,28.480469,20363.535335,28.484573,28.484573,0.004104000000001662,2.9343600000011882,35.106722450387096,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1848.026367,2.580521,2.580521,1845.072515,2.584652,2.584652,0.004131000000000107,2.9536650000000764,386.89924168165294,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1231.756104,1.718675,1.718675,1228.852625,1.722736,1.722736,0.004061000000000092,2.903615000000066,580.4720574780281,0.14,3.66,3.8280601501464844,69.37
