Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1048.605713,1.463171,1.463171,1046.167265,1.466581,1.466581,0.003409999999999913,2.438149999999938,681.8578147494796,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1064.683105,1.485432,1.485432,1062.0838800000001,1.489067,1.489067,0.003634999999999833,2.5990249999998802,671.5613281005337,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1025.171387,1.429989,1.429989,1022.442135,1.433806,1.433806,0.0038169999999999593,2.729154999999971,697.4443581500387,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1042.455811,1.454111,1.454111,1039.689365,1.45798,1.45798,0.0038690000000001223,2.7663350000000877,685.8803917205081,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1042.411621,1.454098,1.454098,1039.68007,1.457918,1.457918,0.0038200000000001566,2.731300000000112,685.9094676190299,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1048.87793,1.462935,1.462935,1045.998525,1.466962,1.466962,0.004027000000000003,2.8793050000000022,681.6808510786378,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20363.174805,28.476141,28.476141,20360.440814999998,28.479965,28.479965,0.003824000000001604,2.734160000001147,35.112402994470095,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18724.737793,26.184047,26.184047,18721.593605,26.188444,26.188444,0.004397000000000872,3.143855000000624,38.184780364042986,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20363.335205,28.47646,28.47646,20360.6689,28.480189,28.480189,0.0037289999999998713,2.666234999999908,35.112126417505486,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1064.822998,1.485068,1.485068,1061.8236200000001,1.489263,1.489263,0.004194999999999949,2.999424999999963,671.4731005462373,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1073.088135,1.497078,1.497078,1070.41077,1.500823,1.500823,0.0037450000000001094,2.677675000000078,666.3012819538817,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1075.270508,1.50013,1.50013,1072.59295,1.503875,1.503875,0.0037450000000001094,2.677675000000078,664.9489544076661,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1024.253662,1.428925,1.428925,1021.681375,1.432523,1.432523,0.00359799999999999,2.5725699999999927,698.0692640179205,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1049.965088,1.464842,1.464842,1047.36203,1.468483,1.468483,0.0036410000000000053,2.603315000000004,680.9750230476235,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1049.137939,1.463502,1.463502,1046.40393,1.467326,1.467326,0.0038239999999998275,2.7341599999998767,681.511909369622,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1071.0271,1.493981,1.493981,1068.1964150000001,1.49794,1.49794,0.003959000000000046,2.8306850000000328,667.5834813143383,0.14,2.84,3.390448570251465,67.41
