Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1312.516113,1.831591,1.831591,1309.587565,1.835687,1.835687,0.0040960000000000996,2.928640000000071,544.7552170355718,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1311.87915,1.83088,1.83088,1309.0792000000001,1.834796,1.834796,0.003916000000000031,2.7999400000000216,545.0197146589303,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1290.026855,1.800245,1.800245,1287.175175,1.804233,1.804233,0.0039879999999998805,2.851419999999915,554.2520275672865,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1300.752197,1.815793,1.815793,1298.291995,1.819234,1.819234,0.0034410000000000274,2.4603150000000196,549.6819468374114,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1316.253662,1.83809,1.83809,1314.23435,1.840914,1.840914,0.0028239999999999377,2.0191599999999554,543.2083652580941,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1329.067139,1.854977,1.854977,1326.308555,1.858835,1.858835,0.003857999999999917,2.7584699999999405,537.9713176401091,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.988281,28.475757,28.475757,20360.166255,28.479704,28.479704,0.003947000000000145,2.8221050000001036,35.11272462240435,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18723.165771,26.18347,26.18347,18721.18105,26.186246,26.186246,0.002776000000000778,1.9848400000005562,38.18798640919217,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20362.02417,28.47562,28.47562,20360.0683,28.478355,28.478355,0.002735000000001264,1.955525000000904,35.11438715672637,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1308.768066,1.827624,1.827624,1306.75116,1.830445,1.830445,0.0028210000000001845,2.017015000000132,546.315285782653,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1262.383545,1.761603,1.761603,1259.546145,1.765571,1.765571,0.0039679999999999715,2.8371199999999797,566.3888782707478,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1319.274658,1.841959,1.841959,1317.000685,1.845139,1.845139,0.0031800000000001827,2.2737000000001304,541.9644769679188,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1284.800781,1.792934,1.792934,1281.9478100000001,1.796924,1.796924,0.003989999999999938,2.8528499999999557,556.5065110277202,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1294.219238,1.807346,1.807346,1292.2523899999999,1.810097,1.810097,0.00275100000000017,1.9669650000001215,552.45663099933,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1292.588135,1.803837,1.803837,1289.743455,1.807816,1.807816,0.003979000000000177,2.8449850000001264,553.1537700522061,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1282.973877,1.790388,1.790388,1280.12742,1.794369,1.794369,0.003981000000000012,2.846415000000009,557.2989542638988,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1300.113281,1.815081,1.815081,1297.782915,1.81834,1.81834,0.003259000000000123,2.330185000000088,549.9520775989981,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1317.726807,1.837475,1.837475,1313.794625,1.842975,1.842975,0.00550000000000006,3.932500000000043,542.6010886336928,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.813477,28.475546,28.475546,20360.01539,28.479459,28.479459,0.003912999999997169,2.7977949999979757,35.11302604660204,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18724.014893,26.183438,26.183438,18721.15817,26.187433,26.187433,0.003994999999999749,2.8564249999998204,38.18625460863652,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20362.905762,28.475647,28.475647,20360.087605,28.479588,28.479588,0.0039410000000010825,2.817815000000774,35.112866913831574,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1318.343262,1.841097,1.841097,1316.384355,1.843837,1.843837,0.0027399999999999647,1.9590999999999748,542.3473693151093,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1311.317139,1.829902,1.829902,1308.3799299999998,1.83401,1.83401,0.0041080000000000005,2.9372200000000004,545.2533019931801,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1305.757568,1.82241,1.82241,1303.02315,1.826234,1.826234,0.0038239999999998275,2.7341599999998767,547.574846604297,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1289.874023,1.800054,1.800054,1287.03861,1.80402,1.80402,0.003965999999999914,2.8356899999999383,554.3176986672287,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1306.294678,1.824274,1.824274,1304.35591,1.826986,1.826986,0.0027120000000000477,1.939080000000034,547.3496999120439,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1295.845459,1.809709,1.809709,1293.941935,1.812371,1.812371,0.002661999999999942,1.9033299999999587,551.7633256605794,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1320.570312,1.843053,1.843053,1317.782895,1.846951,1.846951,0.003897999999999957,2.7870699999999693,541.4327381910733,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1313.457764,1.834405,1.834405,1311.599575,1.837004,1.837004,0.002599000000000018,1.8582850000000128,544.3646682802661,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1311.923096,1.832273,1.832273,1310.0751950000001,1.834857,1.834857,0.0025839999999999197,1.8475599999999426,545.0014579208231,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.893311,28.475714,28.475714,20360.13551,28.479571,28.479571,0.0038569999999999993,2.7577549999999995,35.1128883837818,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18723.206055,26.183573,26.183573,18721.254695,26.186302,26.186302,0.002729000000002202,1.9512350000015743,38.18790424565458,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20362.75,28.475544,28.475544,20360.01396,28.479371,28.479371,0.003827000000001135,2.7363050000008116,35.113135504782015,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1317.668213,1.838847,1.838847,1314.7756049999998,1.842893,1.842893,0.004045999999999994,2.892889999999996,542.6252169900375,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1313.54541,1.834412,1.834412,1311.60458,1.837126,1.837126,0.0027140000000001052,1.9405100000000752,544.3283456793473,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1333.929199,1.862933,1.862933,1331.997095,1.865635,1.865635,0.002701999999999982,1.9319299999999873,536.0104573286277,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1322.548584,1.847126,1.847126,1320.69509,1.849718,1.849718,0.0025919999999999277,1.8532799999999483,540.6228615341363,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1326.859619,1.853186,1.853186,1325.02799,1.855748,1.855748,0.002561999999999953,1.8318299999999665,538.8663501108476,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1290.378906,1.800363,1.800363,1287.259545,1.804726,1.804726,0.004363000000000117,3.1195450000000835,554.1008123082261,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1336.839844,1.865783,1.865783,1334.034845,1.869706,1.869706,0.003923000000000121,2.804945000000086,534.8434243705859,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1318.739746,1.840175,1.840175,1315.725125,1.844391,1.844391,0.0042159999999999975,3.0144399999999982,542.1843105652478,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1322.850586,1.846076,1.846076,1319.94434,1.850141,1.850141,0.004064999999999985,2.9064749999999897,540.4994392919292,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.085938,28.475713,28.475713,20360.134794999998,28.478442,28.478442,0.002729000000002202,1.9512350000015743,35.11428063790151,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18724.375732,26.183593,26.183593,18721.268995,26.187938,26.187938,0.004345000000000709,3.1066750000005072,38.18551871815215,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20363.258301,28.475918,28.475918,20360.28137,28.480082,28.480082,0.00416399999999939,2.977259999999564,35.11225902216679,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1331.057861,1.858869,1.858869,1329.091335,1.861619,1.861619,0.002749999999999808,1.9662499999998628,537.1667310261278,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1310.339111,1.828513,1.828513,1307.3867950000001,1.832642,1.832642,0.004129000000000049,2.9522350000000355,545.6602752659498,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1326.206299,1.850887,1.850887,1323.384205,1.854834,1.854834,0.003947000000000145,2.8221050000001036,539.1318081803199,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1330.266846,1.856464,1.856464,1327.37176,1.860513,1.860513,0.004049000000000191,2.895035000000137,537.4861458435536,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1343.503418,1.876242,1.876242,1341.51303,1.879026,1.879026,0.0027840000000001197,1.9905600000000856,532.1906817806101,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1304.354492,1.820359,1.820359,1301.556685,1.824272,1.824272,0.003912999999999833,2.797794999999881,548.1638652569611,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1311.881836,1.831878,1.831878,1309.79277,1.8348,1.8348,0.002922000000000091,2.0892300000000654,545.0185987634941,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1288.605225,1.799569,1.799569,1286.691835,1.802245,1.802245,0.0026760000000001227,1.9133400000000877,554.86349591668,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1310.853027,1.829532,1.829532,1308.11538,1.833361,1.833361,0.0038290000000000823,2.737735000000059,545.446350790629,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20361.697998,28.475283,28.475283,20359.827345,28.477899,28.477899,0.0026159999999997297,1.8704399999998067,35.114949650575795,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18724.062012,26.183584,26.183584,18721.26256,26.187499,26.187499,0.003914999999999225,2.7992249999994456,38.18615851313493,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20361.681885,28.47508,28.47508,20359.6822,28.477877,28.477877,0.0027970000000010486,1.9998550000007498,35.11497743841704,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1333.752686,1.860999,1.860999,1330.614285,1.865388,1.865388,0.004388999999999976,3.1381349999999832,536.0813946282092,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1313.224609,1.832559,1.832559,1310.279685,1.836678,1.836678,0.004118999999999984,2.945084999999988,544.4613168987606,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1325.132812,1.849473,1.849473,1322.373195,1.853333,1.853333,0.0038599999999999746,2.759899999999982,539.5685576005494,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1339.087646,1.868957,1.868957,1336.304255,1.87285,1.87285,0.0038929999999999243,2.783494999999946,533.9456324130706,0.14,10.97,10.183093070983887,87.83
