Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,941.47876,1.314465,1.314465,939.842475,1.316754,1.316754,0.0022889999999999855,1.6366349999999896,759.4435800123628,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,940.223877,1.311552,1.311552,937.75968,1.314998,1.314998,0.003445999999999838,2.4638899999998842,760.4571820504831,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,983.957031,1.372733,1.372733,981.504095,1.376164,1.376164,0.003430999999999962,2.4531649999999727,726.6577477202864,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,975.938965,1.361008,1.361008,973.12072,1.36495,1.36495,0.003942000000000112,2.81853000000008,732.6277827220475,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,970.392822,1.353634,1.353634,967.84831,1.357193,1.357193,0.00355900000000009,2.5446850000000643,736.8150132503762,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,952.041992,1.327898,1.327898,949.44707,1.331527,1.331527,0.0036289999999998823,2.5947349999999156,751.0172933632532,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20367.698486,28.482206,28.482206,20364.77729,28.486292,28.486292,0.0040859999999973695,2.921489999998119,35.10460450361951,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18726.539062,26.188788,26.188788,18724.98342,26.190964,26.190964,0.002176000000002176,1.555840000001556,38.18110744504211,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20367.902588,28.482925,28.482925,20365.291375,28.486577,28.486577,0.0036519999999988784,2.611179999999198,35.104252728567694,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,977.631592,1.365084,1.365084,976.0350599999999,1.367317,1.367317,0.0022329999999999295,1.5965949999999496,731.3593442058079,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,941.47583,1.313268,1.313268,938.98662,1.316749,1.316749,0.0034809999999998453,2.4889149999998894,759.4459435034036,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,972.426514,1.356438,1.356438,969.85317,1.360037,1.360037,0.003598999999999908,2.573284999999934,735.2740692547592,0.14,3.94,4.023832321166992,85.59
resnet18,Base,951.072021,1.326722,1.326722,948.60623,1.330171,1.330171,0.0034490000000000354,2.4660350000000255,751.7832343004022,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,969.651611,1.352584,1.352584,967.09756,1.356156,1.356156,0.0035719999999999086,2.5539799999999344,737.37824171985,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,971.48999,1.354623,1.354623,968.555445,1.358727,1.358727,0.0041040000000001076,2.934360000000077,735.9828792471654,0.14,10.98,10.13451862335205,99.3
