Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,907.952637,1.267614,1.267614,906.34401,1.269864,1.269864,0.00225,1.608750000000061,787.4860106827357,0.14,10.97,10.183093070983888,87.83
resnet18,Pruning,903.897217,1.260827,1.260827,901.491305,1.264192,1.264192,0.003365,2.4059750000000446,791.0191408410985,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,915.589844,1.277143,1.277143,913.157245,1.280545,1.280545,0.0034020000000001,2.4324300000000907,780.9173558285996,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,825.468262,1.151209,1.151209,823.114435,1.154501,1.154501,0.003292,2.353780000000052,866.1750341165751,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,837.732666,1.168253,1.168253,835.300895,1.171654,1.171654,0.0034009999999999,2.4317149999999907,853.4942339230687,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,811.021484,1.130992,1.130992,808.65928,1.134296,1.134296,0.0033039999999999,2.362359999999981,881.60426586184,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20365.978271,28.480471,28.480471,20363.536765,28.483886,28.483886,0.0034149999999968,2.4417249999977386,35.10756961859866,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.94751,26.186698,26.186698,18723.48907,26.190136,26.190136,0.0034379999999991,2.4581699999994022,38.18231358483606,0.42,3.75,5.628520011901856,36.92
efficientnet_b0,Distillation,20365.731934,28.480106,28.480106,20363.27579,28.483541,28.483541,0.0034349999999996,2.456024999999737,35.107994267877416,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,903.152832,1.259758,1.259758,900.72697,1.263151,1.263151,0.0033929999999999,2.425994999999985,791.6711044537809,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,884.648438,1.233966,1.233966,882.2856899999999,1.237271,1.237271,0.0033050000000001,2.363075000000081,808.2306702722059,0.14,3.66,3.828060150146485,69.37
mnasnet1_0,Distillation,886.608887,1.236624,1.236624,884.18616,1.240012,1.240012,0.0033879999999999,2.4224199999999616,806.4435293665176,0.14,3.94,4.023832321166992,85.59
resnet18,Base,906.516602,1.264516,1.264516,904.12894,1.267855,1.267855,0.0033389999999999,2.3873849999999863,788.7334864276429,0.14,10.97,10.183093070983888,87.83
resnet18,Pruning,900.794678,1.256413,1.256413,898.335295,1.259853,1.259853,0.0034399999999998,2.45959999999992,793.7435882586332,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,906.267578,1.264173,1.264173,903.883695,1.267507,1.267507,0.0033339999999999,2.383809999999963,788.950214436558,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,835.852783,1.165638,1.165638,833.43117,1.169025,1.169025,0.003387,2.4217050000000206,855.4137936034125,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,839.018555,1.170086,1.170086,836.61149,1.173453,1.173453,0.0033670000000001,2.407405000000086,852.1861593394677,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,838.366943,1.16906,1.16906,835.8779,1.172541,1.172541,0.003481,2.4889150000000484,852.848512181855,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20366.069092,28.480533,28.480533,20363.581095,28.484013,28.484013,0.0034799999999997,2.488199999999789,35.10741305895202,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.97876,26.186623,26.186623,18723.435445,26.19018,26.19018,0.0035570000000006,2.5432550000004994,38.18224986601447,0.42,3.75,5.628520011901856,36.92
efficientnet_b0,Distillation,20365.135498,28.479275,28.479275,20362.681625,28.482707,28.482707,0.0034320000000001,2.4538800000000727,35.10902247963035,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,902.398438,1.258661,1.258661,899.942615,1.262096,1.262096,0.003435,2.456025000000055,792.3329317642281,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,887.17749,1.237474,1.237474,884.79391,1.240808,1.240808,0.0033339999999999,2.383809999999963,805.9266697580435,0.14,3.66,3.828060150146485,69.37
mnasnet1_0,Distillation,888.203613,1.238808,1.238808,885.74772,1.242243,1.242243,0.003435,2.456025000000055,804.995599584439,0.14,3.94,4.023832321166992,85.59
resnet18,Base,896.275391,1.250196,1.250196,893.8901400000001,1.253532,1.253532,0.003336,2.385240000000004,797.7458794246868,0.14,10.97,10.183093070983888,87.83
resnet18,Pruning,879.103027,1.226254,1.226254,876.77161,1.229515,1.229515,0.0032609999999999,2.33161499999997,813.3290160994975,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,902.949951,1.259616,1.259616,900.62544,1.262867,1.262867,0.0032509999999998,2.324464999999924,791.8489825578383,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,827.929688,1.154556,1.154556,825.50754,1.157944,1.157944,0.0033880000000001,2.4224200000001206,863.5999051165803,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,835.930908,1.165301,1.165301,833.190215,1.169134,1.169134,0.0038329999999999,2.740594999999982,855.3338477586236,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,825.601807,1.151398,1.151398,823.24957,1.154688,1.154688,0.00329,2.352350000000011,866.0349262050489,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20365.946777,28.480473,28.480473,20363.538195,28.483842,28.483842,0.0033689999999992,2.408834999999492,35.10762390911653,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.595215,26.186258,26.186258,18723.17447,26.189644,26.189644,0.0033860000000025,2.420990000001826,38.18303192986114,0.42,3.75,5.628520011901856,36.92
efficientnet_b0,Distillation,20365.079834,28.479178,28.479178,20362.61227,28.482629,28.482629,0.0034509999999983,2.4674649999987963,35.10911844334094,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,889.339355,1.240465,1.240465,886.932475,1.243831,1.243831,0.0033659999999999,2.406689999999986,803.9675698372755,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,871.807617,1.215963,1.215963,869.4135449999999,1.219311,1.219311,0.0033480000000001,2.393820000000092,820.1350688588902,0.14,3.66,3.828060150146485,69.37
mnasnet1_0,Distillation,891.696289,1.243758,1.243758,889.28697,1.247128,1.247128,0.00337,2.409550000000068,801.8425206208299,0.14,3.94,4.023832321166992,85.59
resnet18,Base,891.772461,1.243931,1.243931,889.4106649999999,1.247234,1.247234,0.003303,2.36164500000004,801.7740301132712,0.14,10.97,10.183093070983888,87.83
resnet18,Pruning,902.241699,1.258605,1.258605,899.902575,1.261877,1.261877,0.0032719999999999,2.3394799999999583,792.4705772216807,0.14,9.62,9.323553085327148,67.69
