Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1072.497803,1.497693,1.497693,1070.850495,1.499997,1.499997,0.0023040000000000838,1.6473600000000599,666.6680323260299,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1093.260254,1.525512,1.525512,1090.74108,1.529035,1.529035,0.003522999999999943,2.518944999999959,654.0071290289494,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1053.686768,1.47002,1.47002,1051.0643,1.473688,1.473688,0.0036680000000000046,2.622620000000003,678.5697815652934,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1064.9021,1.485925,1.485925,1062.436375,1.489374,1.489374,0.0034490000000000354,2.4660350000000255,671.4232228483726,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1040.455078,1.450921,1.450921,1037.4085149999999,1.455182,1.455182,0.00426100000000007,3.0466150000000503,687.1992987668422,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1064.958984,1.485716,1.485716,1062.28694,1.489453,1.489453,0.0037369999999998793,2.6719549999999135,671.3873592712937,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.412842,28.47514,28.47514,20359.7251,28.478899,28.478899,0.0037589999999987356,2.687684999999096,35.113716903196455,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18723.56958,26.183058,26.183058,18720.886469999998,26.186811,26.186811,0.0037529999999996733,2.6833949999997664,38.18716281342759,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20362.175781,28.474979,28.474979,20359.609985,28.478568,28.478568,0.003588999999998066,2.566134999998617,35.11412570493416,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1072.440674,1.497154,1.497154,1070.46511,1.499917,1.499917,0.002762999999999849,1.975544999999892,666.703545785135,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1113.83374,1.553942,1.553942,1111.06853,1.557809,1.557809,0.003867000000000065,2.7649050000000464,641.9270437973984,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1077.104492,1.50421,1.50421,1075.51015,1.50644,1.50644,0.0022299999999999542,1.5944499999999673,663.8167469456622,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1045.294434,1.458023,1.458023,1042.486445,1.46195,1.46195,0.003927000000000014,2.80780500000001,684.0178008639431,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1107.600098,1.546611,1.546611,1105.826865,1.549091,1.549091,0.0024800000000000377,1.773200000000027,645.5398489861817,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1037.714111,1.447858,1.447858,1035.21847,1.451348,1.451348,0.003489999999999993,2.495349999999995,689.0144331862131,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1062.259521,1.48243,1.48243,1059.93745,1.485678,1.485678,0.0032480000000001397,2.3223200000001,673.0935198650011,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1051.930664,1.4687,1.4687,1050.1205,1.471232,1.471232,0.0025320000000002008,1.8103800000001435,679.7025930218534,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1006.734863,1.404204,1.404204,1004.00586,1.408021,1.408021,0.0038169999999999593,2.729154999999971,710.2167872376542,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.355469,28.475374,28.475374,20359.89241,28.478819,28.478819,0.003445000000002807,2.463175000002007,35.11381583965216,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18722.522217,26.18281,26.18281,18720.70915,26.185346,26.185346,0.0025359999999992056,1.813239999999432,38.18929905452492,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20361.669189,28.475073,28.475073,20359.677195,28.477859,28.477859,0.0027860000000003993,1.9919900000002855,35.11499933346648,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1105.007568,1.543138,1.543138,1103.34367,1.545465,1.545465,0.00232700000000019,1.6638050000001359,647.054391938789,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1100.131104,1.534937,1.534937,1097.479955,1.538645,1.538645,0.0037080000000000446,2.651220000000032,649.9225386868072,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1085.124756,1.515295,1.515295,1083.435925,1.517657,1.517657,0.0023619999999999752,1.6888299999999823,658.9104119563558,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1057.061035,1.474942,1.474942,1054.5835299999999,1.478407,1.478407,0.0034650000000000514,2.4774750000000365,676.4037045410533,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1080.290771,1.508589,1.508589,1078.641135,1.510896,1.510896,0.002307000000000059,1.6495050000000422,661.8588431873219,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1054.659912,1.472801,1.472801,1053.052715,1.475049,1.475049,0.0022480000000000278,1.6073200000000198,677.9436592447253,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1058.311035,1.476234,1.476234,1055.50731,1.480155,1.480155,0.003921000000000063,2.8035150000000453,675.6047856951619,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1056.92334,1.47591,1.47591,1055.27565,1.478214,1.478214,0.0023039999999998617,1.6473599999999011,676.4918257931554,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1063.186768,1.484376,1.484376,1061.32884,1.486975,1.486975,0.002599000000000018,1.8582850000000128,672.506488530715,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.534668,28.475312,28.475312,20359.84808,28.479069,28.479069,0.0037570000000002324,2.686255000000166,35.113506823078964,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18722.785889,26.183132,26.183132,18720.93938,26.185715,26.185715,0.0025829999999977815,1.8468449999984138,38.188761236653164,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20361.645752,28.475182,28.475182,20359.75513,28.477826,28.477826,0.0026440000000000907,1.8904600000000649,35.11503975211679,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1088.86084,1.519166,1.519166,1086.20369,1.522882,1.522882,0.0037160000000000526,2.656940000000038,656.649567818051,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1090.14209,1.521144,1.521144,1087.61796,1.524674,1.524674,0.003530000000000033,2.5239500000000237,655.8778039659031,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1082.275391,1.510018,1.510018,1079.66287,1.513672,1.513672,0.003653999999999824,2.612609999999874,660.6451610614142,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1046.134277,1.459614,1.459614,1043.62401,1.463125,1.463125,0.003511000000000042,2.51036500000003,683.4686671871664,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1074.763672,1.501064,1.501064,1073.26076,1.503166,1.503166,0.0021020000000000483,1.5029300000000345,665.2625303844471,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1028.198242,1.434572,1.434572,1025.7189799999999,1.438039,1.438039,0.003467000000000109,2.478905000000078,695.3911909139406,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,1058.416504,1.47649,1.47649,1055.69035,1.480303,1.480303,0.0038129999999998443,2.7262949999998884,675.5374630855151,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,1047.723877,1.461431,1.461431,1044.923165,1.465348,1.465348,0.00391700000000017,2.8006550000001216,682.4317128739065,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1057.852539,1.476055,1.476055,1055.3793249999999,1.479514,1.479514,0.003459000000000101,2.473185000000072,675.8976073129224,0.14,2.84,3.4067869186401367,79.44
