Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,2052.732422,2.866535,2.866535,2049.572525,2.870954,2.870954,0.004418999999999951,3.159584999999965,348.31622102181615,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,2535.073975,3.53899,3.53899,2530.37785,3.545558,3.545558,0.006568000000000129,4.696120000000093,282.0430516233752,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,2271.287354,3.169486,3.169486,2266.18249,3.176626,3.176626,0.007140000000000146,5.105100000000105,314.79944567154934,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,2146.648438,2.997294,2.997294,2143.06521,3.002306,3.002306,0.005011999999999794,3.583579999999853,333.0773625261874,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,2651.314453,3.700939,3.700939,2646.171385,3.708132,3.708132,0.007193000000000005,5.1429950000000035,269.67755529374017,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,2317.755127,3.235006,3.235006,2313.02929,3.241616,3.241616,0.006610000000000227,4.726150000000162,308.48815376172394,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20365.883545,28.478912,28.478912,20362.42208,28.483753,28.483753,0.004840999999998985,3.4613149999992743,35.10773291127547,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18727.941895,26.186375,26.186375,18723.258125,26.192926,26.192926,0.006550999999998197,4.683964999998711,38.1782474555248,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20366.67627,28.478984,28.478984,20362.473560000002,28.484862,28.484862,0.005877999999999162,4.202769999999401,35.10636642529596,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,2541.721924,3.546921,3.546921,2536.048515,3.554856,3.554856,0.007934999999999803,5.673524999999859,281.30535966530067,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,2660.194092,3.714662,3.714662,2655.98333,3.720551,3.720551,0.005888999999999811,4.210634999999865,268.7773806243007,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,2672.3125,3.730783,3.730783,2667.509845,3.7375,3.7375,0.00671699999999964,4.802654999999742,267.55852842809367,0.14,3.94,4.023832321166992,85.59
resnet18,Base,2070.781006,2.889554,2.889554,2066.03111,2.896197,2.896197,0.0066429999999999545,4.749744999999967,345.2803545755528,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,2080.782471,2.903661,2.903661,2076.117615,2.910185,2.910185,0.006523999999999752,4.664659999999823,343.6207340099224,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,2354.688477,3.286265,3.286265,2349.6794750000004,3.293271,3.293271,0.007005999999999624,5.009289999999731,303.6495090471367,0.14,10.98,10.13451862335205,99.3
