Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total kernel run time,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,Total Overhead,FPS,Peak Memory,Peak Memory Accelerator,Weights Memory,Accuracy
resnet18,Base,1408.331543,1.96618,1.96618,1405.8187,1.969694,1.969694,0.003514000000000017,2.5125100000000122,507.69295309321916,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1520.121826,2.121154,2.121154,1516.6251100000002,2.126045,2.126045,0.004890999999999757,3.497064999999826,470.35703834437277,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,2440.695557,3.407558,3.407558,2436.40397,3.41356,3.41356,0.006002000000000063,4.2914300000000445,292.9492774915557,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,2677.118652,3.734148,3.734148,2669.9158199999997,3.744222,3.744222,0.01007400000000036,7.202910000000258,267.07818850906875,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,2402.450684,3.353843,3.353843,2397.997745,3.360071,3.360071,0.006228000000000122,4.4530200000000875,297.61276881219845,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,1423.017334,1.985547,1.985547,1419.666105,1.990234,1.990234,0.004687000000000108,3.351205000000077,502.4534718703575,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20362.864502,28.475209,28.475209,20359.774435,28.479531,28.479531,0.004322000000001935,3.090230000001384,35.112938060839824,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18733.376953,26.192338,26.192338,18727.52167,26.200527,26.200527,0.008189000000001556,5.855135000001113,38.167170916053045,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20363.274414,28.47609,28.47609,20360.40435,28.480104,28.480104,0.004014000000001516,2.870010000001084,35.11223123862775,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1275.712891,1.78037,1.78037,1272.96455,1.784214,1.784214,0.0038439999999999586,2.7484599999999704,560.4709375003094,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1033.497559,1.442016,1.442016,1031.04144,1.445451,1.445451,0.003435000000000077,2.456025000000055,691.8255333779653,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1031.064453,1.438477,1.438477,1028.511055,1.442048,1.442048,0.003570999999999991,2.5532649999999935,693.4581033412856,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1940.102295,2.708493,2.708493,1936.572495,2.71343,2.71343,0.004936999999999969,3.529954999999978,368.5372682887322,0.14,10.97,10.183093070983887,87.83
resnet18,Pruning,1733.153076,2.419971,2.419971,1730.279265,2.42399,2.42399,0.004018999999999995,2.8735849999999963,412.54290224044814,0.14,9.62,9.323553085327148,67.69
resnet18,Distillation,1429.628662,1.994899,1.994899,1426.352785,1.999481,1.999481,0.004582000000000086,3.2761300000000615,500.12987218634817,0.14,10.98,10.13451862335205,99.3
mobilenet_v2,Base,2226.405273,3.107876,3.107876,2222.13134,3.113854,3.113854,0.005977999999999817,4.274269999999869,321.14548445915403,0.14,2.84,3.390448570251465,67.41
mobilenet_v2,Pruning,2418.57666,3.376731,3.376731,2414.362665,3.382625,3.382625,0.005894000000000066,4.2142100000000475,295.628421387313,0.14,2.58,3.3179101943969727,69.09
mobilenet_v2,Distillation,2748.315674,3.835256,3.835256,2742.20804,3.843798,3.843798,0.008541999999999828,6.107529999999876,260.15934296199777,0.14,2.84,3.4067869186401367,79.44
efficientnet_b0,Base,20364.112305,28.476977,28.476977,20361.038555000003,28.481276,28.481276,0.004298999999999609,3.07378499999972,35.110786529322276,0.44,4.36,6.12664794921875,63.5
efficientnet_b0,Pruning,18725.595947,26.185176,26.185176,18722.40084,26.189645,26.189645,0.004469000000000278,3.195335000000199,38.18303043725287,0.42,3.75,5.6285200119018555,36.92
efficientnet_b0,Distillation,20367.04248,28.479629,28.479629,20362.934735,28.485374,28.485374,0.005745000000000999,4.1076750000007145,35.10573519459758,0.44,4.36,6.1744585037231445,44.76
mnasnet1_0,Base,1356.959717,1.894035,1.894035,1354.235025,1.897846,1.897846,0.003811000000000009,2.7248650000000065,526.9132097603749,0.14,3.94,4.155346870422363,82.94
mnasnet1_0,Pruning,1144.607422,1.596986,1.596986,1141.84499,1.60085,1.60085,0.0038640000000000896,2.762760000000064,624.6683240535548,0.14,3.66,3.8280601501464844,69.37
mnasnet1_0,Distillation,1257.432617,1.754523,1.754523,1254.483945,1.758647,1.758647,0.0041240000000000165,2.948660000000012,568.6189385685389,0.14,3.94,4.023832321166992,85.59
resnet18,Base,1047.388184,1.460851,1.460851,1044.508465,1.464879,1.464879,0.004028000000000143,2.880020000000102,682.6504355523645,0.14,10.97,10.183093070983887,87.83
