Model,Optimization,Total 'kernel' inference time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total sequential executor time,Avg. sequential executor time per batch,Avg. sequential executor time per image,Total model run time,Avg. model run time per batch,Avg. model run time per image,Total ONNX runtime overhead,Avg. ONNX runtime overhead per batch,Avg. ONNX runtime overhead per image,FPS,total_nodes_executed,p95_node_latency_ms,Max Memory Arena Consumption,Weights Memory Consumptions,Accuracy,Avg. Loss
resnet18,Base,56031.338,78.3655076923077,78.3655076923077,56363.796,78.8304839160839,78.8304839160839,56406.306,78.8899384615385,78.8899384615385,42.5099999999948,0.0594545454545425,0.0594545454545425,12.6758876924151,17160,7.21715,3.06MB,42.62MB,95.944055944056,0.145479234441363
resnet18,Quantization,16304.704,22.8037818181818,22.8037818181818,16627.705,23.2555314685315,23.2555314685315,16687.415,23.339041958042,23.339041958042,59.7099999999991,0.0835104895104877,0.0835104895104877,42.8466601927261,25740,2.45005,784.00KB,42.55KB,85.45,0.653096890708868
resnet18,Pruning,47506.205,66.4422447552448,66.4422447552448,47820.998,66.8825146853147,66.8825146853147,47870.235,66.9513776223776,66.9513776223776,49.237000000001,0.0688629370629315,0.0688629370629315,14.9362124501791,17160,6.35405,2.68MB,37.37MB,80.6993006993007,1.27088827939787
resnet18,Distillation,54430.132,76.1260587412587,76.1260587412587,54757.091,76.5833440559441,76.5833440559441,54807.001,76.6531482517483,76.6531482517483,49.9099999999962,0.0698041958041955,0.0698041958041955,13.0457785858416,17160,7.015,3.06MB,42.62MB,99.58,0.746467868379363
mobilenet_v2,Base,22761.161,31.8337916083916,31.8337916083916,23280.884,32.5606769230769,32.5606769230769,23350.529,32.6580825174825,32.6580825174825,69.6450000000004,0.0974055944055934,0.0974055944055934,30.6202913004669,39325,2.2858,4.59MB,8.42MB,98.4615384615385,0.0570884291223266
mobilenet_v2,Quantization,9830.642,13.7491496503497,13.7491496503497,10319.741,14.4332041958042,14.4332041958042,10394.909,14.5383342657343,14.5383342657343,75.1679999999997,0.10513006993007,0.10513006993007,68.783670929683,49335,0.926299999999996,1.15MB,150.61KB,85.59,0.385823500659879
mobilenet_v2,Pruning,19738.505,27.6063006993007,27.6063006993007,20226.678,28.2890601398601,28.2890601398601,20288.392,28.3753734265734,28.3753734265734,61.7139999999999,0.0863132867132848,0.0863132867132848,35.2418269520818,39325,1.973,4.21MB,7.46MB,69.3706293706294,0.92207107587216
mobilenet_v2,Distillation,24408.783,34.138158041958,34.138158041958,24884.057,34.8028769230769,34.8028769230769,24945.078,34.888220979021,34.888220979021,61.0210000000006,0.0853440559440557,0.0853440559440557,28.6629691035642,39325,2.498,4.59MB,8.42MB,99.72,0.0551998225296178
efficientnet_b0,Base,45991.115,64.3232377622378,64.3232377622378,47213.867,66.0333804195804,66.0333804195804,47334.136,66.2015888111888,66.2015888111888,120.269,0.168208391608403,0.168208391608403,15.1053776496523,117975,1.81,4.59MB,15.21MB,98.3216783216783,0.0476151037454749
efficientnet_b0,Quantization,21850.432,30.5600447552448,30.5600447552448,23306.85,32.596993006993,32.596993006993,23515.897,32.8893664335664,32.8893664335664,209.047000000002,0.292373426573434,0.292373426573434,30.4049639271681,173745,0.452,2.30MB,269.44KB,51.05,1.0394709198268
