Model,Optimization,Total 'kernel' inference time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total sequential executor time,Avg. sequential executor time per batch,Avg. sequential executor time per image,Total model run time,Avg. model run time per batch,Avg. model run time per image,Total ONNX runtime overhead,Avg. ONNX runtime overhead per batch,Avg. ONNX runtime overhead per image,FPS,total_nodes_executed,p95_node_latency_ms,Max Memory Arena Consumption,Weights Memory Consumptions,Accuracy,Avg. Loss
resnet18,Base,187843.316,262.717924475524,262.717924475524,188781.902,264.030632167832,264.030632167832,188876.956,264.163574825175,264.163574825175,95.0540000000037,0.132942657342653,0.132942657342653,3.78553326537092,17160,22.221,3.06MB,42.62MB,95.944055944056,0.145479234441363
resnet18,Quantization,52494.645,73.4190839160839,73.4190839160839,53398.978,74.6838853146853,74.6838853146853,53569.093,74.9218083916084,74.9218083916084,170.114999999998,0.237923076923082,0.237923076923082,13.3472485711117,25740,8.18705,784.00KB,42.55KB,85.45,0.653096890708868
resnet18,Pruning,170339.398,238.23692027972,238.23692027972,171165.122,239.391779020979,239.391779020979,171264.273,239.530451748252,239.530451748252,99.1509999999835,0.138672727272706,0.138672727272706,4.17483452605436,17160,18.54725,2.68MB,37.37MB,80.6993006993007,1.27088827939787
resnet18,Distillation,175129.523,244.936395804196,244.936395804196,175906.05,246.022447552448,246.022447552448,176030.747,246.196848951049,246.196848951049,124.697000000015,0.174401398601418,0.174401398601418,4.06179040983107,17160,21.59255,3.06MB,42.62MB,99.58,0.746467868379363
mobilenet_v2,Base,74604.977,104.342625174825,104.342625174825,76472.221,106.954155244755,106.954155244755,76685.051,107.25181958042,107.25181958042,212.830000000002,0.297664335664337,0.297664335664337,9.32385113755744,39325,7.4138,4.59MB,8.42MB,98.4615384615385,0.0570884291223266
mobilenet_v2,Quantization,32547.845,45.5214615384615,45.5214615384615,34478.805,48.2221048951049,48.2221048951049,34813.646,48.690413986014,48.690413986014,334.841,0.468309090909088,0.468309090909088,20.5379235487142,49335,4.4173,1.15MB,150.61KB,85.59,0.385823500659879
mobilenet_v2,Pruning,64593.504,90.340565034965,90.340565034965,66424.952,92.9020307692308,92.9020307692308,66643.857,93.2081916083916,93.2081916083916,218.904999999999,0.306160839160839,0.306160839160839,10.7286707610575,39325,6.51619999999998,4.21MB,7.46MB,69.3706293706294,0.92207107587216
mobilenet_v2,Distillation,76612.161,107.149875524476,107.149875524476,78437.467,109.702751048951,109.702751048951,78641.852,109.988604195804,109.988604195804,204.384999999995,0.285853146853142,0.285853146853142,9.09185099048786,39325,7.51,4.59MB,8.42MB,99.72,0.0551998225296178
efficientnet_b0,Base,166800.456,233.287351048951,233.287351048951,171438.352,239.773918881119,239.773918881119,171693.04,240.130125874126,240.130125874126,254.687999999995,0.356206993006992,0.356206993006992,4.16440876112392,117975,6.60929999999999,4.59MB,15.21MB,98.3216783216783,0.0476151037454749
efficientnet_b0,Quantization,53119.163,74.2925356643357,74.2925356643357,57177.876,79.9690573426573,79.9690573426573,57645.048,80.6224447552448,80.6224447552448,467.172000000006,0.653387412587421,0.653387412587421,12.4034938786069,173745,0.988,2.30MB,269.44KB,51.05,1.0394709198268
efficientnet_b0,Pruning,117692.852,164.605387412587,164.605387412587,121605.73,170.077944055944,170.077944055944,122011.843,170.645934265734,170.645934265734,406.112999999998,0.567990209790224,0.567990209790224,5.86008687697636,117975,5.498,4.21MB,13.12MB,69.9300699300699,0.949007714598347
efficientnet_b0,Distillation,139993.849,195.795593006993,195.795593006993,144655.371,202.315204195804,202.315204195804,144978.353,202.766927272727,202.766927272727,322.981999999989,0.451723076923059,0.451723076923059,4.93177074511255,117975,6.08029999999999,4.59MB,15.21MB,99.72,0.0960507273144379
mnasnet1_0,Base,74020.224,103.524788811189,103.524788811189,75987.337,106.275995804196,106.275995804196,76167.614,106.528131468531,106.528131468531,180.277000000002,0.252135664335668,0.252135664335668,9.38719177943529,38610,6.34,2.30MB,11.76MB,85.3146853146853,0.385201286214528
mnasnet1_0,Quantization,28799.979,40.2796909090909,40.2796909090909,30509.339,42.6704041958042,42.6704041958042,30798.427,43.0747230769231,43.0747230769231,289.088,0.404318881118883,0.404318881118883,23.2154713615731,50050,4.311,588.00KB,167.34KB,66.01,0.635157692630391
mnasnet1_0,Pruning,73698.74,103.075160839161,103.075160839161,75801.67,106.016321678322,106.016321678322,75990.068,106.279815384615,106.279815384615,188.398000000001,0.263493706293716,0.263493706293716,9.40912436083094,38610,6.06555,1.91MB,10.30MB,78.8811188811189,0.462063852817059
mnasnet1_0,Distillation,98590.959,137.889453146853,137.889453146853,100666.218,140.791913286713,140.791913286713,100852.286,141.052148251748,141.052148251748,186.067999999999,0.260234965034954,0.260234965034954,7.08957653176052,38610,7.302,2.30MB,11.76MB,87.69,3568844.52587413
resnet18,Base,191747.274,268.178005594406,268.178005594406,192610.357,269.385114685315,269.385114685315,192732.266,269.555616783217,269.555616783217,121.909000000014,0.170502097902158,0.170502097902158,3.70980954481176,17160,22.4961,3.06MB,42.62MB,95.944055944056,0.145479234441363
resnet18,Quantization,53768.546,75.2007636363636,75.2007636363636,54728.914,76.5439356643357,76.5439356643357,54906.366,76.7921202797203,76.7921202797203,177.452000000005,0.248184615384616,0.248184615384616,13.0221694147451,25740,8.29905,784.00KB,42.55KB,85.45,0.653096890708868
resnet18,Pruning,172679.668,241.510025174825,241.510025174825,173649.615,242.866594405594,242.866594405594,173748.038,243.004248951049,243.004248951049,98.4230000000098,0.137654545454581,0.137654545454581,4.11515438234762,17160,19.90905,2.68MB,37.37MB,80.6993006993007,1.27088827939787
resnet18,Distillation,177711.41,248.547426573427,248.547426573427,178560.167,249.734499300699,249.734499300699,178694.659,249.9226,249.9226,134.492000000027,0.188100699300747,0.188100699300747,4.00123878352738,17160,21.93815,3.06MB,42.62MB,99.58,0.746467868379363
