Model,Optimization,Total 'kernel' inference time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total sequential executor time,Avg. sequential executor time per batch,Avg. sequential executor time per image,Total model run time,Avg. model run time per batch,Avg. model run time per image,Total ONNX runtime overhead,Avg. ONNX runtime overhead per batch,Avg. ONNX runtime overhead per image,FPS,total_nodes_executed,p95_node_latency_ms,Max Memory Arena Consumption,Weights Memory Consumptions,Accuracy,Avg. Loss
resnet18,Base,180089.572,251.873527272727,251.873527272727,180835.326,252.91653986014,252.91653986014,180955.002,253.083918881119,253.083918881119,119.676000000007,0.167379020979041,0.167379020979041,3.9512585565333,17160,26.6433,3.06MB,42.62MB,95.944055944056,0.145479234441363
resnet18,Quantization,39078.112,54.6547020979021,54.6547020979021,39676.171,55.4911482517483,55.4911482517483,39769.519,55.6217048951049,55.6217048951049,93.3479999999981,0.130556643356641,0.130556643356641,17.9785931029239,25740,6.4863,784.00KB,42.55KB,85.45,0.653096890708868
resnet18,Pruning,154691.339,216.351523076923,216.351523076923,155514.574,217.502900699301,217.502900699301,155627.189,217.660404195804,217.660404195804,112.61500000002,0.157503496503523,0.157503496503523,4.59431288706243,17160,23.91505,2.68MB,37.37MB,80.6993006993007,1.27088827939787
resnet18,Distillation,176793.916,247.264218181818,247.264218181818,177574.779,248.356334265734,248.356334265734,177691.959,248.520222377622,248.520222377622,117.179999999993,0.163888111888099,0.163888111888099,4.02381741989799,17160,25.1891,3.06MB,42.62MB,99.58,0.746467868379363
mobilenet_v2,Base,61622.712,86.1856111888112,86.1856111888112,62847.737,87.8989328671329,87.8989328671329,63004.856,88.1186797202797,88.1186797202797,157.118999999999,0.219746853146845,0.219746853146845,11.3483316270098,39325,6.76019999999998,4.59MB,8.42MB,98.4615384615385,0.0570884291223266
mobilenet_v2,Quantization,27605.029,38.6084321678322,38.6084321678322,28663.01,40.0881258741259,40.0881258741259,28868.649,40.3757328671329,40.3757328671329,205.639000000003,0.287606993006996,0.287606993006996,24.7673522927935,49335,4.222,1.15MB,150.61KB,85.59,0.385823500659879
mobilenet_v2,Pruning,88823.057,124.228051748252,124.228051748252,91090.762,127.399667132867,127.399667132867,91286.003,127.672731468531,127.672731468531,195.240999999995,0.27306433566433,0.27306433566433,7.83252608836428,39325,8.34559999999999,4.21MB,7.46MB,69.3706293706294,0.92207107587216
mobilenet_v2,Distillation,76189.588,106.558864335664,106.558864335664,77824.713,108.845752447552,108.845752447552,78003.981,109.096476923077,109.096476923077,179.267999999996,0.250724475524464,0.250724475524464,9.16619883797982,39325,7.793,4.59MB,8.42MB,99.72,0.0551998225296178
efficientnet_b0,Base,155824.969,217.93701958042,217.93701958042,159791.61,223.484769230769,223.484769230769,160093.78,223.907384615385,223.907384615385,302.170000000013,0.422615384615398,0.422615384615398,4.46613228821257,117975,6.656,4.59MB,15.21MB,98.3216783216783,0.0476151037454749
efficientnet_b0,Quantization,71203.853,99.5858083916084,99.5858083916084,75635.633,105.784102097902,105.784102097902,76197.818,106.570374825175,106.570374825175,562.184999999998,0.786272727272717,0.786272727272717,9.38347079702466,173745,2.246,2.30MB,269.44KB,51.05,1.0394709198268
efficientnet_b0,Pruning,145398.255,203.354202797203,203.354202797203,149259.774,208.754928671329,208.754928671329,149569.523,209.188144055944,209.188144055944,309.748999999982,0.433215384615352,0.433215384615352,4.78038564046233,117975,6.21329999999999,4.21MB,13.12MB,69.9300699300699,0.949007714598347
efficientnet_b0,Distillation,124730.313,174.44799020979,174.44799020979,127836.209,178.791900699301,178.791900699301,128081.898,179.135521678322,179.135521678322,245.688999999999,0.343620979020983,0.343620979020983,5.58236574539206,117975,5.611,4.59MB,15.21MB,99.72,0.0960507273144379
mnasnet1_0,Base,74904.768,104.761913286713,104.761913286713,76219.851,106.60119020979,106.60119020979,76378.731,106.8234,106.8234,158.880000000005,0.222209790209803,0.222209790209803,9.3612448208913,38610,6.35955,2.30MB,11.76MB,85.3146853146853,0.385201286214528
mnasnet1_0,Quantization,24976.218,34.9317734265734,34.9317734265734,26086.746,36.4849594405594,36.4849594405594,26316.499,36.8062923076923,36.8062923076923,229.753000000001,0.321332867132874,0.321332867132874,27.1692674622107,50050,4.162,588.00KB,167.34KB,66.01,0.635157692630391
mnasnet1_0,Pruning,86243.967,120.620932867133,120.620932867133,88301.813,123.499039160839,123.499039160839,88505.609,123.784068531469,123.784068531469,203.796000000002,0.28502937062936,0.28502937062936,8.07858403640836,38610,7.402,1.91MB,10.30MB,78.8811188811189,0.462063852817059
mnasnet1_0,Distillation,88891.964,124.324425174825,124.324425174825,90724.6,126.887552447552,126.887552447552,90896.345,127.127755244755,127.127755244755,171.744999999995,0.240202797202798,0.240202797202798,7.86610286695246,38610,7.671,2.30MB,11.76MB,87.69,3568844.52587413
resnet18,Base,180159.044,251.970690909091,251.970690909091,181025.512,253.182534265734,253.182534265734,181179.22,253.397510489511,253.397510489511,153.708000000013,0.214976223776233,0.214976223776233,3.9463686840025,17160,24.714,3.06MB,42.62MB,95.944055944056,0.145479234441363
resnet18,Quantization,45879.304,64.1668587412587,64.1668587412587,46617.336,65.1990713286713,65.1990713286713,46738.356,65.3683300699301,65.3683300699301,121.019999999997,0.16925874125873,0.16925874125873,15.2979278945969,25740,7.4741,784.00KB,42.55KB,85.45,0.653096890708868
resnet18,Pruning,157077.733,219.689137062937,219.689137062937,157925.909,220.875397202797,220.875397202797,158068.223,221.074437762238,221.074437762238,142.313999999984,0.199040559440533,0.199040559440533,4.52336330750046,17160,23.27045,2.68MB,37.37MB,80.6993006993007,1.27088827939787
resnet18,Distillation,143729.739,201.020613986014,201.020613986014,144440.659,202.014907692308,202.014907692308,144538.981,202.152420979021,202.152420979021,98.3219999999856,0.137513286713272,0.137513286713272,4.9467624239028,17160,21.34805,3.06MB,42.62MB,99.58,0.746467868379363
mobilenet_v2,Base,63350.231,88.6017216783217,88.6017216783217,64530.998,90.2531440559441,90.2531440559441,64650.528,90.4203188811189,90.4203188811189,119.529999999999,0.167174825174826,0.167174825174826,11.0594611075721,39325,6.4358,4.59MB,8.42MB,98.4615384615385,0.0570884291223266
mobilenet_v2,Quantization,24648.087,34.472848951049,34.472848951049,25713.489,35.9629216783217,35.9629216783217,25865.189,36.1750895104895,36.1750895104895,151.699999999997,0.212167832167829,0.212167832167829,27.643331738268,49335,4.185,1.15MB,150.61KB,85.59,0.385823500659879
mobilenet_v2,Pruning,85888.866,120.124288111888,120.124288111888,88139.614,123.272187412587,123.272187412587,88390.776,123.623462937063,123.623462937063,251.161999999997,0.351275524475525,0.351275524475525,8.08907934013386,39325,8.328,4.21MB,7.46MB,69.3706293706294,0.92207107587216
mobilenet_v2,Distillation,70851.381,99.0928405594406,99.0928405594406,72351.052,101.190282517483,101.190282517483,72563.484,101.48739020979,101.48739020979,212.432000000001,0.297107692307691,0.297107692307691,9.85344088494979,39325,7.53759999999999,4.59MB,8.42MB,99.72,0.0551998225296178
efficientnet_b0,Base,150513.049,210.507760839161,210.507760839161,154483.98,216.061510489511,216.061510489511,154803.246,216.508036363636,216.508036363636,319.266000000003,0.446525874125882,0.446525874125882,4.618766198223,117975,6.364,4.59MB,15.21MB,98.3216783216783,0.0476151037454749
efficientnet_b0,Quantization,55133.913,77.1103678321678,77.1103678321678,58815.933,82.2600461538462,82.2600461538462,59288.286,82.9206797202797,82.9206797202797,472.353000000003,0.660633566433575,0.660633566433575,12.0597178336375,173745,0.997,2.30MB,269.44KB,51.05,1.0394709198268
efficientnet_b0,Pruning,134406.082,187.980534265734,187.980534265734,138225.459,193.32232027972,193.32232027972,138567.336,193.80046993007,193.80046993007,341.877000000008,0.47814965034965,0.47814965034965,5.1599462083907,117975,5.969,4.21MB,13.12MB,69.9300699300699,0.949007714598347
efficientnet_b0,Distillation,132843.093,185.794535664336,185.794535664336,136172.716,190.451351048951,190.451351048951,136425.792,190.805303496503,190.805303496503,253.076000000001,0.353952447552445,0.353952447552445,5.24094446891685,117975,5.926,4.59MB,15.21MB,99.72,0.0960507273144379
mnasnet1_0,Base,66302.142,92.7302685314685,92.7302685314685,67576.321,94.5123370629371,94.5123370629371,67760.671,94.7701692307692,94.7701692307692,184.350000000006,0.257832167832163,0.257832167832163,10.5518435612894,38610,5.956,2.30MB,11.76MB,85.3146853146853,0.385201286214528
mnasnet1_0,Quantization,26772.479,37.4440265734266,37.4440265734266,27963.393,39.1096405594406,39.1096405594406,28135.058,39.3497314685315,39.3497314685315,171.665000000001,0.24009090909091,0.24009090909091,25.4131340337027,50050,4.196,588.00KB,167.34KB,66.01,0.635157692630391
mnasnet1_0,Pruning,77338.714,108.166033566434,108.166033566434,78951.72,110.421986013986,110.421986013986,79124.022,110.662967832168,110.662967832168,172.301999999996,0.240981818181808,0.240981818181808,9.03644660530528,38610,6.72155,1.91MB,10.30MB,78.8811188811189,0.462063852817059
mnasnet1_0,Distillation,74242.844,103.836145454545,103.836145454545,75548.578,105.662346853147,105.662346853147,75706.061,105.882602797203,105.882602797203,157.483000000007,0.22025594405595,0.22025594405595,9.44442215795642,38610,6.48009999999999,2.30MB,11.76MB,87.69,3568844.52587413
resnet18,Base,184005.103,257.349794405594,257.349794405594,184805.287,258.468932867133,258.468932867133,184928.426,258.641155244755,258.641155244755,123.138999999996,0.172222377622404,0.172222377622404,3.86636070757451,17160,24.01305,3.06MB,42.62MB,95.944055944056,0.145479234441363
