Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11003.85,15.39,78.33,26.8438,64.9772579597141,92.45
resnet18,Pruning,9759.75,13.65,103.14,26.9141,73.2600732600733,77.76
resnet18,Distillation,10989.55,15.37,156.6,27.9258,65.0618087182824,99.44
mobilenet_v2,Base,5083.65,7.11,59.75,10.3945,140.646976090014,90.07
mobilenet_v2,Pruning,5012.15,7.01,47.91,11.4492,142.65335235378,72.31
mobilenet_v2,Distillation,5062.2,7.08,48.8,10.5234,141.242937853107,97.2
efficientnet_b0,Base,13778.05,19.27,58.79,17.9297,51.8941359626362,38.32
efficientnet_b0,Pruning,12369.5,17.3,55.66,16.7227,57.8034682080925,38.74
efficientnet_b0,Distillation,13863.85,19.39,57.73,16.0625,51.5729757607014,50.07
mnasnet1_0,Base,5162.3,7.22,53.15,12.7148,138.504155124654,77.9
mnasnet1_0,Pruning,5126.55,7.17,66.21,11.9883,139.470013947001,80.42
mnasnet1_0,Distillation,5176.6,7.24,57.53,12.7617,138.121546961326,88.39
resnet18,Base,10960.95,15.33,108.17,26.6562,65.2315720808872,92.45
resnet18,Pruning,9688.25,13.55,122.45,25.0273,73.8007380073801,77.76
resnet18,Distillation,10996.7,15.38,156.8,26.2578,65.0195058517555,99.44
mobilenet_v2,Base,4976.4,6.96,52.93,10.1094,143.67816091954,90.07
mobilenet_v2,Pruning,4869.15,6.81,97.27,9.87109,146.842878120411,72.31
mobilenet_v2,Distillation,4990.7,6.98,76.45,10.4766,143.266475644699,97.2
efficientnet_b0,Base,13799.5,19.3,155.41,16.2773,51.8134715025907,38.32
efficientnet_b0,Pruning,12390.95,17.33,102.87,15.1328,57.7034045008656,38.74
efficientnet_b0,Distillation,13720.85,19.19,73.19,15.9883,52.1104742053153,50.07
mnasnet1_0,Base,5205.2,7.28,55.84,14.2852,137.362637362637,77.9
mnasnet1_0,Pruning,5090.8,7.12,50.84,11.7148,140.449438202247,80.42
mnasnet1_0,Distillation,5219.5,7.3,51.7,12.7305,136.986301369863,88.39
resnet18,Base,11003.85,15.39,73.22,26.4844,64.9772579597141,92.45
resnet18,Pruning,9759.75,13.65,143.98,25.0234,73.2600732600733,77.76
resnet18,Distillation,11039.6,15.44,97.38,27.8828,64.7668393782383,99.44
mobilenet_v2,Base,5190.9,7.26,100.49,10.3945,137.741046831956,90.07
mobilenet_v2,Pruning,5019.3,7.02,52.65,10.1172,142.450142450142,72.31
mobilenet_v2,Distillation,5176.6,7.24,48.02,10.5273,138.121546961326,97.2
efficientnet_b0,Base,13756.6,19.24,57.83,16.3164,51.975051975052,38.32
efficientnet_b0,Pruning,12283.7,17.18,51.8,16.6602,58.2072176949942,38.74
efficientnet_b0,Distillation,13806.65,19.31,58.85,16.0547,51.7866390471258,50.07
mnasnet1_0,Base,5176.6,7.24,92.88,12.7891,138.121546961326,77.9
mnasnet1_0,Pruning,5076.5,7.1,108.46,13.7305,140.845070422535,80.42
mnasnet1_0,Distillation,5326.75,7.45,83.01,14.2422,134.228187919463,88.39
resnet18,Base,10982.4,15.36,76.84,28.0078,65.1041666666667,92.45
resnet18,Pruning,9731.15,13.61,80.32,25.3047,73.4753857457752,77.76
resnet18,Distillation,10953.8,15.32,104.47,26.5938,65.2741514360313,99.44
mobilenet_v2,Base,4997.85,6.99,61.27,12.1055,143.061516452074,90.07
mobilenet_v2,Pruning,4947.8,6.92,46.95,11.7539,144.508670520231,72.31
mobilenet_v2,Distillation,4904.9,6.86,49.04,10.4648,145.772594752187,97.2
efficientnet_b0,Base,13835.25,19.35,64.36,16.0469,51.6795865633075,38.32
efficientnet_b0,Pruning,12376.65,17.31,106.7,15.1484,57.7700751010976,38.74
efficientnet_b0,Distillation,13778.05,19.27,103.51,16.207,51.8941359626362,50.07
mnasnet1_0,Base,5133.7,7.18,55.83,14.207,139.275766016713,77.9
mnasnet1_0,Pruning,5248.1,7.34,49.65,11.7266,136.239782016349,80.42
mnasnet1_0,Distillation,5219.5,7.3,103.64,14.2578,136.986301369863,88.39
resnet18,Base,10982.4,15.36,83.53,26.5312,65.1041666666667,92.45
resnet18,Pruning,9766.9,13.66,111.08,26.4922,73.2064421669107,77.76
resnet18,Distillation,11039.6,15.44,157.59,26.4141,64.7668393782383,99.44
mobilenet_v2,Base,5126.55,7.17,46.21,10.4102,139.470013947001,90.07
mobilenet_v2,Pruning,5062.2,7.08,79.97,10.1367,141.242937853107,72.31
