Unnamed: 0,Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
0,resnet18,Base,11293.425000000005,15.54,98.65,26.3594,64.3500643500644,92.45
1,resnet18,Pruning,9998.38125,13.78,88.02,24.9609,72.5689404934688,77.76
2,resnet18,Distillation,11286.275,15.53,93.04,26.5,64.3915003219575,99.44
3,mobilenet_v2,Base,5076.5,7.1,58.85,12.1016,140.845070422535,90.07
4,mobilenet_v2,Pruning,5012.15,7.01,52.73,9.91016,142.65335235378,72.31
5,mobilenet_v2,Distillation,5069.35,7.09,59.35,10.418,141.043723554302,97.2
6,efficientnet_b0,Base,14148.062500000002,19.54,72.35,15.9805,51.1770726714432,38.32
7,efficientnet_b0,Pruning,12730.575,17.49,65.29,15.2617,57.1755288736421,38.74
8,efficientnet_b0,Distillation,14174.874999999998,19.54,74.05,16.0469,51.1770726714432,50.07
9,mnasnet1_0,Base,5326.75,7.45,61.59,12.3984,134.228187919463,77.9
10,mnasnet1_0,Pruning,5219.5,7.3,60.13,11.5703,136.986301369863,80.42
11,mnasnet1_0,Distillation,5319.6,7.44,61.92,12.5703,134.408602150538,88.39
12,resnet18,Base,11293.425000000005,15.56,93.2,26.3828,64.26735218509,92.45
13,resnet18,Pruning,9998.38125,13.77,93.64,24.918,72.6216412490922,77.76
14,resnet18,Distillation,11286.275,15.51,107.33,26.4023,64.4745325596389,99.44
15,mobilenet_v2,Base,5076.5,7.1,64.52,10.5547,140.845070422535,90.07
16,mobilenet_v2,Pruning,5019.3,7.02,54.41,9.92188,142.450142450142,72.31
17,mobilenet_v2,Distillation,5083.65,7.11,58.31,11.9688,140.646976090014,97.2
18,efficientnet_b0,Base,14148.062500000002,19.54,81.07,15.9961,51.1770726714432,38.32
19,efficientnet_b0,Pruning,12730.575,17.5,67.2,16.832,57.1428571428571,38.74
20,efficientnet_b0,Distillation,14174.874999999998,19.53,71.28,16.1328,51.2032770097286,50.07
21,mnasnet1_0,Base,5319.6,7.44,66.95,12.4453,134.408602150538,77.9
22,mnasnet1_0,Pruning,5219.5,7.3,58.75,11.9414,136.986301369863,80.42
23,mnasnet1_0,Distillation,5319.6,7.44,66.91,14.2891,134.408602150538,88.39
24,resnet18,Base,11293.425000000005,15.52,104.15,26.4023,64.4329896907217,92.45
25,resnet18,Pruning,9998.38125,13.77,87.69,24.8438,72.6216412490922,77.76
26,resnet18,Distillation,11286.275,15.53,91.16,26.2461,64.3915003219575,99.44
27,mobilenet_v2,Base,5076.5,7.1,60.08,10.375,140.845070422535,90.07
28,mobilenet_v2,Pruning,5012.15,7.01,53.69,9.90625,142.65335235378,72.31
29,mobilenet_v2,Distillation,5083.65,7.11,56.61,10.2734,140.646976090014,97.2
30,efficientnet_b0,Base,14148.062500000002,19.55,72.41,16.1875,51.150895140665,38.32
31,efficientnet_b0,Pruning,12730.575,17.49,70.63,14.8359,57.1755288736421,38.74
32,efficientnet_b0,Distillation,14174.874999999998,19.56,67.82,16.0469,51.1247443762781,50.07
33,mnasnet1_0,Base,5319.6,7.44,62.26,12.7188,134.408602150538,77.9
34,mnasnet1_0,Pruning,5212.35,7.29,61.42,11.8828,137.174211248285,80.42
35,mnasnet1_0,Distillation,5326.75,7.45,61.69,12.7109,134.228187919463,88.39
36,resnet18,Base,11293.425000000005,15.54,93.58,26.6328,64.3500643500644,92.45
37,resnet18,Pruning,9998.38125,13.77,90.48,25.0039,72.6216412490922,77.76
38,resnet18,Distillation,11286.275,15.52,93.32,28.0234,64.4329896907217,99.44
39,mobilenet_v2,Base,5083.65,7.11,57.1,10.3008,140.646976090014,90.07
40,mobilenet_v2,Pruning,5019.3,7.02,55.75,9.89453,142.450142450142,72.31
41,mobilenet_v2,Distillation,5090.8,7.12,58.1,10.3906,140.449438202247,97.2
42,efficientnet_b0,Base,14148.062500000002,19.57,70.0,16.2344,51.0986203372509,38.32
43,efficientnet_b0,Pruning,12730.575,17.51,64.84,15.0898,57.1102227298686,38.74
44,efficientnet_b0,Distillation,14174.874999999998,19.57,74.03,16.0195,51.0986203372509,50.07
45,mnasnet1_0,Base,5319.6,7.44,61.85,12.6914,134.408602150538,77.9
