Unnamed: 0,Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
0,resnet18,Base,13878.15,19.41,351.84,30.4141,51.5198351365276,92.45
1,resnet18,Pruning,12462.45,17.43,277.62,25.0703,57.372346528973,77.76
2,resnet18,Distillation,13456.3,18.82,303.35,26.582,53.134962805526,99.44
3,mobilenet_v2,Base,8444.15,11.81,183.75,10.2656,84.6740050804403,90.07
4,mobilenet_v2,Pruning,7600.45,10.63,156.77,9.84766,94.0733772342427,72.31
5,mobilenet_v2,Distillation,7085.65,9.91,220.14,10.6016,100.908173562059,97.2
6,efficientnet_b0,Base,16480.75,23.05,253.66,16.2266,43.3839479392625,38.32
7,efficientnet_b0,Pruning,15265.25,21.35,209.98,16.7344,46.8384074941452,38.74
8,efficientnet_b0,Distillation,16545.1,23.14,241.32,20.1172,43.2152117545376,50.07
9,mnasnet1_0,Base,8279.7,11.58,182.24,12.8008,86.3557858376511,77.9
10,mnasnet1_0,Pruning,7929.35,11.09,216.19,13.543,90.1713255184851,80.42
11,mnasnet1_0,Distillation,8544.25,11.95,204.86,14.3633,83.6820083682008,88.39
12,resnet18,Base,13956.8,19.52,331.35,26.3672,51.2295081967213,92.45
13,resnet18,Pruning,12069.2,16.88,303.11,25.0312,59.2417061611374,77.76
14,resnet18,Distillation,13413.4,18.76,177.39,26.2773,53.3049040511727,99.44
15,mobilenet_v2,Base,7929.35,11.09,144.16,10.5195,90.1713255184851,90.07
16,mobilenet_v2,Pruning,8787.35,12.29,152.37,9.89844,81.3669650122051,72.31
17,mobilenet_v2,Distillation,8422.7,11.78,174.22,10.4883,84.8896434634975,97.2
18,efficientnet_b0,Base,16452.15,23.01,235.95,16.293,43.4593654932638,38.32
19,efficientnet_b0,Pruning,14593.15,20.41,238.23,16.9219,48.9955903968643,38.74
20,efficientnet_b0,Distillation,16473.6,23.04,203.69,16.0352,43.4027777777778,50.07
21,mnasnet1_0,Base,8186.75,11.45,172.14,12.8242,87.3362445414847,77.9
22,mnasnet1_0,Pruning,7986.55,11.17,176.84,11.5273,89.5255147717099,80.42
23,mnasnet1_0,Distillation,8580.0,12.0,195.64,12.7852,83.3333333333333,88.39
24,resnet18,Base,13799.5,19.3,294.74,26.7461,51.8134715025907,92.45
25,resnet18,Pruning,12255.1,17.14,279.59,24.918,58.343057176196,77.76
26,resnet18,Distillation,14135.55,19.77,303.24,26.5938,50.5816894284269,99.44
27,mobilenet_v2,Base,9423.7,13.18,170.73,11.9883,75.8725341426404,90.07
28,mobilenet_v2,Pruning,7114.25,9.95,166.92,12.0312,100.502512562814,72.31
29,mobilenet_v2,Distillation,9037.6,12.64,168.03,10.3203,79.1139240506329,97.2
30,efficientnet_b0,Base,16859.7,23.58,240.28,17.4883,42.4088210347752,38.32
31,efficientnet_b0,Pruning,13149.74375,17.92,58.63,15.0547,55.8035714285714,38.74
32,efficientnet_b0,Distillation,15306.362500000005,19.89,58.7,16.1367,50.2765208647562,50.07
33,mnasnet1_0,Base,6295.575000000001,7.17,51.91,14.293,139.470013947001,77.9
34,mnasnet1_0,Pruning,6868.46875,7.11,49.9,12.1211,140.646976090014,80.42
35,mnasnet1_0,Distillation,6969.4625,7.28,52.44,12.3906,137.362637362637,88.39
36,resnet18,Base,12708.231250000004,15.85,82.59,26.625,63.0914826498423,92.45
37,resnet18,Pruning,10566.806250000003,14.04,75.8,24.9688,71.2250712250712,77.76
38,resnet18,Distillation,12866.425,15.85,82.81,26.5977,63.0914826498423,99.44
39,mobilenet_v2,Base,5965.78125,6.78,48.1,10.5,147.492625368732,90.07
40,mobilenet_v2,Pruning,6112.35625,6.66,47.8,9.89453,150.15015015015,72.31
41,mobilenet_v2,Distillation,6094.48125,6.73,49.56,10.5195,148.588410104012,97.2
42,efficientnet_b0,Base,15753.2375,19.92,58.64,16.2773,50.2008032128514,38.32
43,efficientnet_b0,Pruning,13149.74375,17.9,56.99,15.0625,55.8659217877095,38.74
44,efficientnet_b0,Distillation,15306.362500000005,19.92,59.99,16.1719,50.2008032128514,50.07
45,mnasnet1_0,Base,6295.575000000001,7.18,53.28,14.0391,139.275766016713,77.9
46,mnasnet1_0,Pruning,6868.46875,7.29,52.17,11.8672,137.174211248285,80.42
47,mnasnet1_0,Distillation,6969.4625,7.13,54.33,12.3945,140.252454417952,88.39
48,resnet18,Base,12708.231250000004,15.84,81.68,26.4844,63.1313131313131,92.45
49,resnet18,Pruning,10566.806250000003,14.1,76.58,25.1133,70.9219858156028,77.76
50,resnet18,Distillation,12866.425,15.84,80.29,26.2773,63.1313131313131,99.44
51,mobilenet_v2,Base,5965.78125,6.77,48.64,10.6289,147.710487444609,90.07
52,mobilenet_v2,Pruning,6112.35625,6.68,48.83,9.91406,149.700598802395,72.31
53,mobilenet_v2,Distillation,6094.48125,6.79,49.82,11.9766,147.275405007364,97.2
54,efficientnet_b0,Base,15753.2375,19.86,59.73,16.1133,50.3524672708963,38.32
55,efficientnet_b0,Pruning,13149.74375,17.92,59.73,15.2422,55.8035714285714,38.74
56,efficientnet_b0,Distillation,15306.362500000005,19.9,58.26,16.3555,50.251256281407,50.07
57,mnasnet1_0,Base,6295.575000000001,7.27,53.67,12.5234,137.551581843191,77.9
58,mnasnet1_0,Pruning,6868.46875,7.06,51.38,11.793,141.643059490085,80.42
59,mnasnet1_0,Distillation,6969.4625,7.29,52.6,12.5195,137.174211248285,88.39
60,resnet18,Base,12708.231250000004,15.84,79.63,28.2266,63.1313131313131,92.45
61,resnet18,Pruning,10566.806250000003,14.06,77.1,24.8398,71.1237553342817,77.76
62,resnet18,Distillation,12866.425,15.82,80.72,26.5898,63.2111251580278,99.44
63,mobilenet_v2,Base,5965.78125,6.78,48.77,10.332,147.492625368732,90.07
64,mobilenet_v2,Pruning,6112.35625,6.69,47.81,10.1133,149.476831091181,72.31
65,mobilenet_v2,Distillation,6094.48125,6.75,49.82,10.4531,148.148148148148,97.2
66,efficientnet_b0,Base,15753.2375,19.89,58.74,16.4453,50.2765208647562,38.32
67,efficientnet_b0,Pruning,13149.74375,17.93,58.4,15.1094,55.7724484104852,38.74
68,efficientnet_b0,Distillation,15306.362500000005,19.91,58.47,16.0469,50.2260170768458,50.07
69,mnasnet1_0,Base,6295.575000000001,7.23,54.07,12.6445,138.312586445367,77.9
70,mnasnet1_0,Pruning,8687.25,12.15,200.11,11.8867,82.3045267489712,80.42
71,mnasnet1_0,Distillation,9688.25,13.55,189.31,12.3945,73.8007380073801,88.39
72,resnet18,Base,13577.85,18.99,304.66,30.625,52.6592943654555,92.45
73,resnet18,Pruning,11776.05,16.47,314.49,25.1328,60.7164541590771,77.76
74,resnet18,Distillation,13391.95,18.73,307.79,26.3242,53.3902829684997,99.44
75,mobilenet_v2,Base,8951.8,12.52,154.35,12.125,79.8722044728435,90.07
76,mobilenet_v2,Pruning,9137.7,12.78,169.05,9.91016,78.2472613458529,72.31
77,mobilenet_v2,Distillation,8058.05,11.27,210.79,10.4219,88.7311446317658,97.2
78,efficientnet_b0,Base,16609.45,23.23,122.11,16.2852,43.0477830391735,38.32
79,efficientnet_b0,Pruning,14021.15,19.61,214.43,16.9453,50.9943906170321,38.74
80,efficientnet_b0,Distillation,15923.05,22.27,231.71,16.0703,44.9034575662326,50.07
81,mnasnet1_0,Base,7879.3,11.02,180.5,14.332,90.7441016333938,77.9
82,mnasnet1_0,Pruning,9445.15,13.21,211.84,11.8438,75.7002271006813,80.42
83,mnasnet1_0,Distillation,7750.6,10.84,194.82,12.7773,92.2509225092251,88.39
84,resnet18,Base,13778.05,19.27,277.48,26.543,51.8941359626362,92.45
85,resnet18,Pruning,12197.9,17.06,264.34,25.0898,58.6166471277843,77.76
86,resnet18,Distillation,13556.4,18.96,263.63,26.4609,52.7426160337553,99.44
87,mobilenet_v2,Base,8401.25,11.75,167.91,10.4414,85.1063829787234,90.07
88,mobilenet_v2,Pruning,10481.9,14.66,141.51,11.5,68.2128240109141,72.31
89,mobilenet_v2,Distillation,9352.2,13.08,166.96,14.1094,76.4525993883792,97.2
90,efficientnet_b0,Base,16459.3,23.02,242.61,16.3945,43.4404865334492,38.32
91,efficientnet_b0,Pruning,14507.35,20.29,219.91,15.293,49.2853622474125,38.74
92,efficientnet_b0,Distillation,16752.45,23.43,208.01,16.1406,42.6803243704652,50.07
93,mnasnet1_0,Base,8043.75,11.25,201.87,12.418,88.8888888888889,77.9
94,mnasnet1_0,Pruning,7965.1,11.14,200.4,13.6953,89.7666068222621,80.42
95,mnasnet1_0,Distillation,9001.85,12.59,191.32,12.6758,79.428117553614,88.39
96,resnet18,Base,13356.2,18.68,273.16,26.4609,53.5331905781585,92.45
97,resnet18,Pruning,11575.85,16.19,319.23,25.043,61.7665225447807,77.76
98,resnet18,Distillation,13585.0,19.0,287.3,26.375,52.6315789473684,99.44
99,mobilenet_v2,Base,6785.35,9.49,195.66,12.0,105.374077976818,90.07
100,mobilenet_v2,Pruning,8973.25,12.55,215.28,10.0156,79.6812749003984,72.31
101,mobilenet_v2,Distillation,9438.0,13.2,166.87,10.5625,75.7575757575758,97.2
102,efficientnet_b0,Base,16595.15,23.21,205.09,16.1719,43.0848772081,38.32
103,efficientnet_b0,Pruning,14278.55,19.97,265.79,15.2188,50.0751126690035,38.74
104,efficientnet_b0,Distillation,16309.15,22.81,248.1,15.9844,43.8404208680403,50.07
105,mnasnet1_0,Base,8322.6,11.64,112.41,12.3945,85.9106529209622,77.9
106,mnasnet1_0,Pruning,7621.9,10.66,179.03,11.9062,93.8086303939963,80.42
107,mnasnet1_0,Distillation,9638.2,13.48,175.65,12.7617,74.1839762611276,88.39
108,resnet18,Base,13892.45,19.43,265.14,26.7461,51.4668039114771,92.45
109,resnet18,Pruning,12769.9,17.86,278.56,24.9141,55.9910414333707,77.76
110,resnet18,Distillation,13656.5,19.1,317.14,26.3398,52.3560209424084,99.44
111,mobilenet_v2,Base,8930.35,12.49,152.04,10.4492,80.0640512409928,90.07
