Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11332.75,15.85,83.11,26.6133,63.0914826498423,92.45
resnet18,Pruning,10038.6,14.04,78.03,26.7227,71.2250712250712,77.76
resnet18,Distillation,11325.6,15.84,78.33,26.2969,63.1313131313131,99.44
mobilenet_v2,Base,4862.0,6.8,48.5,10.5742,147.058823529412,90.07
mobilenet_v2,Pruning,4811.95,6.73,46.39,11.4336,148.588410104012,72.31
mobilenet_v2,Distillation,4926.35,6.89,47.25,10.3945,145.137880986938,97.2
efficientnet_b0,Base,14207.05,19.87,60.31,18.0,50.3271263210871,38.32
efficientnet_b0,Pruning,12848.55,17.97,55.89,15.0234,55.6483027267668,38.74
efficientnet_b0,Distillation,14235.65,19.91,60.69,16.2656,50.2260170768458,50.07
mnasnet1_0,Base,5155.15,7.21,53.3,12.6758,138.69625520111,77.9
mnasnet1_0,Pruning,5047.9,7.06,51.35,12.1289,141.643059490085,80.42
mnasnet1_0,Distillation,5190.9,7.26,52.93,14.5469,137.741046831956,88.39
resnet18,Base,11339.9,15.86,80.22,28.125,63.0517023959647,92.45
resnet18,Pruning,10038.6,14.04,76.58,24.918,71.2250712250712,77.76
resnet18,Distillation,11339.9,15.86,78.11,26.6523,63.0517023959647,99.44
mobilenet_v2,Base,4790.5,6.7,49.3,10.3086,149.253731343284,90.07
mobilenet_v2,Pruning,4869.15,6.81,46.95,9.75391,146.842878120411,72.31
mobilenet_v2,Distillation,4897.75,6.85,48.29,12.168,145.985401459854,97.2
efficientnet_b0,Base,14242.8,19.92,58.6,16.3203,50.2008032128514,38.32
efficientnet_b0,Pruning,12819.95,17.93,57.72,15.125,55.7724484104852,38.74
efficientnet_b0,Distillation,14221.35,19.89,60.4,16.2578,50.2765208647562,50.07
mnasnet1_0,Base,5190.9,7.26,52.8,12.6172,137.741046831956,77.9
mnasnet1_0,Pruning,5005.0,7.0,52.79,11.8984,142.857142857143,80.42
mnasnet1_0,Distillation,5205.2,7.28,52.08,12.5703,137.362637362637,88.39
resnet18,Base,11332.75,15.85,81.43,28.2383,63.0914826498423,92.45
resnet18,Pruning,10081.5,14.1,76.04,25.1523,70.9219858156028,77.76
resnet18,Distillation,11325.6,15.84,79.24,27.8555,63.1313131313131,99.44
mobilenet_v2,Base,4854.85,6.79,48.58,10.5898,147.275405007364,90.07
mobilenet_v2,Pruning,4804.8,6.72,48.14,10.0938,148.809523809524,72.31
mobilenet_v2,Distillation,4819.1,6.74,48.12,10.3047,148.367952522255,97.2
efficientnet_b0,Base,14249.95,19.93,61.06,17.875,50.1756146512795,38.32
efficientnet_b0,Pruning,12834.25,17.95,56.48,15.1211,55.7103064066852,38.74
efficientnet_b0,Distillation,14228.5,19.9,59.88,16.1875,50.251256281407,50.07
mnasnet1_0,Base,5148.0,7.2,52.5,12.6953,138.888888888889,77.9
mnasnet1_0,Pruning,4990.7,6.98,53.8,11.9102,143.266475644699,80.42
mnasnet1_0,Distillation,5169.45,7.23,52.98,12.4531,138.312586445367,88.39
resnet18,Base,11325.6,15.84,82.6,28.0273,63.1313131313131,92.45
resnet18,Pruning,10031.45,14.03,79.55,25.0273,71.2758374910905,77.76
resnet18,Distillation,11339.9,15.86,86.04,26.3164,63.0517023959647,99.44
mobilenet_v2,Base,4883.45,6.83,48.91,10.5078,146.412884333821,90.07
mobilenet_v2,Pruning,4840.55,6.77,48.73,11.7266,147.710487444609,72.31
mobilenet_v2,Distillation,4862.0,6.8,49.21,10.5078,147.058823529412,97.2
efficientnet_b0,Base,14235.65,19.91,58.95,16.2188,50.2260170768458,38.32
efficientnet_b0,Pruning,12834.25,17.95,59.11,15.082,55.7103064066852,38.74
efficientnet_b0,Distillation,14235.65,19.91,59.96,17.5781,50.2260170768458,50.07
mnasnet1_0,Base,5090.8,7.12,55.81,12.4102,140.449438202247,77.9
mnasnet1_0,Pruning,5083.65,7.11,53.83,11.8242,140.646976090014,80.42
mnasnet1_0,Distillation,5212.35,7.29,52.26,12.6992,137.174211248285,88.39
resnet18,Base,11318.45,15.83,80.37,28.1836,63.1711939355654,92.45
resnet18,Pruning,10067.2,14.08,75.19,24.9023,71.0227272727273,77.76
resnet18,Distillation,11325.6,15.84,76.21,26.4648,63.1313131313131,99.44
mobilenet_v2,Base,4862.0,6.8,47.66,12.0859,147.058823529412,90.07
mobilenet_v2,Pruning,4811.95,6.73,45.18,10.0469,148.588410104012,72.31
mobilenet_v2,Distillation,4804.8,6.72,47.56,10.4453,148.809523809524,97.2
efficientnet_b0,Base,14242.8,19.92,58.51,16.4648,50.2008032128514,38.32
