Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,10817.95,15.13,95.52,26.4688,66.0938532716457,92.45
resnet18,Pruning,9530.95,13.33,96.77,24.9531,75.0187546886722,77.76
resnet18,Distillation,10810.8,15.12,107.53,26.3477,66.1375661375661,99.44
mobilenet_v2,Base,5391.1,7.54,62.88,10.4102,132.62599469496,90.07
mobilenet_v2,Pruning,5476.9,7.66,69.42,10.0195,130.548302872063,72.31
mobilenet_v2,Distillation,5441.15,7.61,67.3,10.4375,131.406044678055,97.2
efficientnet_b0,Base,13677.95,19.13,69.56,16.1719,52.2739153162572,38.32
efficientnet_b0,Pruning,12197.9,17.06,78.02,15.2461,58.6166471277843,38.74
efficientnet_b0,Distillation,13677.95,19.13,62.88,16.1953,52.2739153162572,50.07
mnasnet1_0,Base,5648.5,7.9,59.04,12.3945,126.582278481013,77.9
mnasnet1_0,Pruning,5598.45,7.83,67.15,11.918,127.713920817369,80.42
mnasnet1_0,Distillation,5541.25,7.75,56.53,12.7109,129.032258064516,88.39
resnet18,Base,10810.8,15.12,111.42,26.5703,66.1375661375661,92.45
resnet18,Pruning,9530.95,13.33,85.77,26.7578,75.0187546886722,77.76
resnet18,Distillation,10803.65,15.11,108.65,26.4141,66.1813368630046,99.44
mobilenet_v2,Base,5476.9,7.66,57.97,12.1953,130.548302872063,90.07
mobilenet_v2,Pruning,5405.4,7.56,56.28,10.1758,132.275132275132,72.31
mobilenet_v2,Distillation,5484.05,7.67,57.6,12.2031,130.378096479791,97.2
efficientnet_b0,Base,13685.1,19.14,63.25,16.4688,52.2466039707419,38.32
efficientnet_b0,Pruning,12205.05,17.07,66.1,15.1055,58.5823081429408,38.74
efficientnet_b0,Distillation,13685.1,19.14,79.09,16.1172,52.2466039707419,50.07
mnasnet1_0,Base,5577.0,7.8,90.57,14.168,128.205128205128,77.9
mnasnet1_0,Pruning,5569.85,7.79,75.74,12.0039,128.369704749679,80.42
mnasnet1_0,Distillation,5648.5,7.9,78.85,14.4141,126.582278481013,88.39
resnet18,Base,10817.95,15.13,94.84,26.5156,66.0938532716457,92.45
resnet18,Pruning,9530.95,13.33,110.92,24.8711,75.0187546886722,77.76
resnet18,Distillation,10810.8,15.12,90.37,26.3398,66.1375661375661,99.44
mobilenet_v2,Base,5512.65,7.71,61.46,10.4492,129.70168612192,90.07
mobilenet_v2,Pruning,5426.85,7.59,68.32,9.96484,131.752305665349,72.31
mobilenet_v2,Distillation,5441.15,7.61,58.15,10.5234,131.406044678055,97.2
efficientnet_b0,Base,13692.25,19.15,88.8,16.3789,52.2193211488251,38.32
efficientnet_b0,Pruning,12226.5,17.1,63.59,15.125,58.4795321637427,38.74
efficientnet_b0,Distillation,13692.25,19.15,67.43,16.0469,52.2193211488251,50.07
mnasnet1_0,Base,5591.3,7.82,51.97,12.8789,127.877237851662,77.9
mnasnet1_0,Pruning,5748.6,8.04,91.38,11.8516,124.378109452736,80.42
mnasnet1_0,Distillation,5698.55,7.97,64.67,12.7109,125.470514429109,88.39
resnet18,Base,10810.8,15.12,97.27,26.5977,66.1375661375661,92.45
resnet18,Pruning,9538.1,13.34,80.38,24.8164,74.9625187406297,77.76
resnet18,Distillation,10803.65,15.11,96.24,27.7617,66.1813368630046,99.44
mobilenet_v2,Base,5341.05,7.47,77.56,10.6328,133.868808567604,90.07
