Model,Optimization,Total model run time,Avg. model run time per batch,Init Time,Peak Memory,FPS,Accuracy
resnet18,Base,11675.95,16.33,175.3,26.5508,61.2369871402327,92.45
resnet18,Pruning,10560.55,14.77,179.56,25.3477,67.7048070412999,77.76
resnet18,Distillation,11768.9,16.46,156.52,26.3281,60.7533414337789,99.44
mobilenet_v2,Base,6048.9,8.46,101.1,14.6133,118.203309692671,90.07
mobilenet_v2,Pruning,6542.25,9.15,91.16,10.0391,109.289617486339,72.31
mobilenet_v2,Distillation,6549.4,9.16,88.95,10.5234,109.170305676856,97.2
efficientnet_b0,Base,14414.4,20.16,111.77,16.1484,49.6031746031746,38.32
efficientnet_b0,Pruning,13091.65,18.31,122.32,15.2148,54.6149645002731,38.74
efficientnet_b0,Distillation,14314.3,20.02,123.27,16.2617,49.95004995005,50.07
mnasnet1_0,Base,6964.1,9.74,99.78,12.5078,102.669404517454,77.9
mnasnet1_0,Pruning,6592.3,9.22,108.47,11.6953,108.459869848156,80.42
mnasnet1_0,Distillation,6456.45,9.03,139.48,12.8359,110.741971207087,88.39
resnet18,Base,12097.8,16.92,203.09,26.4727,59.1016548463357,92.45
resnet18,Pruning,10431.85,14.59,158.41,25.3789,68.5400959561343,77.76
resnet18,Distillation,11997.7,16.78,153.24,26.3945,59.5947556615018,99.44
mobilenet_v2,Base,6527.95,9.13,103.82,10.5273,109.529025191676,90.07
mobilenet_v2,Pruning,6978.4,9.76,91.28,10.0195,102.459016393443,72.31
mobilenet_v2,Distillation,6363.5,8.9,86.65,10.2578,112.359550561798,97.2
efficientnet_b0,Base,14457.3,20.22,136.02,16.207,49.4559841740851,38.32
efficientnet_b0,Pruning,12762.75,17.85,112.18,15.1641,56.0224089635854,38.74
efficientnet_b0,Distillation,14178.45,19.83,118.64,16.0,50.4286434694907,50.07
mnasnet1_0,Base,6284.85,8.79,106.1,12.7969,113.765642775882,77.9
mnasnet1_0,Pruning,7142.85,9.99,98.69,11.8906,100.1001001001,80.42
mnasnet1_0,Distillation,5948.8,8.32,122.64,12.5898,120.192307692308,88.39
resnet18,Base,11990.55,16.77,153.84,26.5195,59.6302921884317,92.45
resnet18,Pruning,10717.85,14.99,175.21,25.0352,66.711140760507,77.76
resnet18,Distillation,11540.1,16.14,192.93,27.8867,61.9578686493185,99.44
mobilenet_v2,Base,6106.1,8.54,107.84,10.6094,117.096018735363,90.07
mobilenet_v2,Pruning,6513.65,9.11,99.15,9.79688,109.769484083425,72.31
mobilenet_v2,Distillation,5834.4,8.16,99.2,10.4062,122.549019607843,97.2
efficientnet_b0,Base,14314.3,20.02,118.77,16.4648,49.95004995005,38.32
efficientnet_b0,Pruning,12891.45,18.03,97.49,15.2148,55.4631170271769,38.74
efficientnet_b0,Distillation,14986.4,20.96,131.99,16.3828,47.7099236641221,50.07
mnasnet1_0,Base,7471.75,10.45,108.99,12.7266,95.6937799043062,77.9
mnasnet1_0,Pruning,6785.35,9.49,113.3,13.9648,105.374077976818,80.42
mnasnet1_0,Distillation,6635.2,9.28,112.88,12.3828,107.758620689655,88.39
resnet18,Base,11568.7,16.18,171.1,26.4883,61.8046971569839,92.45
resnet18,Pruning,10567.7,14.78,183.35,25.0625,67.65899864682,77.76
resnet18,Distillation,11654.5,16.3,146.01,26.5,61.3496932515337,99.44
mobilenet_v2,Base,6728.15,9.41,94.34,10.4922,106.269925611052,90.07
mobilenet_v2,Pruning,5491.2,7.68,95.14,9.97656,130.208333333333,72.31
mobilenet_v2,Distillation,6463.6,9.04,94.8,10.2656,110.619469026549,97.2
efficientnet_b0,Base,14378.65,20.11,118.78,16.2773,49.7265042267529,38.32
efficientnet_b0,Pruning,12598.3,17.62,124.01,14.9492,56.7536889897843,38.74
efficientnet_b0,Distillation,14192.75,19.85,114.29,16.0039,50.3778337531486,50.07
mnasnet1_0,Base,6120.4,8.56,108.29,12.8047,116.822429906542,77.9
mnasnet1_0,Pruning,6678.1,9.34,105.67,11.9336,107.066381156317,80.42
mnasnet1_0,Distillation,6177.6,8.64,110.93,12.7891,115.740740740741,88.39
resnet18,Base,11668.8,16.32,188.36,26.5586,61.2745098039216,92.45
resnet18,Pruning,10653.5,14.9,196.16,25.3359,67.1140939597316,77.76
resnet18,Distillation,12097.8,16.92,183.71,28.4766,59.1016548463357,99.44
mobilenet_v2,Base,6156.15,8.61,98.06,10.5156,116.144018583043,90.07
mobilenet_v2,Pruning,6327.75,8.85,102.85,10.2578,112.994350282486,72.31
mobilenet_v2,Distillation,5841.55,8.17,109.88,10.6758,122.399020807834,97.2
efficientnet_b0,Base,14135.55,19.77,128.05,16.1055,50.5816894284269,38.32
efficientnet_b0,Pruning,13084.5,18.3,135.81,15.0469,54.6448087431694,38.74
efficientnet_b0,Distillation,14242.8,19.92,126.83,16.1133,50.2008032128514,50.07
mnasnet1_0,Base,7865.0,11.0,103.52,12.7812,90.9090909090909,77.9
mnasnet1_0,Pruning,5519.8,7.72,96.72,12.2266,129.533678756477,80.42
mnasnet1_0,Distillation,6113.25,8.55,100.75,12.875,116.959064327485,88.39
resnet18,Base,11718.85,16.39,159.16,26.6445,61.012812690665,92.45
resnet18,Pruning,10975.25,15.35,167.2,25.3203,65.1465798045603,77.76
resnet18,Distillation,11926.2,16.68,158.67,26.5391,59.9520383693046,99.44
mobilenet_v2,Base,11926.2,16.68,158.67,26.5391,59.9520383693046,90.07
mobilenet_v2,Pruning,6499.35,9.09,91.03,9.88281,110.01100110011,72.31
mobilenet_v2,Distillation,7478.9,10.46,103.81,10.3008,95.6022944550669,97.2
efficientnet_b0,Base,14228.5,19.9,128.21,16.6016,50.251256281407,38.32
efficientnet_b0,Pruning,12755.6,17.84,116.0,15.3086,56.0538116591928,38.74
efficientnet_b0,Distillation,14221.35,19.89,108.88,16.1445,50.2765208647562,50.07
mnasnet1_0,Base,6527.95,9.13,116.54,12.4922,109.529025191676,77.9
mnasnet1_0,Pruning,6206.2,8.68,95.27,12.0703,115.207373271889,80.42
mnasnet1_0,Distillation,7021.3,9.82,110.63,12.8711,101.83299389002,88.39
resnet18,Base,11811.8,16.52,152.37,26.7266,60.5326876513317,92.45
resnet18,Pruning,10460.45,14.63,179.73,25.0352,68.3526999316473,77.76
