Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,FPS,Peak Memory,Peak Memory Accelerator,Accuracy,Weights Memory,Total kernel run time,Total Overhead
resnet18,Base,6807.04,1.13,1.13,8.07,8.07,8.390335664335666,123.91573729863693,0.14,10.97,94.69,10.106151580810547,5770.05,5999.090000000001
resnet18,Pruning,7071.44,1.07,1.07,8.43,8.43,8.820125874125873,118.62396204033216,0.14,9.62,64.62,9.336134910583496,6027.45,6306.389999999999
resnet18,Distillation,7188.83,1.18,1.18,8.56,8.56,8.874307692307692,116.82242990654206,0.14,10.97,85.87,9.941035270690918,6120.400000000001,6345.13
mobilenet_v2,Base,7481.52,1.69,1.69,9.01,9.01,8.773664335664337,110.98779134295228,0.14,2.84,64.9,3.401988983154297,6442.15,6273.170000000001
mobilenet_v2,Pruning,7746.83,1.62,1.62,9.34,9.34,9.214727272727274,107.06638115631692,0.14,2.58,68.95,3.3319292068481445,6678.099999999999,6588.530000000001
mobilenet_v2,Distillation,7767.9,1.7,1.7,9.4,9.4,9.164195804195804,106.38297872340424,0.14,2.84,64.34,3.2358808517456055,6721.0,6552.400000000001
efficientnet_b0,Base,26636.75,27.68,27.68,35.78,35.78,9.574195804195805,27.94857462269424,0.44,4.36,63.36,6.106398582458496,25582.7,6845.55
efficientnet_b0,Pruning,24933.94,24.96,24.96,33.39,33.39,9.91264335664335,29.949086552860138,0.54,3.67,59.02,5.588894844055176,23873.850000000002,7087.539999999995
efficientnet_b0,Distillation,26308.88,27.12,27.12,35.27,35.27,9.67563636363636,28.35270768358378,0.21,4.48,63.36,5.856590270996094,25218.050000000003,6918.079999999997
mnasnet1_0,Base,8223.04,2.4,2.4,10.03,10.03,9.100755244755243,99.70089730807578,0.14,3.94,87.41,4.1704301834106445,7171.45,6507.039999999999
mnasnet1_0,Pruning,7929.58,2.09,2.09,9.52,9.52,9.000321678321678,105.0420168067227,0.14,3.66,77.76,3.8245849609375,6806.799999999999,6435.23
mnasnet1_0,Distillation,8528.39,2.38,2.38,10.41,10.41,9.54781818181818,96.06147934678194,0.14,3.94,81.54,4.109734535217285,7443.150000000001,6826.689999999999
resnet18,Base,7207.65,1.13,1.13,8.55,8.55,8.950629370629372,116.95906432748536,0.14,10.97,94.69,10.106151580810547,6113.250000000001,6399.700000000001
resnet18,Pruning,7092.56,1.02,1.02,8.49,8.49,8.899664335664337,117.78563015312132,0.14,9.62,64.62,9.336134910583496,6070.35,6363.260000000001
resnet18,Distillation,7816.31,1.16,1.16,9.37,9.37,9.771902097902098,106.72358591248668,0.14,10.97,85.87,9.941035270690918,6699.549999999999,6986.91
mobilenet_v2,Base,7721.54,1.69,1.69,9.23,9.23,9.109356643356644,108.34236186348862,0.14,2.84,64.9,3.401988983154297,6599.450000000001,6513.1900000000005
mobilenet_v2,Pruning,7563.92,1.62,1.62,9.17,9.17,8.958909090909092,109.05125408942205,0.14,2.58,68.95,3.3319292068481445,6556.55,6405.620000000001
mobilenet_v2,Distillation,7843.51,1.68,1.68,9.48,9.48,9.289944055944057,105.48523206751054,0.14,2.84,64.34,3.2358808517456055,6778.200000000001,6642.31
efficientnet_b0,Base,26811.71,27.68,27.68,35.99,35.99,9.818895104895104,27.78549597110308,0.44,4.36,63.36,6.106398582458496,25732.850000000002,7020.509999999999
efficientnet_b0,Pruning,24453.2,24.96,24.96,32.7,32.7,9.240279720279725,30.58103975535168,0.54,3.67,59.02,5.588894844055176,23380.500000000004,6606.800000000003
efficientnet_b0,Distillation,26224.02,27.12,27.12,35.19,35.19,9.556951048951046,28.41716396703609,0.21,4.48,63.36,5.856590270996094,25160.85,6833.2199999999975
mnasnet1_0,Base,7938.02,2.38,2.38,9.59,9.59,8.722125874125876,104.2752867570386,0.14,3.94,87.41,4.1704301834106445,6856.849999999999,6236.3200000000015
mnasnet1_0,Pruning,8022.55,2.09,2.09,9.76,9.76,9.13034965034965,102.45901639344262,0.14,3.66,77.76,3.8245849609375,6978.4,6528.2
mnasnet1_0,Distillation,8435.17,2.39,2.39,10.35,10.35,9.40744055944056,96.61835748792272,0.14,3.94,81.54,4.109734535217285,7400.25,6726.320000000001
resnet18,Base,7095.17,1.15,1.15,8.45,8.45,8.773314685314686,118.3431952662722,0.14,10.97,94.69,10.106151580810547,6041.749999999999,6272.92
resnet18,Pruning,7212.12,1.02,1.02,8.63,8.63,9.06688111888112,115.87485515643104,0.14,9.62,64.62,9.336134910583496,6170.450000000001,6482.8200000000015
resnet18,Distillation,7561.84,1.17,1.17,9.13,9.13,9.406,109.5290251916758,0.14,10.97,85.87,9.941035270690918,6527.950000000001,6725.29
mobilenet_v2,Base,7436.02,1.69,1.69,8.93,8.93,8.710027972027973,111.98208286674132,0.14,2.84,64.9,3.401988983154297,6384.95,6227.670000000001
mobilenet_v2,Pruning,7565.13,1.62,1.62,9.16,9.16,8.960601398601398,109.17030567685588,0.14,2.58,68.95,3.3319292068481445,6549.400000000001,6406.829999999999
mobilenet_v2,Distillation,8460.51,1.69,1.69,10.32,10.32,10.14288111888112,96.89922480620154,0.14,2.84,64.34,3.2358808517456055,7378.8,7252.16
efficientnet_b0,Base,26484.23,27.68,27.68,35.56,35.56,9.360881118881116,28.1214848143982,0.44,4.36,63.36,6.106398582458496,25425.4,6693.029999999998
efficientnet_b0,Pruning,24679.11,24.96,24.96,33.07,33.07,9.556237762237764,30.23888720895071,0.54,3.67,59.02,5.588894844055176,23645.05,6832.710000000001
efficientnet_b0,Distillation,26260.59,27.12,27.12,35.09,35.09,9.6080979020979,28.49814762040467,0.21,4.48,63.36,5.856590270996094,25089.350000000002,6869.789999999998
mnasnet1_0,Base,8176.41,2.38,2.38,9.94,9.94,9.05553846153846,100.6036217303823,0.14,3.94,87.41,4.1704301834106445,7107.099999999999,6474.709999999998
mnasnet1_0,Pruning,7829.26,2.09,2.09,9.47,9.47,8.860013986013987,105.59662090813092,0.14,3.66,77.76,3.8245849609375,6771.05,6334.910000000001
mnasnet1_0,Distillation,8312.09,2.38,2.38,10.18,10.18,9.2453006993007,98.23182711198427,0.14,3.94,81.54,4.109734535217285,7278.7,6610.39
resnet18,Base,7129.49,1.15,1.15,8.53,8.53,8.821314685314684,117.2332942555686,0.14,10.97,94.69,10.106151580810547,6098.95,6307.239999999999
resnet18,Pruning,7415.18,1.07,1.07,8.92,8.92,9.30088111888112,112.10762331838563,0.14,9.62,64.62,9.336134910583496,6377.8,6650.130000000001
resnet18,Distillation,7402.23,1.21,1.21,8.92,8.92,9.142769230769227,112.10762331838563,0.14,10.97,85.87,9.941035270690918,6377.8,6537.079999999997
mobilenet_v2,Base,7443.07,1.69,1.69,8.9,8.9,8.719888111888112,112.35955056179776,0.14,2.84,64.9,3.401988983154297,6363.5,6234.72
mobilenet_v2,Pruning,7707.0,1.64,1.64,9.31,9.31,9.139020979020978,107.41138560687432,0.14,2.58,68.95,3.3319292068481445,6656.650000000001,6534.4
mobilenet_v2,Distillation,7844.41,1.71,1.71,9.47,9.47,9.261202797202795,105.59662090813092,0.14,2.84,64.34,3.2358808517456055,6771.05,6621.759999999998
efficientnet_b0,Base,26725.15,27.68,27.68,35.88,35.88,9.697832167832168,27.870680044593087,0.44,4.36,63.36,6.106398582458496,25654.2,6933.95
efficientnet_b0,Pruning,24706.87,24.96,24.96,33.07,33.07,9.595062937062934,30.23888720895071,0.54,3.67,59.02,5.588894844055176,23645.05,6860.469999999998
efficientnet_b0,Distillation,26579.74,27.12,27.12,35.65,35.65,10.054461538461542,28.050490883590463,0.21,4.48,63.36,5.856590270996094,25489.75,7188.940000000002
mnasnet1_0,Base,8074.17,2.38,2.38,9.81,9.81,8.912545454545455,101.9367991845056,0.14,3.94,87.41,4.1704301834106445,7014.150000000001,6372.47
mnasnet1_0,Pruning,8057.33,2.09,2.09,9.81,9.81,9.178993006993007,101.9367991845056,0.14,3.66,77.76,3.8245849609375,7014.150000000001,6562.9800000000005
mnasnet1_0,Distillation,8298.2,2.4,2.4,10.19,10.19,9.205874125874129,98.13542688910697,0.14,3.94,81.54,4.109734535217285,7285.849999999999,6582.200000000002
resnet18,Base,7189.11,1.12,1.12,8.52,8.52,8.9346993006993,117.37089201877934,0.14,10.97,94.69,10.106151580810547,6091.799999999999,6388.3099999999995
resnet18,Pruning,7389.2,1.01,1.01,8.9,8.9,9.324545454545454,112.35955056179776,0.14,9.62,64.62,9.336134910583496,6363.5,6667.05
resnet18,Distillation,7619.09,1.16,1.16,9.15,9.15,9.49606993006993,109.2896174863388,0.14,10.97,85.87,9.941035270690918,6542.25,6789.6900000000005
mobilenet_v2,Base,7643.89,1.7,1.7,9.23,9.23,8.990755244755245,108.34236186348862,0.14,2.84,64.9,3.401988983154297,6599.450000000001,6428.39
mobilenet_v2,Pruning,8157.7,1.62,1.62,9.92,9.92,9.78937062937063,100.80645161290325,0.14,2.58,68.95,3.3319292068481445,7092.8,6999.400000000001
mobilenet_v2,Distillation,7786.84,1.73,1.73,9.42,9.42,9.160685314685317,106.15711252653928,0.14,2.84,64.34,3.2358808517456055,6735.3,6549.890000000001
efficientnet_b0,Base,26579.04,27.68,27.68,35.66,35.66,9.49348251748252,28.04262478968032,0.44,4.36,63.36,6.106398582458496,25496.899999999998,6787.840000000001
efficientnet_b0,Pruning,24672.04,24.96,24.96,33.02,33.02,9.546349650349647,30.28467595396729,0.54,3.67,59.02,5.588894844055176,23609.300000000003,6825.639999999998
efficientnet_b0,Distillation,26292.88,27.12,27.12,35.25,35.25,9.653258741258744,28.368794326241133,0.21,4.48,63.36,5.856590270996094,25203.75,6902.080000000002
mnasnet1_0,Base,8155.92,2.38,2.38,9.96,9.96,9.026881118881118,100.4016064257028,0.14,3.94,87.41,4.1704301834106445,7121.400000000001,6454.219999999999
mnasnet1_0,Pruning,8039.46,2.1,2.1,9.77,9.77,9.144,102.3541453428864,0.14,3.66,77.76,3.8245849609375,6985.549999999999,6537.96
mnasnet1_0,Distillation,8350.73,2.38,2.38,10.16,10.16,9.299342657342656,98.4251968503937,0.14,3.94,81.54,4.109734535217285,7264.400000000001,6649.029999999999
resnet18,Base,7070.36,1.15,1.15,8.43,8.43,8.738615384615384,118.62396204033216,0.14,10.97,94.69,10.106151580810547,6027.45,6248.11
resnet18,Pruning,7102.03,1.05,1.05,8.47,8.47,8.88290909090909,118.06375442739078,0.14,9.62,64.62,9.336134910583496,6056.05,6351.279999999999
resnet18,Distillation,7235.3,1.19,1.19,8.7,8.7,8.9293006993007,114.9425287356322,0.14,10.97,85.87,9.941035270690918,6220.499999999999,6384.450000000001
mobilenet_v2,Base,7392.25,1.68,1.68,8.88,8.88,8.658811188811189,112.6126126126126,0.14,2.84,64.9,3.401988983154297,6349.200000000001,6191.05
mobilenet_v2,Pruning,8037.43,1.63,1.63,9.75,9.75,9.61116083916084,102.56410256410255,0.14,2.58,68.95,3.3319292068481445,6971.25,6871.9800000000005
mobilenet_v2,Distillation,7872.76,1.71,1.71,9.61,9.61,9.300853146853148,104.0582726326743,0.14,2.84,64.34,3.2358808517456055,6871.15,6650.1100000000015
efficientnet_b0,Base,26592.45,27.68,27.68,35.69,35.69,9.512237762237769,28.01905295601009,0.44,4.36,63.36,6.106398582458496,25518.35,6801.250000000005
efficientnet_b0,Pruning,25192.96,24.96,24.96,33.75,33.75,10.274909090909093,29.62962962962963,0.54,3.67,59.02,5.588894844055176,24131.25,7346.560000000001
efficientnet_b0,Distillation,27041.21,27.12,27.12,36.36,36.36,10.69987412587412,27.502750275027505,0.21,4.48,63.36,5.856590270996094,25997.399999999998,7650.409999999995
mnasnet1_0,Base,7969.7,2.38,2.38,9.65,9.65,8.766433566433566,103.62694300518136,0.14,3.94,87.41,4.1704301834106445,6899.75,6268.0
mnasnet1_0,Pruning,9005.65,2.09,2.09,11.14,11.14,10.505314685314683,89.76660682226212,0.14,3.66,77.76,3.8245849609375,7965.1,7511.299999999998
mnasnet1_0,Distillation,8049.68,2.37,2.37,9.79,9.79,8.888293706293705,102.1450459652707,0.14,3.94,81.54,4.109734535217285,6999.849999999999,6355.129999999999
resnet18,Base,7056.28,1.14,1.14,8.43,8.43,8.728923076923076,118.62396204033216,0.14,10.97,94.69,10.106151580810547,6027.45,6241.179999999999
resnet18,Pruning,7179.88,1.04,1.04,8.53,8.53,9.001790209790212,117.2332942555686,0.14,9.62,64.62,9.336134910583496,6098.95,6436.280000000002
