Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,FPS,Peak Memory,Peak Memory Accelerator,Accuracy,Weights Memory,Total kernel run time,Total Overhead
resnet18,Base,9272.0,1.12,1.12,11.07,11.07,11.847832167832166,90.33423667570008,0.14,10.97,94.69,10.106151580810547,7915.05,8471.199999999999
resnet18,Pruning,9906.75,1.01,1.01,11.97,11.97,12.845594405594406,83.5421888053467,0.14,9.62,64.62,9.336134910583496,8558.550000000001,9184.6
resnet18,Distillation,9443.29,1.15,1.15,11.32,11.32,12.057398601398605,88.33922261484099,0.14,10.97,85.87,9.941035270690918,8093.8,8621.040000000003
mobilenet_v2,Base,10262.02,1.68,1.68,12.42,12.42,12.672475524475525,80.51529790660226,0.14,2.84,64.9,3.401988983154297,8880.3,9060.82
mobilenet_v2,Pruning,9951.66,1.61,1.61,12.02,12.02,12.308405594405595,83.19467554076539,0.14,2.58,68.95,3.3319292068481445,8594.3,8800.51
mobilenet_v2,Distillation,10429.99,1.68,1.68,12.68,12.68,12.9073986013986,78.86435331230284,0.14,2.84,64.34,3.2358808517456055,9066.199999999999,9228.789999999999
efficientnet_b0,Base,28827.0,27.68,27.68,38.37,38.37,12.637482517482518,26.062027625749284,0.44,4.36,63.36,6.106398582458496,27434.55,9035.8
efficientnet_b0,Pruning,27647.1,24.96,24.96,36.65,36.65,13.707272727272724,27.285129604365626,0.54,3.67,59.02,5.588894844055176,26204.75,9800.699999999997
efficientnet_b0,Distillation,28345.66,27.13,27.13,37.73,37.73,12.51427972027972,26.5041081367612,0.21,4.48,63.36,5.856590270996094,26976.949999999997,8947.710000000001
mnasnet1_0,Base,10544.99,2.38,2.38,12.82,12.82,12.368237762237762,78.003120124805,0.14,3.94,87.41,4.1704301834106445,9166.300000000001,8843.289999999999
mnasnet1_0,Pruning,10419.73,2.09,2.09,12.69,12.69,12.48304895104895,78.80220646178093,0.14,3.66,77.76,3.8245849609375,9073.35,8925.38
mnasnet1_0,Distillation,10558.52,2.38,2.38,12.86,12.86,12.387160839160838,77.76049766718508,0.14,3.94,81.54,4.109734535217285,9194.9,8856.82
resnet18,Base,9641.18,1.12,1.12,11.55,11.55,12.364167832167832,86.58008658008657,0.14,10.97,94.69,10.106151580810547,8258.25,8840.38
resnet18,Pruning,9345.31,1.01,1.01,11.2,11.2,12.060363636363636,89.28571428571429,0.14,9.62,64.62,9.336134910583496,8007.999999999999,8623.16
resnet18,Distillation,9523.76,1.14,1.14,11.43,11.43,12.179944055944055,87.48906386701663,0.14,10.97,85.87,9.941035270690918,8172.45,8708.66
mobilenet_v2,Base,9964.3,1.68,1.68,12.05,12.05,12.256083916083917,82.9875518672199,0.14,2.84,64.9,3.401988983154297,8615.75,8763.1
mobilenet_v2,Pruning,10085.14,1.61,1.61,12.19,12.19,12.495090909090909,82.03445447087778,0.14,2.58,68.95,3.3319292068481445,8715.85,8933.99
mobilenet_v2,Distillation,10250.62,1.68,1.68,12.41,12.41,12.65653146853147,80.58017727639,0.14,2.84,64.34,3.2358808517456055,8873.15,9049.420000000002
efficientnet_b0,Base,28572.57,27.68,27.68,38.03,38.03,12.281636363636366,26.29503023928477,0.44,4.36,63.36,6.106398582458496,27191.45,8781.370000000003
efficientnet_b0,Pruning,27680.88,24.96,24.96,36.77,36.77,13.754517482517484,27.19608376393799,0.54,3.67,59.02,5.588894844055176,26290.550000000003,9834.480000000001
efficientnet_b0,Distillation,29531.22,27.13,27.13,39.37,39.37,14.1724055944056,25.400050800101603,0.21,4.48,63.36,5.856590270996094,28149.55,10133.270000000004
mnasnet1_0,Base,12497.42,2.38,2.38,15.6,15.6,15.098909090909093,64.1025641025641,0.14,3.94,87.41,4.1704301834106445,11154.0,10795.720000000001
mnasnet1_0,Pruning,10235.97,2.09,2.09,12.4,12.4,12.226041958041955,80.64516129032258,0.14,3.66,77.76,3.8245849609375,8866.0,8741.619999999999
mnasnet1_0,Distillation,10576.29,2.38,2.38,12.88,12.88,12.412013986013989,77.63975155279503,0.14,3.94,81.54,4.109734535217285,9209.2,8874.590000000002
resnet18,Base,9440.26,1.12,1.12,11.29,11.29,12.08316083916084,88.57395925597875,0.14,10.97,94.69,10.106151580810547,8072.349999999999,8639.460000000001
resnet18,Pruning,9309.8,1.01,1.01,11.14,11.14,12.0106993006993,89.76660682226212,0.14,9.62,64.62,9.336134910583496,7965.1,8587.65
resnet18,Distillation,9701.35,1.15,1.15,11.67,11.67,12.41832167832168,85.6898029134533,0.14,10.97,85.87,9.941035270690918,8344.05,8879.100000000002
mobilenet_v2,Base,9733.57,1.68,1.68,11.72,11.72,11.933384615384616,85.32423208191126,0.14,2.84,64.9,3.401988983154297,8379.800000000001,8532.37
mobilenet_v2,Pruning,10017.4,1.61,1.61,12.13,12.13,12.40034965034965,82.44023083264632,0.14,2.58,68.95,3.3319292068481445,8672.95,8866.25
mobilenet_v2,Distillation,10358.29,1.68,1.68,12.57,12.57,12.807118881118882,79.55449482895783,0.14,2.84,64.34,3.2358808517456055,8987.550000000001,9157.09
efficientnet_b0,Base,28606.13,27.68,27.68,38.06,38.06,12.328573426573428,26.27430373095113,0.44,4.36,63.36,6.106398582458496,27212.9,8814.93
efficientnet_b0,Pruning,26750.19,24.96,24.96,35.49,35.49,12.452853146853144,28.17695125387433,0.54,3.67,59.02,5.588894844055176,25375.350000000002,8903.789999999997
efficientnet_b0,Distillation,28648.5,27.13,27.13,38.14,38.14,12.937832167832166,26.219192448872576,0.21,4.48,63.36,5.856590270996094,27270.100000000002,9250.55
mnasnet1_0,Base,10406.43,2.38,2.38,12.66,12.66,12.174447552447552,78.98894154818325,0.14,3.94,87.41,4.1704301834106445,9051.9,8704.73
mnasnet1_0,Pruning,10142.54,2.09,2.09,12.31,12.31,12.095370629370631,81.23476848090982,0.14,3.66,77.76,3.8245849609375,8801.65,8648.19
mnasnet1_0,Distillation,10892.36,2.38,2.38,13.32,13.32,12.85406993006993,75.07507507507508,0.14,3.94,81.54,4.109734535217285,9523.800000000001,9190.66
resnet18,Base,9262.83,1.12,1.12,11.06,11.06,11.835006993006992,90.41591320072332,0.14,10.97,94.69,10.106151580810547,7907.900000000001,8462.029999999999
