Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,FPS,Peak Memory,Peak Memory Accelerator,Accuracy,Weights Memory,Total kernel run time,Total Overhead
resnet18,Base,6498.52,1.17,1.17,7.6,7.6,7.918839160839161,131.57894736842107,0.14,10.97,94.69,10.106151580810547,5434.0,5661.97
resnet18,Pruning,6655.24,1.13,1.13,7.84,7.84,8.178027972027973,127.55102040816328,0.14,9.62,64.62,9.336134910583496,5605.599999999999,5847.290000000001
resnet18,Distillation,7684.23,1.27,1.27,9.33,9.33,9.477174825174824,107.18113612004286,0.14,10.97,85.87,9.941035270690918,6670.95,6776.179999999999
mobilenet_v2,Base,7112.04,1.72,1.72,8.41,8.41,8.226909090909091,118.90606420927467,0.14,2.84,64.9,3.401988983154297,6013.150000000001,5882.24
mobilenet_v2,Pruning,7216.84,1.67,1.67,8.61,8.61,8.423482517482517,116.14401858304298,0.14,2.58,68.95,3.3319292068481445,6156.15,6022.79
mobilenet_v2,Distillation,7242.09,1.73,1.73,8.65,8.65,8.398797202797203,115.60693641618496,0.14,2.84,64.34,3.2358808517456055,6184.75,6005.14
efficientnet_b0,Base,25710.93,27.68,27.68,34.56,34.56,8.27934265734266,28.935185185185183,0.44,4.36,63.36,6.106398582458496,24710.4,5919.730000000002
efficientnet_b0,Pruning,23985.28,24.96,24.96,32.09,32.09,8.585846153846148,31.16235587410408,0.54,3.67,59.02,5.588894844055176,22944.350000000002,6138.8799999999965
efficientnet_b0,Distillation,25399.92,27.12,27.12,34.15,34.15,8.40436363636363,29.28257686676428,0.21,4.48,63.36,5.856590270996094,24417.25,6009.119999999995
mnasnet1_0,Base,7565.47,2.4,2.4,9.07,9.07,8.181076923076922,110.25358324145536,0.14,3.94,87.41,4.1704301834106445,6485.05,5849.469999999999
mnasnet1_0,Pruning,7550.21,2.15,2.15,9.05,9.05,8.409734265734265,110.49723756906076,0.14,3.66,77.76,3.8245849609375,6470.750000000001,6012.959999999999
mnasnet1_0,Distillation,7697.21,2.4,2.4,9.27,9.27,8.36532867132867,107.87486515641856,0.14,3.94,81.54,4.109734535217285,6628.049999999999,5981.21
resnet18,Base,7428.4,1.25,1.25,8.74,8.74,9.139370629370628,114.41647597254004,0.14,10.97,94.69,10.106151580810547,6249.1,6534.649999999999
resnet18,Pruning,8178.84,1.19,1.19,9.78,9.78,10.248937062937063,102.24948875255625,0.14,9.62,64.62,9.336134910583496,6992.7,7327.990000000001
resnet18,Distillation,6972.65,1.25,1.25,8.24,8.24,8.50195804195804,121.35922330097088,0.14,10.97,85.87,9.941035270690918,5891.6,6078.899999999999
mobilenet_v2,Base,7349.99,1.77,1.77,8.79,8.79,8.509706293706294,113.7656427758817,0.14,2.84,64.9,3.401988983154297,6284.849999999999,6084.4400000000005
mobilenet_v2,Pruning,7172.15,1.66,1.66,8.56,8.56,8.37097902097902,116.82242990654206,0.14,2.58,68.95,3.3319292068481445,6120.400000000001,5985.249999999999
mobilenet_v2,Distillation,8822.66,1.82,1.82,10.66,10.66,10.519384615384617,93.80863039399624,0.14,2.84,64.34,3.2358808517456055,7621.900000000001,7521.360000000001
efficientnet_b0,Base,25233.6,27.68,27.68,33.85,33.85,7.611748251748253,29.542097488921712,0.44,4.36,63.36,6.106398582458496,24202.75,5442.400000000001
efficientnet_b0,Pruning,24181.57,24.96,24.96,32.33,32.33,8.86037762237762,30.93102381688834,0.54,3.67,59.02,5.588894844055176,23115.949999999997,6335.169999999998
efficientnet_b0,Distillation,25397.66,27.12,27.12,34.11,34.11,8.401202797202796,29.31691586045148,0.21,4.48,63.36,5.856590270996094,24388.649999999998,6006.859999999999
mnasnet1_0,Base,7705.01,2.43,2.43,9.3,9.3,8.346237762237763,107.5268817204301,0.14,3.94,87.41,4.1704301834106445,6649.500000000001,5967.56
mnasnet1_0,Pruning,7390.19,2.13,2.13,8.89,8.89,8.20593006993007,112.4859392575928,0.14,3.66,77.76,3.8245849609375,6356.35,5867.24
mnasnet1_0,Distillation,7927.92,2.44,2.44,9.62,9.62,8.648000000000001,103.95010395010397,0.14,3.94,81.54,4.109734535217285,6878.299999999999,6183.320000000001
resnet18,Base,6855.68,1.22,1.22,8.15,8.15,8.368363636363636,122.69938650306749,0.14,10.97,94.69,10.106151580810547,5827.25,5983.38
resnet18,Pruning,6977.65,1.12,1.12,8.35,8.35,8.63895104895105,119.76047904191616,0.14,9.62,64.62,9.336134910583496,5970.25,6176.85
resnet18,Distillation,7021.11,1.2,1.2,8.27,8.27,8.619734265734266,120.91898428053204,0.14,10.97,85.87,9.941035270690918,5913.049999999999,6163.110000000001
mobilenet_v2,Base,7341.88,1.77,1.77,8.8,8.8,8.498363636363637,113.63636363636364,0.14,2.84,64.9,3.401988983154297,6292.000000000001,6076.33
mobilenet_v2,Pruning,7586.4,1.65,1.65,9.14,9.14,8.960349650349649,109.40919037199124,0.14,2.58,68.95,3.3319292068481445,6535.1,6406.649999999999
mobilenet_v2,Distillation,7412.1,1.75,1.75,8.89,8.89,8.616573426573428,112.4859392575928,0.14,2.84,64.34,3.2358808517456055,6356.35,6160.850000000001
efficientnet_b0,Base,25443.55,27.68,27.68,34.18,34.18,7.905384615384612,29.256875365710943,0.44,4.36,63.36,6.106398582458496,24438.7,5652.349999999998
efficientnet_b0,Pruning,23752.33,24.96,24.96,31.88,31.88,8.26004195804196,31.36762860727729,0.54,3.67,59.02,5.588894844055176,22794.2,5905.930000000001
efficientnet_b0,Distillation,25460.49,27.12,27.12,34.17,34.17,8.489076923076926,29.2654375182909,0.21,4.48,63.36,5.856590270996094,24431.550000000003,6069.690000000002
mnasnet1_0,Base,7704.7,2.44,2.44,9.32,9.32,8.335804195804196,107.2961373390558,0.14,3.94,87.41,4.1704301834106445,6663.8,5960.099999999999
mnasnet1_0,Pruning,7676.79,2.14,2.14,9.23,9.23,8.59676923076923,108.34236186348862,0.14,3.66,77.76,3.8245849609375,6599.450000000001,6146.69
mnasnet1_0,Distillation,8023.3,2.42,2.42,9.68,9.68,8.801398601398601,103.30578512396694,0.14,3.94,81.54,4.109734535217285,6921.2,6293.0
resnet18,Base,6689.92,1.22,1.22,7.79,7.79,8.136531468531468,128.36970474967907,0.14,10.97,94.69,10.106151580810547,5569.85,5817.619999999999
resnet18,Pruning,6977.52,1.06,1.06,8.24,8.24,8.698769230769232,121.35922330097088,0.14,9.62,64.62,9.336134910583496,5891.6,6219.620000000001
resnet18,Distillation,7100.72,1.21,1.21,8.44,8.44,8.721076923076925,118.48341232227487,0.14,10.97,85.87,9.941035270690918,6034.599999999999,6235.5700000000015
mobilenet_v2,Base,8334.97,1.82,1.82,9.98,9.98,9.837300699300698,100.2004008016032,0.14,2.84,64.9,3.401988983154297,7135.700000000001,7033.669999999999
mobilenet_v2,Pruning,7527.32,1.66,1.66,8.99,8.99,8.86772027972028,111.23470522803116,0.14,2.58,68.95,3.3319292068481445,6427.85,6340.42
mobilenet_v2,Distillation,7538.42,1.73,1.73,9.1,9.1,8.813244755244755,109.8901098901099,0.14,2.84,64.34,3.2358808517456055,6506.5,6301.469999999999
efficientnet_b0,Base,25541.45,27.68,27.68,34.29,34.29,8.042307692307695,29.163021289005545,0.44,4.36,63.36,6.106398582458496,24517.35,5750.250000000002
efficientnet_b0,Pruning,23658.65,24.96,24.96,31.66,31.66,8.129020979020979,31.58559696778269,0.54,3.67,59.02,5.588894844055176,22636.9,5812.25
efficientnet_b0,Distillation,25472.12,27.12,27.12,34.24,34.24,8.505342657342656,29.205607476635517,0.21,4.48,63.36,5.856590270996094,24481.600000000002,6081.319999999999
mnasnet1_0,Base,7821.87,2.4,2.4,9.47,9.47,8.539678321678322,105.59662090813092,0.14,3.94,87.41,4.1704301834106445,6771.05,6105.87
mnasnet1_0,Pruning,7822.92,2.13,2.13,9.36,9.36,8.811146853146852,106.83760683760684,0.14,3.66,77.76,3.8245849609375,6692.4,6299.969999999999
mnasnet1_0,Distillation,8829.7,2.42,2.42,10.76,10.76,9.92923076923077,92.93680297397768,0.14,3.94,81.54,4.109734535217285,7693.4,7099.400000000001
resnet18,Base,7185.15,1.21,1.21,8.57,8.57,8.83916083916084,116.68611435239208,0.14,10.97,94.69,10.106151580810547,6127.55,6320.000000000001
resnet18,Pruning,7139.26,1.06,1.06,8.52,8.52,8.924979020979022,117.37089201877934,0.14,9.62,64.62,9.336134910583496,6091.799999999999,6381.360000000001
resnet18,Distillation,7148.52,1.24,1.24,8.42,8.42,8.75793006993007,118.76484560570071,0.14,10.97,85.87,9.941035270690918,6020.3,6261.92
mobilenet_v2,Base,7688.34,1.81,1.81,9.2,9.2,8.942923076923076,108.69565217391305,0.14,2.84,64.9,3.401988983154297,6577.999999999999,6394.19
mobilenet_v2,Pruning,7461.96,1.68,1.68,9.0,9.0,8.756307692307693,111.11111111111111,0.14,2.58,68.95,3.3319292068481445,6435.0,6260.760000000001
mobilenet_v2,Distillation,8047.97,1.76,1.76,9.56,9.56,9.495902097902098,104.60251046025104,0.14,2.84,64.34,3.2358808517456055,6835.400000000001,6789.57
efficientnet_b0,Base,25436.36,27.68,27.68,34.19,34.19,7.89532867132867,29.24831822170225,0.44,4.36,63.36,6.106398582458496,24445.85,5645.159999999999
efficientnet_b0,Pruning,23906.85,24.96,24.96,32.03,32.03,8.476153846153842,31.220730565095224,0.54,3.67,59.02,5.588894844055176,22901.45,6060.449999999997
efficientnet_b0,Distillation,25481.43,27.12,27.12,34.19,34.19,8.518363636363635,29.24831822170225,0.21,4.48,63.36,5.856590270996094,24445.85,6090.629999999998
mnasnet1_0,Base,7691.98,2.41,2.41,9.33,9.33,8.348013986013985,107.18113612004286,0.14,3.94,87.41,4.1704301834106445,6670.95,5968.829999999999
mnasnet1_0,Pruning,7525.92,2.12,2.12,9.07,9.07,8.40576223776224,110.25358324145536,0.14,3.66,77.76,3.8245849609375,6485.05,6010.120000000001
mnasnet1_0,Distillation,7976.62,2.44,2.44,9.74,9.74,8.716111888111888,102.6694045174538,0.14,3.94,81.54,4.109734535217285,6964.1,6232.0199999999995
resnet18,Base,6777.71,1.21,1.21,8.0,8.0,8.269314685314686,125.0,0.14,10.97,94.69,10.106151580810547,5720.0,5912.56
resnet18,Pruning,7123.75,1.15,1.15,8.44,8.44,8.813286713286713,118.48341232227487,0.14,9.62,64.62,9.336134910583496,6034.599999999999,6301.5
resnet18,Distillation,6894.8,1.21,1.21,8.16,8.16,8.433076923076925,122.54901960784314,0.14,10.97,85.87,9.941035270690918,5834.400000000001,6029.6500000000015
mobilenet_v2,Base,7202.56,1.76,1.76,8.59,8.59,8.31351048951049,116.41443538998836,0.14,2.84,64.9,3.401988983154297,6141.849999999999,5944.16
mobilenet_v2,Pruning,8373.26,1.73,1.73,10.07,10.07,9.980853146853146,99.30486593843098,0.14,2.58,68.95,3.3319292068481445,7200.05,7136.3099999999995
mobilenet_v2,Distillation,7856.95,1.82,1.82,9.45,9.45,9.168741258741258,105.82010582010582,0.14,2.84,64.34,3.2358808517456055,6756.749999999999,6555.65
efficientnet_b0,Base,25825.69,27.68,27.68,34.69,34.69,8.439846153846155,28.826751225136928,0.44,4.36,63.36,6.106398582458496,24803.35,6034.490000000001
efficientnet_b0,Pruning,23629.28,24.96,24.96,31.67,31.67,8.087944055944057,31.575623618566464,0.54,3.67,59.02,5.588894844055176,22644.050000000003,5782.880000000001
efficientnet_b0,Distillation,25722.91,27.12,27.12,34.53,34.53,8.856097902097904,28.960324355632785,0.21,4.48,63.36,5.856590270996094,24688.95,6332.1100000000015
mnasnet1_0,Base,8336.51,2.41,2.41,10.16,10.16,9.249454545454546,98.4251968503937,0.14,3.94,87.41,4.1704301834106445,7264.400000000001,6613.36
mnasnet1_0,Pruning,7631.86,2.12,2.12,9.11,9.11,8.553930069930068,109.7694840834248,0.14,3.66,77.76,3.8245849609375,6513.65,6116.059999999999
mnasnet1_0,Distillation,9085.28,2.42,2.42,11.13,11.13,10.286685314685316,89.84725965858041,0.14,3.94,81.54,4.109734535217285,7957.950000000001,7354.980000000001
resnet18,Base,7196.21,1.21,1.21,8.55,8.55,8.854629370629372,116.95906432748536,0.14,10.97,94.69,10.106151580810547,6113.250000000001,6331.06
resnet18,Pruning,7672.35,1.15,1.15,9.1,9.1,9.58055944055944,109.8901098901099,0.14,9.62,64.62,9.336134910583496,6506.5,6850.1
resnet18,Distillation,8341.95,1.25,1.25,9.96,9.96,10.41706293706294,100.4016064257028,0.14,10.97,85.87,9.941035270690918,7121.400000000001,7448.200000000003
mobilenet_v2,Base,7697.96,1.77,1.77,9.15,9.15,8.996377622377622,109.2896174863388,0.14,2.84,64.9,3.401988983154297,6542.25,6432.41
mobilenet_v2,Pruning,7584.15,1.65,1.65,9.05,9.05,8.957202797202797,110.49723756906076,0.14,2.58,68.95,3.3319292068481445,6470.750000000001,6404.4
mobilenet_v2,Distillation,7574.46,1.73,1.73,9.07,9.07,8.86365034965035,110.25358324145536,0.14,2.84,64.34,3.2358808517456055,6485.05,6337.51
efficientnet_b0,Base,25454.62,27.68,27.68,34.18,34.18,7.92086713286713,29.256875365710943,0.44,4.36,63.36,6.106398582458496,24438.7,5663.419999999998
efficientnet_b0,Pruning,24187.06,24.96,24.96,32.31,32.31,8.868055944055946,30.95017022593624,0.54,3.67,59.02,5.588894844055176,23101.65,6340.660000000002
efficientnet_b0,Distillation,25772.67,27.12,27.12,34.61,34.61,8.925692307692305,28.89338341519792,0.21,4.48,63.36,5.856590270996094,24746.149999999998,6381.869999999998
mnasnet1_0,Base,7665.74,2.43,2.43,9.16,9.16,8.291314685314685,109.17030567685588,0.14,3.94,87.41,4.1704301834106445,6549.400000000001,5928.29
mnasnet1_0,Pruning,7702.97,2.16,2.16,9.22,9.22,8.613384615384616,108.45986984815616,0.14,3.66,77.76,3.8245849609375,6592.3,6158.570000000001
mnasnet1_0,Distillation,8201.22,2.4,2.4,9.96,9.96,9.07023776223776,100.4016064257028,0.14,3.94,81.54,4.109734535217285,7121.400000000001,6485.219999999998
resnet18,Base,10661.37,1.26,1.26,13.2,13.2,13.651006993006996,75.75757575757576,0.14,10.97,94.69,10.106151580810547,9438.0,9760.470000000003
resnet18,Pruning,7353.71,1.16,1.16,8.67,8.67,9.12490909090909,115.34025374855824,0.14,9.62,64.62,9.336134910583496,6199.05,6524.3099999999995
resnet18,Distillation,7183.65,1.23,1.23,8.48,8.48,8.817062937062936,117.92452830188678,0.14,10.97,85.87,9.941035270690918,6063.200000000001,6304.199999999999
mobilenet_v2,Base,7176.7,1.73,1.73,8.51,8.51,8.307342657342657,117.50881316098707,0.14,2.84,64.9,3.401988983154297,6084.65,5939.75
mobilenet_v2,Pruning,7493.9,1.7,1.7,8.91,8.91,8.780979020979021,112.2334455667789,0.14,2.58,68.95,3.3319292068481445,6370.650000000001,6278.400000000001
mobilenet_v2,Distillation,7628.8,1.73,1.73,9.23,9.23,8.93965034965035,108.34236186348862,0.14,2.84,64.34,3.2358808517456055,6599.450000000001,6391.85
efficientnet_b0,Base,25674.14,27.68,27.68,34.47,34.47,8.227888111888113,29.010733971569483,0.44,4.36,63.36,6.106398582458496,24646.05,5882.9400000000005
efficientnet_b0,Pruning,24144.98,24.96,24.96,32.22,32.22,8.809202797202794,31.036623215394165,0.54,3.67,59.02,5.588894844055176,23037.3,6298.579999999997
efficientnet_b0,Distillation,25642.54,27.12,27.12,34.37,34.37,8.74369230769231,29.095141111434398,0.21,4.48,63.36,5.856590270996094,24574.55,6251.740000000002
mnasnet1_0,Base,7770.43,2.42,2.42,9.35,9.35,8.447734265734265,106.951871657754,0.14,3.94,87.41,4.1704301834106445,6685.25,6040.13
mnasnet1_0,Pruning,8444.98,2.16,2.16,10.16,10.16,9.651160839160838,98.4251968503937,0.14,3.66,77.76,3.8245849609375,7264.400000000001,6900.579999999999
