Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,FPS,Peak Memory,Peak Memory Accelerator,Accuracy,Weights Memory,Total kernel run time,Total Overhead
resnet18,Base,5412.99,1.12,1.12,6.3,6.3,6.450615384615384,158.7301587301587,0.14,10.97,94.69,10.106151580810547,4504.5,4612.19
resnet18,Pruning,5362.01,1.01,1.01,6.25,6.25,6.489314685314686,160.0,0.14,9.62,64.62,9.336134910583496,4468.75,4639.860000000001
resnet18,Distillation,5845.52,1.15,1.15,6.89,6.89,7.025552447552448,145.1378809869376,0.14,10.97,85.87,9.941035270690918,4926.349999999999,5023.27
mobilenet_v2,Base,6279.16,1.68,1.68,7.5,7.5,7.102041958041959,133.33333333333334,0.14,2.84,64.9,3.401988983154297,5362.5,5077.960000000001
mobilenet_v2,Pruning,6558.55,1.61,1.61,7.89,7.89,7.562797202797202,126.7427122940431,0.14,2.58,68.95,3.3319292068481445,5641.349999999999,5407.4
mobilenet_v2,Distillation,6400.68,1.69,1.69,7.67,7.67,7.262,130.3780964797914,0.14,2.84,64.34,3.2358808517456055,5484.05,5192.33
efficientnet_b0,Base,24707.06,27.69,27.69,33.27,33.27,6.8653286713286725,30.057108506161704,0.44,4.36,63.36,6.106398582458496,23788.050000000003,4908.710000000001
efficientnet_b0,Pruning,22878.44,24.97,24.97,30.72,30.72,7.02781818181818,32.552083333333336,0.54,3.67,59.02,5.588894844055176,21964.8,5024.8899999999985
efficientnet_b0,Distillation,24863.55,27.13,27.13,33.5,33.5,7.644195804195807,29.85074626865672,0.21,4.48,63.36,5.856590270996094,23952.5,5465.600000000002
mnasnet1_0,Base,6785.21,2.38,2.38,8.23,8.23,7.109804195804196,121.50668286755771,0.14,3.94,87.41,4.1704301834106445,5884.450000000001,5083.51
mnasnet1_0,Pruning,6216.68,2.09,2.09,7.45,7.45,6.604657342657344,134.2281879194631,0.14,3.66,77.76,3.8245849609375,5326.75,4722.330000000001
mnasnet1_0,Distillation,6756.64,2.38,2.38,8.12,8.12,7.069846153846155,123.15270935960592,0.14,3.94,81.54,4.109734535217285,5805.799999999999,5054.9400000000005
resnet18,Base,5683.99,1.12,1.12,6.69,6.69,6.829636363636364,149.47683109118086,0.14,10.97,94.69,10.106151580810547,4783.35,4883.1900000000005
resnet18,Pruning,5501.03,1.01,1.01,6.43,6.43,6.683748251748252,155.52099533437016,0.14,9.62,64.62,9.336134910583496,4597.45,4778.88
resnet18,Distillation,5545.82,1.15,1.15,6.5,6.5,6.606391608391608,153.84615384615384,0.14,10.97,85.87,9.941035270690918,4647.5,4723.57
mobilenet_v2,Base,6239.9,1.68,1.68,7.38,7.38,7.047132867132866,135.50135501355012,0.14,2.84,64.9,3.401988983154297,5276.7,5038.7
mobilenet_v2,Pruning,5957.14,1.61,1.61,7.06,7.06,6.721664335664335,141.643059490085,0.14,2.58,68.95,3.3319292068481445,5047.9,4805.99
mobilenet_v2,Distillation,6300.17,1.69,1.69,7.54,7.54,7.121426573426573,132.6259946949602,0.14,2.84,64.34,3.2358808517456055,5391.1,5091.82
efficientnet_b0,Base,25099.18,27.69,27.69,33.83,33.83,7.413748251748249,29.559562518474728,0.44,4.36,63.36,6.106398582458496,24188.449999999997,5300.829999999998
