Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,FPS,Peak Memory,Peak Memory Accelerator,Accuracy,Weights Memory,Total kernel run time,Total Overhead
resnet18,Base,8693.29,1.21,1.21,10.21,10.21,10.948447552447554,97.9431929480901,0.14,10.96,89.51,10.106151580810547,7300.150000000001,7828.140000000001
resnet18,Pruning,8098.64,1.04,1.04,9.63,9.63,10.28676923076923,103.84215991692626,0.14,9.62,63.64,9.336134910583496,6885.450000000001,7355.04
resnet18,Distillation,7843.02,1.19,1.19,9.29,9.29,9.779258741258742,107.64262648008612,0.14,10.97,85.87,9.941035270690918,6642.349999999999,6992.17
mobilenet_v2,Base,8417.21,1.73,1.73,10.0,10.0,10.042321678321676,100.0,0.14,2.84,54.69,3.401988983154297,7150.0,7180.259999999998
mobilenet_v2,Pruning,8232.95,1.64,1.64,9.8,9.8,9.874615384615383,102.0408163265306,0.14,2.58,68.39,3.3319292068481445,7007.000000000001,7060.349999999999
mobilenet_v2,Distillation,8848.67,1.79,1.79,10.58,10.58,10.58576223776224,94.5179584120983,0.14,2.84,64.34,3.2358808517456055,7564.7,7568.820000000001
efficientnet_b0,Base,27126.7,27.69,27.69,36.34,36.34,10.24944055944056,27.517886626307096,0.44,4.36,61.82,6.106398582458496,25983.100000000002,7328.35
efficientnet_b0,Pruning,24589.25,24.97,24.97,32.88,32.88,9.420559440559444,30.41362530413625,0.54,3.67,37.06,5.588894844055176,23509.2,6735.700000000003
efficientnet_b0,Distillation,26570.71,27.12,27.12,35.56,35.56,10.041832167832164,28.1214848143982,0.21,4.48,63.36,5.856590270996094,25425.4,7179.909999999997
mnasnet1_0,Base,9474.85,2.45,2.45,11.31,11.31,10.801538461538463,88.41732979664013,0.14,3.94,85.03,4.1704301834106445,8086.650000000001,7723.100000000001
mnasnet1_0,Pruning,8752.63,2.11,2.11,10.56,10.56,10.13144055944056,94.69696969696967,0.14,3.66,78.6,3.8245849609375,7550.400000000001,7243.98
mnasnet1_0,Distillation,8786.49,2.4,2.4,10.73,10.73,9.888797202797202,93.19664492078284,0.14,3.94,81.54,4.109734535217285,7671.950000000001,7070.489999999999
resnet18,Base,8060.7,1.21,1.21,9.42,9.42,10.063706293706293,106.15711252653928,0.14,10.96,89.51,10.106151580810547,6735.3,7195.549999999999
resnet18,Pruning,7874.16,1.04,1.04,9.32,9.32,9.972811188811187,107.2961373390558,0.14,9.62,63.64,9.336134910583496,6663.8,7130.559999999999
resnet18,Distillation,7653.52,1.2,1.2,9.08,9.08,9.504223776223778,110.13215859030836,0.14,10.97,85.87,9.941035270690918,6492.2,6795.520000000001
mobilenet_v2,Base,8858.0,1.77,1.77,10.51,10.51,10.61881118881119,95.14747859181732,0.14,2.84,54.69,3.401988983154297,7514.65,7592.450000000001
mobilenet_v2,Pruning,8877.45,1.65,1.65,10.59,10.59,10.766013986013986,94.42870632672332,0.14,2.58,68.39,3.3319292068481445,7571.849999999999,7697.7
mobilenet_v2,Distillation,8416.98,1.73,1.73,10.1,10.1,10.042,99.009900990099,0.14,2.84,64.34,3.2358808517456055,7221.5,7180.03
