Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,FPS,Peak Memory,Peak Memory Accelerator,Accuracy,Weights Memory,Total kernel run time,Total Overhead
resnet18,Base,15097.02,1.32,1.32,18.14,18.14,19.79471328671329,55.12679162072767,0.14,10.97,94.69,10.106151580810547,12970.1,14153.220000000001
resnet18,Pruning,15273.47,1.21,1.21,18.37,18.37,20.151496503496503,54.43658138268916,0.14,9.62,64.62,9.336134910583496,13134.550000000001,14408.32
resnet18,Distillation,14649.54,1.26,1.26,17.7,17.7,19.228867132867133,56.49717514124294,0.14,10.97,85.87,9.941035270690918,12655.5,13748.640000000001
mobilenet_v2,Base,14615.73,1.81,1.81,17.53,17.53,18.63158041958042,57.04506560182544,0.14,2.84,64.9,3.401988983154297,12533.95,13321.58
mobilenet_v2,Pruning,15039.57,1.7,1.7,18.29,18.29,19.33436363636364,54.67468562055768,0.14,2.58,68.95,3.3319292068481445,13077.349999999999,13824.070000000003
mobilenet_v2,Distillation,14993.68,1.82,1.82,18.19,18.19,19.150181818181817,54.97526113249037,0.14,2.84,64.34,3.2358808517456055,13005.85,13692.38
efficientnet_b0,Base,32708.46,27.68,27.68,43.02,43.02,18.0660979020979,23.24500232450023,0.44,4.36,63.36,6.106398582458496,30759.300000000003,12917.26
efficientnet_b0,Pruning,31472.05,24.96,24.96,41.26,41.26,19.056853146853143,24.23654871546292,0.54,3.67,59.02,5.588894844055176,29500.899999999998,13625.649999999998
efficientnet_b0,Distillation,32978.02,27.13,27.13,43.3,43.3,18.99310489510489,23.09468822170901,0.21,4.48,63.36,5.856590270996094,30959.499999999996,13580.069999999996
mnasnet1_0,Base,16227.75,2.44,2.44,19.6,19.6,20.256153846153843,51.0204081632653,0.14,3.94,87.41,4.1704301834106445,14014.000000000002,14483.149999999998
mnasnet1_0,Pruning,15852.38,2.14,2.14,19.12,19.12,20.03116083916084,52.30125523012552,0.14,3.66,77.76,3.8245849609375,13670.800000000001,14322.28
mnasnet1_0,Distillation,16107.58,2.43,2.43,19.47,19.47,20.098083916083915,51.36106831022086,0.14,3.94,81.54,4.109734535217285,13921.05,14370.13
resnet18,Base,15164.05,1.25,1.25,18.21,18.21,19.95846153846154,54.91488193300384,0.14,10.97,94.69,10.106151580810547,13020.150000000001,14270.3
resnet18,Pruning,14309.78,1.17,1.17,17.26,17.26,18.843678321678325,57.93742757821552,0.14,9.62,64.62,9.336134910583496,12340.900000000001,13473.230000000003
resnet18,Distillation,15037.12,1.25,1.25,18.02,18.02,19.780937062937063,55.49389567147614,0.14,10.97,85.87,9.941035270690918,12884.3,14143.37
mobilenet_v2,Base,15588.26,1.74,1.74,18.81,18.81,20.06176223776224,53.16321105794791,0.14,2.84,64.9,3.401988983154297,13449.15,14344.160000000003
mobilenet_v2,Pruning,15075.33,1.68,1.68,18.26,18.26,19.404377622377623,54.76451259583789,0.14,2.58,68.95,3.3319292068481445,13055.900000000001,13874.130000000001
mobilenet_v2,Distillation,15113.42,1.72,1.72,18.36,18.36,19.41765034965035,54.46623093681917,0.14,2.84,64.34,3.2358808517456055,13127.4,13883.62
efficientnet_b0,Base,32973.73,27.68,27.68,43.46,43.46,18.437104895104905,23.00966405890474,0.44,4.36,63.36,6.106398582458496,31073.9,13182.530000000008
efficientnet_b0,Pruning,31580.01,24.96,24.96,41.48,41.48,19.20784615384615,24.108003857280615,0.54,3.67,59.02,5.588894844055176,29658.199999999997,13733.609999999995
efficientnet_b0,Distillation,33076.6,27.12,27.12,43.58,43.58,19.14097902097902,22.946305644791188,0.21,4.48,63.36,5.856590270996094,31159.699999999997,13685.8
mnasnet1_0,Base,14775.2,2.45,2.45,17.9,17.9,18.214615384615385,55.8659217877095,0.14,3.94,87.41,4.1704301834106445,12798.499999999998,13023.45
