Model,Optimization,Total model run time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Avg. model run time per batch,Avg. model run time per image,Overhead per batch,FPS,Peak Memory,Peak Memory Accelerator,Accuracy,Weights Memory,Total kernel run time,Total Overhead
resnet18,Base,11717.28,1.2,1.2,13.96,13.96,15.187804195804198,71.63323782234957,0.14,10.97,94.69,10.106151580810547,9981.400000000001,10859.28
resnet18,Pruning,10040.97,1.1,1.1,12.12,12.12,12.943314685314684,82.50825082508251,0.14,9.62,64.62,9.336134910583496,8665.8,9254.47
resnet18,Distillation,9313.4,1.21,1.21,11.19,11.19,11.815734265734264,89.36550491510278,0.14,10.97,85.87,9.941035270690918,8000.849999999999,8448.249999999998
mobilenet_v2,Base,9323.35,1.75,1.75,11.19,11.19,11.28965034965035,89.36550491510278,0.14,2.84,64.9,3.401988983154297,8000.849999999999,8072.1
mobilenet_v2,Pruning,12521.93,1.74,1.74,15.18,15.18,15.773188811188811,65.87615283267458,0.14,2.58,68.95,3.3319292068481445,10853.699999999999,11277.83
mobilenet_v2,Distillation,12160.62,1.8,1.8,14.72,14.72,15.20786013986014,67.93478260869566,0.14,2.84,64.34,3.2358808517456055,10524.800000000001,10873.619999999999
efficientnet_b0,Base,31405.95,27.68,27.68,41.38,41.38,16.2444055944056,24.166263895601737,0.44,4.36,63.36,6.106398582458496,29586.7,11614.750000000004
efficientnet_b0,Pruning,27560.82,24.96,24.96,36.56,36.56,13.586601398601395,27.35229759299781,0.54,3.67,59.02,5.588894844055176,26140.4,9714.419999999998
efficientnet_b0,Distillation,29405.74,27.12,27.12,39.13,39.13,14.006909090909094,25.55583950932788,0.21,4.48,63.36,5.856590270996094,27977.95,10014.940000000002
mnasnet1_0,Base,10295.9,2.4,2.4,12.48,12.48,11.99986013986014,80.12820512820512,0.14,3.94,87.41,4.1704301834106445,8923.2,8579.9
mnasnet1_0,Pruning,13834.23,2.15,2.15,16.74,16.74,17.19857342657343,59.73715651135007,0.14,3.66,77.76,3.8245849609375,11969.099999999999,12296.980000000001
mnasnet1_0,Distillation,11952.89,2.46,2.46,14.67,14.67,14.257328671328668,68.1663258350375,0.14,3.94,81.54,4.109734535217285,10489.05,10193.989999999998
resnet18,Base,13548.46,1.24,1.24,16.37,16.37,17.708895104895106,61.08735491753207,0.14,10.97,94.69,10.106151580810547,11704.550000000001,12661.86
resnet18,Pruning,13831.82,1.19,1.19,16.66,16.66,18.1552027972028,60.024009603841534,0.14,9.62,64.62,9.336134910583496,11911.9,12980.970000000003
resnet18,Distillation,11800.3,1.29,1.29,14.27,14.27,15.213916083916082,70.0770847932726,0.14,10.97,85.87,9.941035270690918,10203.05,10877.949999999999
mobilenet_v2,Base,10238.34,1.76,1.76,12.39,12.39,12.559356643356644,80.71025020177562,0.14,2.84,64.9,3.401988983154297,8858.85,8979.94
mobilenet_v2,Pruning,10056.57,1.7,1.7,12.21,12.21,12.365132867132868,81.9000819000819,0.14,2.58,68.95,3.3319292068481445,8730.150000000001,8841.07
mobilenet_v2,Distillation,10996.81,1.74,1.74,13.48,13.48,13.640153846153844,74.1839762611276,0.14,2.84,64.34,3.2358808517456055,9638.2,9752.709999999997
efficientnet_b0,Base,30863.14,27.68,27.68,40.89,40.89,15.485230769230768,24.45585717779408,0.44,4.36,63.36,6.106398582458496,29236.350000000002,11071.939999999999
efficientnet_b0,Pruning,28510.6,24.96,24.96,37.71,37.71,14.914965034965029,26.518164942985944,0.54,3.67,59.02,5.588894844055176,26962.65,10664.199999999995
efficientnet_b0,Distillation,31743.01,27.12,27.12,42.04,42.04,17.275818181818178,23.78686964795433,0.21,4.48,63.36,5.856590270996094,30058.6,12352.209999999997
mnasnet1_0,Base,10355.24,2.48,2.48,12.69,12.69,12.002853146853148,78.80220646178093,0.14,3.94,87.41,4.1704301834106445,9073.35,8582.04
mnasnet1_0,Pruning,10703.21,2.15,2.15,12.97,12.97,12.819524475524474,77.10100231303007,0.14,3.66,77.76,3.8245849609375,9273.550000000001,9165.96
mnasnet1_0,Distillation,11185.04,2.42,2.42,13.62,13.62,13.22341258741259,73.42143906020559,0.14,3.94,81.54,4.109734535217285,9738.3,9454.740000000002
resnet18,Base,12251.86,1.34,1.34,14.61,14.61,15.795468531468533,68.44626967830254,0.14,10.97,94.69,10.106151580810547,10446.15,11293.76
resnet18,Pruning,12281.44,1.19,1.19,14.74,14.74,15.986839160839162,67.84260515603799,0.14,9.62,64.62,9.336134910583496,10539.1,11430.59
resnet18,Distillation,14674.1,1.37,1.37,17.6,17.6,19.153216783216784,56.81818181818181,0.14,10.97,85.87,9.941035270690918,12584.000000000002,13694.550000000001
mobilenet_v2,Base,11541.36,1.82,1.82,14.04,14.04,14.32176223776224,71.22507122507123,0.14,2.84,64.9,3.401988983154297,10038.599999999999,10240.060000000001
mobilenet_v2,Pruning,11880.49,1.66,1.66,14.43,14.43,14.95606993006993,69.3000693000693,0.14,2.58,68.95,3.3319292068481445,10317.449999999999,10693.59
mobilenet_v2,Distillation,12287.16,1.77,1.77,15.01,15.01,15.41483916083916,66.62225183211193,0.14,2.84,64.34,3.2358808517456055,10732.15,11021.609999999999
