Model,Optimization,Total 'kernel' inference time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total sequential executor time,Avg. sequential executor time per batch,Avg. sequential executor time per image,Total model run time,Avg. model run time per batch,Avg. model run time per image,Total ONNX runtime overhead,Avg. ONNX runtime overhead per batch,Avg. ONNX runtime overhead per image,FPS,total_nodes_executed,p95_node_latency_ms,Max Memory Arena Consumption,Weights Memory Consumptions,Accuracy,Avg. Loss
resnet18,Base,105543.508,147.613297902098,147.613297902098,105827.357,148.01028951049,148.01028951049,105882.921,148.088001398601,148.088001398601,55.5639999999985,0.0777118881118781,0.0777118881118781,6.75274154931937,17160,14.48805,3.06MB,42.62MB,95.944055944056,0.145479234441363
resnet18,Quantization,29687.199,41.520558041958,41.520558041958,30026.893,41.9956545454545,41.9956545454545,30220.6,42.2665734265734,42.2665734265734,193.706999999999,0.270918881118881,0.270918881118881,23.6593581861379,25740,5.5032,784.00KB,42.55KB,85.45,0.653096890708868
resnet18,Pruning,88989.635,124.461027972028,124.461027972028,89335.34,124.944531468531,124.944531468531,89393.975,125.026538461538,125.026538461538,58.6350000000093,0.0820069930069991,0.0820069930069991,7.99830189898145,17160,12.06145,2.68MB,37.37MB,80.6993006993007,1.27088827939787
resnet18,Distillation,105345.096,147.335798601399,147.335798601399,105613.636,147.711379020979,147.711379020979,105655.401,147.769791608392,147.769791608392,41.7649999999994,0.0584125874125903,0.0584125874125903,6.76728300903425,17160,14.507,3.06MB,42.62MB,99.58,0.746467868379363
mobilenet_v2,Base,44856.016,62.7356867132867,62.7356867132867,45502.595,63.639993006993,63.639993006993,45615.544,63.7979636363636,63.7979636363636,112.949000000001,0.157970629370631,0.157970629370631,15.6744814881524,39325,5.03719999999998,4.59MB,8.42MB,98.4615384615385,0.0570884291223266
mobilenet_v2,Quantization,18700.563,26.1546335664336,26.1546335664336,19346.61,27.0581958041958,27.0581958041958,19449.373,27.2019202797203,27.2019202797203,102.762999999999,0.143724475524476,0.143724475524476,36.7621105317894,49335,1.622,1.15MB,150.61KB,85.59,0.385823500659879
mobilenet_v2,Pruning,36506.327,51.0578,51.0578,37091.741,51.8765608391608,51.8765608391608,37154.981,51.9650083916084,51.9650083916084,63.239999999998,0.0884475524475548,0.0884475524475548,19.2437186281969,39325,4.497,4.21MB,7.46MB,69.3706293706294,0.92207107587216
mobilenet_v2,Distillation,47275.069,66.1189776223776,66.1189776223776,47897.619,66.9896769230769,66.9896769230769,48003.835,67.1382307692308,67.1382307692308,106.216,0.148553846153845,0.148553846153845,14.8946433133936,39325,5.1618,4.59MB,8.42MB,99.72,0.0551998225296178
efficientnet_b0,Base,82406.252,115.253499300699,115.253499300699,84085.29,117.601804195804,117.601804195804,84241.917,117.820862937063,117.820862937063,156.627000000008,0.219058741258749,0.219058741258749,8.48746117683908,117975,4.521,4.59MB,15.21MB,98.3216783216783,0.0476151037454749
efficientnet_b0,Quantization,33869.597,47.3700657342657,47.3700657342657,35818.437,50.0957160839161,50.0957160839161,36157.86,50.5704335664336,50.5704335664336,339.423000000003,0.474717482517484,0.474717482517484,19.7744003655084,173745,0.411,2.30MB,269.44KB,51.05,1.0394709198268
efficientnet_b0,Pruning,74445.024,104.118914685315,104.118914685315,75890.481,106.140532867133,106.140532867133,76104.284,106.439558041958,106.439558041958,213.803,0.299025174825175,0.299025174825175,9.39500330888075,117975,4.386,4.21MB,13.12MB,69.9300699300699,0.949007714598347
efficientnet_b0,Distillation,90741.072,126.91059020979,126.91059020979,92320.303,129.119304895105,129.119304895105,92440.542,129.287471328671,129.287471328671,120.239000000001,0.168166433566427,0.168166433566427,7.73470151224341,117975,4.711,4.59MB,15.21MB,99.72,0.0960507273144379
mnasnet1_0,Base,46974.045,65.697965034965,65.697965034965,47615.418,66.5949902097902,66.5949902097902,47808.949,66.8656629370629,66.8656629370629,193.531000000003,0.270672727272725,0.270672727272725,14.9553590897805,38610,4.94,2.30MB,11.76MB,85.3146853146853,0.385201286214528
mnasnet1_0,Quantization,16718.104,23.3819636363636,23.3819636363636,17334.597,24.2441916083916,24.2441916083916,17623.005,24.6475594405594,24.6475594405594,288.407999999999,0.403367832167831,0.403367832167831,40.5719682880417,50050,1.052,588.00KB,167.34KB,66.01,0.635157692630391
mnasnet1_0,Pruning,42628.838,59.6207524475525,59.6207524475525,43112.234,60.2968307692308,60.2968307692308,43207.219,60.4296769230769,60.4296769230769,94.9850000000006,0.132846153846153,0.132846153846153,16.5481606210296,38610,4.706,1.91MB,10.30MB,78.8811188811189,0.462063852817059
mnasnet1_0,Distillation,49447.743,69.1576825174825,69.1576825174825,50082.193,70.0450251748252,70.0450251748252,50198.316,70.207434965035,70.207434965035,116.123,0.162409790209793,0.162409790209793,14.243505698478,38610,4.97155,2.30MB,11.76MB,87.69,3568844.52587413
resnet18,Base,99678.199,139.410068531469,139.410068531469,99984.902,139.839023776224,139.839023776224,100053.572,139.935065734266,139.935065734266,68.6699999999983,0.0960419580419796,0.0960419580419796,7.1461716529221,17160,14.0481,3.06MB,42.62MB,95.944055944056,0.145479234441363
resnet18,Quantization,29727.886,41.5774629370629,41.5774629370629,30150.78,42.1689230769231,42.1689230769231,30342.859,42.437565034965,42.437565034965,192.079000000002,0.268641958041961,0.268641958041961,23.5640286895839,25740,5.619,784.00KB,42.55KB,85.45,0.653096890708868
resnet18,Pruning,91405.911,127.840434965035,127.840434965035,91702.842,128.255723076923,128.255723076923,91753.778,128.326962237762,128.326962237762,50.9360000000015,0.0712391608391556,0.0712391608391556,7.79259465479449,17160,12.27005,2.68MB,37.37MB,80.6993006993007,1.27088827939787
resnet18,Distillation,103627.575,144.933671328671,144.933671328671,103938.927,145.369128671329,145.369128671329,103983.508,145.43147972028,145.43147972028,44.5810000000056,0.0623510489510579,0.0623510489510579,6.87609038925673,17160,14.719,3.06MB,42.62MB,99.58,0.746467868379363
mobilenet_v2,Base,46988.758,65.7185426573427,65.7185426573427,47582.896,66.5495048951049,66.5495048951049,47705.131,66.7204629370629,66.7204629370629,122.235000000001,0.170958041958031,0.170958041958031,14.9879055986661,39325,5.164,4.59MB,8.42MB,98.4615384615385,0.0570884291223266
mobilenet_v2,Quantization,18249.822,25.5242265734266,25.5242265734266,18871.955,26.3943426573427,26.3943426573427,19042.774,26.6332503496504,26.6332503496504,170.819,0.238907692307691,0.238907692307691,37.54705065554,49335,1.606,1.15MB,150.61KB,85.59,0.385823500659879
