Model,Optimization,Total 'kernel' inference time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total sequential executor time,Avg. sequential executor time per batch,Avg. sequential executor time per image,Total model run time,Avg. model run time per batch,Avg. model run time per image,Total ONNX runtime overhead,Avg. ONNX runtime overhead per batch,Avg. ONNX runtime overhead per image,FPS,total_nodes_executed,p95_node_latency_ms,Max Memory Arena Consumption,Weights Memory Consumptions,Accuracy,Avg. Loss
resnet18,Base,33720.163,47.1610671328671,47.1610671328671,33942.062,47.4714153846154,47.4714153846154,33969.478,47.5097594405594,47.5097594405594,27.4160000000047,0.0383440559440587,0.0383440559440587,21.0483069536718,17160,3.61,3.06MB,42.62MB,95.944055944056,0.145479234441363
resnet18,Quantization,8717.437,12.1922195804196,12.1922195804196,8916.843,12.4711090909091,12.4711090909091,8953.047,12.5217440559441,12.5217440559441,36.2039999999997,0.0506349650349645,0.0506349650349645,79.8610796972249,25740,0.818,784.00KB,42.55KB,85.45,0.653096890708868
resnet18,Pruning,28754.375,40.2159090909091,40.2159090909091,28958.016,40.5007216783217,40.5007216783217,28984.686,40.5380223776224,40.5380223776224,26.6700000000019,0.0373006993007081,0.0373006993007081,24.6681989240801,17160,3.16305,2.68MB,37.37MB,80.6993006993007,1.27088827939787
resnet18,Distillation,33248.206,46.5009874125874,46.5009874125874,33494.624,46.845627972028,46.845627972028,33525.429,46.8887118881119,46.8887118881119,30.804999999993,0.0430839160839085,0.0430839160839085,21.3270947256186,17160,3.504,3.06MB,42.62MB,99.58,0.746467868379363
mobilenet_v2,Base,12404.101,17.348393006993,17.348393006993,12743.874,17.8236,17.8236,12782.408,17.8774937062937,17.8774937062937,38.5339999999997,0.0538937062937066,0.0538937062937066,55.9362523868742,39325,0.998,4.59MB,8.42MB,98.4615384615385,0.0570884291223266
mobilenet_v2,Quantization,6043.264,8.45211748251748,8.45211748251748,6418.099,8.97636223776224,8.97636223776224,6472.005,9.05175524475525,9.05175524475525,53.906,0.0753930069930071,0.0753930069930071,110.475810819058,49335,0.461299999999996,1.15MB,150.61KB,85.59,0.385823500659879
mobilenet_v2,Pruning,10746.848,15.0305566433566,15.0305566433566,11092.61,15.5141398601399,15.5141398601399,11131.19,15.5680979020979,15.5680979020979,38.5799999999999,0.0539580419580403,0.0539580419580403,64.2339228779672,39325,0.816,4.21MB,7.46MB,69.3706293706294,0.92207107587216
mobilenet_v2,Distillation,12386.282,17.3234713286713,17.3234713286713,12730.839,17.8053692307692,17.8053692307692,12768.926,17.8586377622378,17.8586377622378,38.0869999999995,0.0532685314685324,0.0532685314685324,55.9953123700458,39325,1.027,4.59MB,8.42MB,99.72,0.0551998225296178
efficientnet_b0,Base,25727.783,35.9829132867133,35.9829132867133,26596.69,37.1981678321678,37.1981678321678,26666.889,37.2963482517483,37.2963482517483,70.1990000000005,0.0981804195804159,0.0981804195804159,26.8122764526451,117975,0.828,4.59MB,15.21MB,98.3216783216783,0.0476151037454749
efficientnet_b0,Quantization,12907.925,18.053041958042,18.053041958042,13998.278,19.5780111888112,19.5780111888112,14126.295,19.7570559440559,19.7570559440559,128.017,0.179044755244757,0.179044755244757,50.6148285873968,173745,0.206799999999988,2.30MB,269.44KB,51.05,1.0394709198268
efficientnet_b0,Pruning,22762.29,31.8353706293706,31.8353706293706,23592.702,32.996786013986,32.996786013986,23661.888,33.0935496503497,33.0935496503497,69.1859999999979,0.0967636363636331,0.0967636363636331,30.2173689605834,117975,0.752,4.21MB,13.12MB,69.9300699300699,0.949007714598347
efficientnet_b0,Distillation,25977.868,36.3326825174825,36.3326825174825,26919.234,37.6492783216783,37.6492783216783,26987.93,37.7453566433566,37.7453566433566,68.6959999999999,0.0960783216783199,0.0960783216783199,26.4933249789813,117975,0.834,4.59MB,15.21MB,99.72,0.0960507273144379
mnasnet1_0,Base,12375.562,17.3084783216783,17.3084783216783,12722.231,17.7933300699301,17.7933300699301,12760.53,17.8468951048951,17.8468951048951,38.2990000000009,0.0535650349650361,0.0535650349650361,56.0321554042034,38610,0.661,2.30MB,11.76MB,85.3146853146853,0.385201286214528
mnasnet1_0,Quantization,4998.679,6.99115944055944,6.99115944055944,5369.165,7.50932167832168,7.50932167832168,5429.125,7.59318181818182,7.59318181818182,59.96,0.08386013986014,0.08386013986014,131.697096677641,50050,0.31,588.00KB,167.34KB,66.01,0.635157692630391
mnasnet1_0,Pruning,10443.394,14.6061454545455,14.6061454545455,10768.137,15.0603314685315,15.0603314685315,10808.985,15.1174615384615,15.1174615384615,40.848,0.0571300699300696,0.0571300699300696,66.148671683789,38610,0.515,1.91MB,10.30MB,78.8811188811189,0.462063852817059
mnasnet1_0,Distillation,12237.664,17.115613986014,17.115613986014,12560.794,17.5675440559441,17.5675440559441,12598.605,17.6204265734266,17.6204265734266,37.8109999999997,0.0528825174825194,0.0528825174825194,56.7523150380538,38610,0.663,2.30MB,11.76MB,87.69,3568844.52587413
resnet18,Base,33498.733,46.8513748251748,46.8513748251748,33718.882,47.1592755244755,47.1592755244755,33751.941,47.2055118881119,47.2055118881119,33.0590000000011,0.0462363636363676,0.0462363636363676,21.1839668717127,17160,3.486,3.06MB,42.62MB,95.944055944056,0.145479234441363
resnet18,Quantization,8695.272,12.1612195804196,12.1612195804196,8892.707,12.4373524475524,12.4373524475524,8928.804,12.4878377622378,12.4878377622378,36.0969999999998,0.0504853146853144,0.0504853146853144,80.0779141304927,25740,0.814,784.00KB,42.55KB,85.45,0.653096890708868
resnet18,Pruning,28499.618,39.8596055944056,39.8596055944056,28702.575,40.1434615384615,40.1434615384615,28728.589,40.1798447552448,40.1798447552448,26.0139999999992,0.0363832167832214,0.0363832167832214,24.8881001430317,17160,3.146,2.68MB,37.37MB,80.6993006993007,1.27088827939787
resnet18,Distillation,33065.875,46.245979020979,46.245979020979,33279.879,46.5452853146853,46.5452853146853,33312.164,46.5904391608392,46.5904391608392,32.2849999999962,0.0451538461538377,0.0451538461538377,21.4636311228535,17160,3.587,3.06MB,42.62MB,99.58,0.746467868379363
mobilenet_v2,Base,12445.962,17.4069398601399,17.4069398601399,12785.367,17.8816321678322,17.8816321678322,12823.833,17.9354307692308,17.9354307692308,38.4660000000004,0.0537986013986007,0.0537986013986007,55.7555607594079,39325,1.0,4.59MB,8.42MB,98.4615384615385,0.0570884291223266
mobilenet_v2,Quantization,5991.886,8.38026013986014,8.38026013986014,6346.324,8.87597762237762,8.87597762237762,6398.203,8.94853566433567,8.94853566433567,51.8790000000008,0.0725580419580432,0.0725580419580432,111.750127340442,49335,0.457,1.15MB,150.61KB,85.59,0.385823500659879
mobilenet_v2,Pruning,10669.39,14.9222237762238,14.9222237762238,11004.448,15.3908363636364,15.3908363636364,11043.726,15.4457706293706,15.4457706293706,39.2780000000003,0.054934265734266,0.054934265734266,64.7426421119104,39325,0.812,4.21MB,7.46MB,69.3706293706294,0.92207107587216
